Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.958331,0.811562,0.0,0.9902724,0.94144684,0.9475942,0.9442497,0.98880714,0.99004906,0.9096793,0.90250033,4.4923628E-4,1,0
2,0.95574105,0.8023902,0.0,0.9902724,0.937469,0.9460243,0.94157577,0.98883337,0.98992926,0.9067681,0.897726,6.8027206E-4,1,0
3,0.9517964,0.78432465,0.0,0.9913841,0.9297123,0.9431772,0.9368717,0.98952353,0.990952,0.9009781,0.88838863,7.329229E-4,1,1
4,0.9446524,0.7580645,0.0,0.9911012,0.918347,0.93930507,0.92979693,0.99002326,0.9914096,0.89353013,0.8753941,7.640253E-4,5,1
5,0.941934,0.7538941,0.0,0.98833644,0.9167647,0.93726486,0.93072945,0.98941654,0.9881045,0.8903357,0.87965184,7.3673873E-4,4,0
6,0.93818635,0.7429525,0.0,0.9865865,0.91272426,0.93541044,0.92934823,0.98853016,0.9858797,0.8877086,0.8789482,9.026434E-4,4,1
7,0.93383485,0.7341229,1.5896988E-4,0.9834826,0.908519,0.93367773,0.9276583,0.9875447,0.98393804,0.88538325,0.8774685,9.601536E-4,3,1
8,0.92961305,0.72256225,4.1730423E-4,0.98118937,0.9037552,0.93190175,0.92542785,0.9865448,0.9823842,0.88299423,0.8747139,9.920635E-4,3,3
9,0.92477834,0.70955974,6.1835273E-4,0.9786393,0.8985059,0.9299979,0.9226159,0.98559505,0.9811999,0.8803384,0.8706334,0.0010559662,6,1
10,0.9187617,0.69503504,0.0017811422,0.97497344,0.8918751,0.92790973,0.91906404,0.98460174,0.9795217,0.8773907,0.8656357,0.0011043241,6,1
11,0.9137617,0.68323046,0.002732517,0.9723131,0.88621897,0.9257909,0.9160868,0.9836531,0.9783854,0.8743579,0.86124706,0.0012449238,4,0
12,0.9088333,0.67334634,0.003478987,0.9685489,0.88148695,0.92373145,0.91349655,0.9825991,0.9763648,0.8715187,0.8582347,0.0011762038,4,3
13,0.90489453,0.66895014,0.004666895,0.9648811,0.8781171,0.921905,0.91217446,0.9815077,0.9745998,0.8691268,0.8572647,0.0011130106,2,2
14,0.9007603,0.6642281,0.006401336,0.960557,0.8750951,0.9202305,0.9106604,0.9803514,0.97260976,0.8670575,0.85613006,0.0010713083,5,0
15,0.89585936,0.6579328,0.008684357,0.95600617,0.8705463,0.918582,0.9084216,0.97917396,0.97077656,0.865052,0.8535936,0.0010840463,6,0
16,0.8909217,0.65212095,0.010613495,0.95112115,0.86617386,0.91694444,0.9061495,0.9779455,0.9686966,0.8631067,0.8511896,0.0010603173,8,2
17,0.88702244,0.64716685,0.010001312,0.9469592,0.862942,0.91528827,0.89639914,0.97653645,0.90636575,0.86126953,0.8866493,0.0064023794,41,0
18,0.88449126,0.6449455,0.009508177,0.9444813,0.86066586,0.913677,0.9134213,0.97511786,0.94444895,0.8595198,0.88436735,0.0037675807,8,0
19,0.88182414,0.6419728,0.009065838,0.94215333,0.858059,0.91208845,0.91499364,0.9737053,0.9508792,0.8578059,0.8817182,0.0027013721,4,3
20,0.87905014,0.63744044,0.00880689,0.9397564,0.8554616,0.9104949,0.9136478,0.97224575,0.95087606,0.8561197,0.8792248,0.0021295417,3,2
21,0.87526774,0.63168234,0.008865531,0.9362755,0.8519157,0.90882635,0.9116415,0.9706781,0.94998,0.8543848,0.8762773,0.0019574563,7,0
22,0.8715657,0.6270173,0.008943275,0.93248427,0.84857464,0.9071248,0.9095293,0.9690209,0.9485676,0.85266125,0.8735772,0.0018574533,3,1
23,0.8671872,0.6205685,0.00874791,0.92818236,0.84459376,0.9053374,0.9064585,0.9672406,0.94605154,0.8508812,0.8700464,0.0016747153,4,5
24,0.86201537,0.61269796,0.008801264,0.9235567,0.8394855,0.9034232,0.90302056,0.9653425,0.9441698,0.8489683,0.86530834,0.0015294037,5,1
25,0.8575206,0.6050737,0.009005996,0.91920894,0.83530354,0.90144813,0.8999719,0.9633559,0.9419275,0.84701663,0.86159456,0.0014122925,3,0
26,0.85216147,0.596536,0.009710403,0.9143866,0.8300696,0.8993606,0.89571095,0.9612742,0.9395015,0.8449399,0.8558207,0.0014472306,8,0
27,0.84690106,0.587871,0.010176279,0.9099469,0.82471085,0.8971888,0.89122117,0.9591416,0.9371891,0.84275365,0.8495518,0.0014613151,5,1
