Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
6883,NP1,3,30600,16
8988,NP2,3,43200,23
11217,NP3,3,30600,16
14977,NP4,3,30600,16
16440,NP5,3,30600,16
19909,NP6,,,
19992,NP7,3,30600,16
23702,NP8,3,36000,19
25806,NP9,,,
27758,NP10,,,
27824,NP11,4,70200,38
29612,NP12,4,70200,38
29732,NP13,3,30600,16
30078,NP14,3,30600,16
30128,NP15,3,30600,16
30129,NP16,3,30600,16
30161,NP17,3,30600,16
30172,NP18,3,30600,16
30183,NP19,3,30600,16
30443,NP20,3,30600,16
31366,NP21,3,32400,17
31532,NP22,3,32400,17
34253,NP23,4,70200,38
36746,NP24,,,
40709,NP25,3,41400,22
43082,NP26,4,70200,38
44943,NP27,3,54000,29
46625,NP28,,,
48844,NP29,4,70200,38
52123,NP30,3,52200,28
54840,NP31,4,72000,39
56683,NP32,4,70200,38
57705,NP33,3,59400,32
65041,NP34,4,70200,38
67732,NP35,4,70200,38
69855,NP36,4,70200,38
70066,NP37,4,70200,38
70185,NP38,4,70200,38
70213,NP39,4,72000,39
70811,NP40,4,72000,39
75757,NP41,4,77400,42
77218,NP42,3,77400,42
80887,NP43,,,
81003,NP44,4,82800,45
84866,NP45,3,86400,47
85491,NP46,4,86400,47
85625,NP47,,,
