Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
CC,1,0.9691838,0.97834444,0.941699,0.0,0.978623,0.9872293,0.9875625,0.9875625,0.97925925,0.9794816,0.973849,0.9740802,0.98473,0.9849431
CC,2,0.962927,0.9741755,0.92918634,0.0,0.97584003,0.9837545,0.9858941,0.98505974,0.9765119,0.97569287,0.97142154,0.9706578,0.9816559,0.9807804
CC,3,0.95880395,0.9713616,0.9211257,0.0,0.9743566,0.98092943,0.98467094,0.98344755,0.9743685,0.97281367,0.9698053,0.9682487,0.9789749,0.9774219
CC,4,0.9544971,0.9679853,0.91403973,0.0,0.9710457,0.9784058,0.98348147,0.98169696,0.97228694,0.9698154,0.9677599,0.9647156,0.9768565,0.97496927
CC,5,0.9506907,0.9650734,0.90756583,0.0,0.9681702,0.97637296,0.98237365,0.98015773,0.97034705,0.9670974,0.9656549,0.9612926,0.97508514,0.9729727
CC,6,0.9465791,0.9619445,0.90047216,0.0,0.96495694,0.9742771,0.9812622,0.9784835,0.9683784,0.9642825,0.96338993,0.9580822,0.9734188,0.9705636
CC,7,0.9425576,0.9588183,0.89373857,0.0,0.96218556,0.971669,0.98015356,0.97682726,0.9664011,0.96141654,0.9612229,0.95507467,0.9716354,0.96784323
CC,8,0.938141,0.95521,0.88688284,0.0,0.95927364,0.9680811,0.9789964,0.9749462,0.9643187,0.9579998,0.9591294,0.9521016,0.9695644,0.9639715
CC,9,0.9337182,0.95179516,0.8793902,0.0,0.95623726,0.9652802,0.97780985,0.97306335,0.96217936,0.9547519,0.95698464,0.9487365,0.9674308,0.96084416
CC,10,0.92893004,0.94802934,0.87145156,0.0,0.953697,0.9612709,0.9765842,0.97106826,0.9599647,0.95121443,0.954958,0.94618464,0.965024,0.95629805
CC,11,0.92428,0.9442547,0.8640978,0.0,0.9506843,0.9575863,0.97534406,0.96914303,0.95771974,0.9477722,0.95293075,0.94322824,0.9625572,0.95236015
