Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.89154804,0.71253484,0.0,0.9715877,0.8562674,0.888754,0.8938232,0.9699779,0.97246474,0.8200821,0.8269493,0.0021620318,5,0
2,0.89024025,0.7174399,0.0,0.96054596,0.863052,0.890465,0.89586264,0.96295226,0.9615722,0.82812697,0.83855927,0.0028829726,17,6
3,0.9038119,0.7550906,0.0,0.9518337,0.8927704,0.8995028,0.9096762,0.95664126,0.95134604,0.8488052,0.8715035,0.0036776334,25,9
4,0.9092611,0.7740533,0.0,0.940673,0.91129035,0.90691847,0.9189099,0.9506469,0.9426815,0.8670361,0.89630777,0.003931855,23,12
5,0.90735245,0.7784888,0.0,0.92906296,0.9172748,0.91161245,0.9214841,0.94591075,0.93722,0.8797144,0.9062678,0.0038051293,23,6
6,0.9039216,0.77554077,0.0,0.91831315,0.92087275,0.9144432,0.9225991,0.941745,0.93290484,0.8886798,0.9125185,0.004520512,28,6
7,0.8996288,0.7716074,0.0,0.9090764,0.921328,0.9161978,0.92233425,0.9384248,0.929805,0.89499927,0.9149826,0.0044746855,18,19
8,0.8933739,0.76497436,0.0,0.8991175,0.9187676,0.91699207,0.9204815,0.93569916,0.9271618,0.89901835,0.91389674,0.0042775352,20,11
9,0.8891308,0.7590963,0.0,0.8915622,0.91801393,0.9173393,0.9192185,0.9333516,0.92468613,0.9018672,0.9138152,0.004070363,18,10
10,0.8810764,0.7489185,0.0,0.8811827,0.91252357,0.91700435,0.9157875,0.93126595,0.9223709,0.9031729,0.90929747,0.0040414664,24,6
11,0.87532693,0.7420294,0.0,0.8735609,0.9087133,0.9163592,0.9133511,0.9294095,0.9204699,0.90367013,0.90634155,0.004625677,27,7
12,0.86665034,0.7319931,4.686255E-5,0.8630367,0.9020807,0.9152876,0.90956366,0.92765003,0.9182202,0.90325034,0.90106887,0.004813867,33,15
13,0.8573479,0.72066146,8.6576336E-5,0.8519948,0.89491045,0.91380394,0.9051894,0.9258795,0.91558063,0.90203947,0.89503145,0.004673267,38,11
14,0.84961474,0.7105358,1.2059332E-4,0.8428914,0.889087,0.9121489,0.9016049,0.9242127,0.9138751,0.90039605,0.8896599,0.00475404,24,15
15,0.8414319,0.69939965,1.8761726E-4,0.8335132,0.88280076,0.9102645,0.8975244,0.9225372,0.91163796,0.898314,0.8838412,0.0047539594,27,17
16,0.83177626,0.68629795,0.0012306178,0.8224518,0.87534297,0.9080788,0.8923967,0.920754,0.9086623,0.89574784,0.8767031,0.0047706845,9,7
17,0.82427067,0.67542696,0.0011584801,0.81450367,0.86907345,0.9055322,0.85400885,0.9185809,0.8196326,0.892849,0.89139503,0.0056130695,29,9
18,0.81874156,0.6666458,0.0010939894,0.8095801,0.8638223,0.90283567,0.86838466,0.9163078,0.85237986,0.88975394,0.8850021,0.0047355853,19,9
19,0.8121022,0.6563638,0.0010362081,0.8036395,0.85770684,0.89994353,0.868986,0.91392493,0.8602415,0.8863835,0.87791014,0.0046802647,16,9
