Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.96638674,0.90250695,0.0,0.95208913,0.9966574,0.96774197,0.9686464,0.940472,0.94198096,0.99664056,0.99686545
MINAS-BR,2,0.9647771,0.8965614,0.0,0.9496785,0.9969248,0.96667874,0.96703523,0.93846697,0.9388008,0.9966393,0.99702054
MINAS-BR,3,0.96269804,0.88997006,0.0,0.94769835,0.9958832,0.9652704,0.96448636,0.9364958,0.93511707,0.99586934,0.9957603
MINAS-BR,4,0.959265,0.8817568,0.0,0.9439048,0.9940175,0.96346927,0.9614837,0.93402547,0.9309948,0.9948298,0.99403715
MINAS-BR,5,0.9563363,0.8744765,0.0,0.94102997,0.9920959,0.96166134,0.9586923,0.9317099,0.9276794,0.9936024,0.9918505
MINAS-BR,6,0.95397437,0.86717266,0.0,0.9383935,0.99117655,0.9599037,0.95652384,0.92936873,0.9248146,0.9925133,0.99048483
MINAS-BR,7,0.9519454,0.86215067,0.0,0.9366999,0.9894593,0.9582941,0.9544053,0.92739606,0.9226228,0.991322,0.9884555
MINAS-BR,8,0.94942623,0.856835,0.0,0.9348108,0.9869146,0.9566692,0.95180154,0.9255923,0.9201838,0.9899053,0.9856693
MINAS-BR,9,0.9478793,0.852355,0.0,0.933579,0.9857315,0.9551787,0.949947,0.9239674,0.91811067,0.9885723,0.9840706
MINAS-BR,10,0.945395,0.8460244,0.0,0.9319598,0.9832563,0.95362914,0.9472947,0.92241323,0.91585,0.9870318,0.98097545
MINAS-BR,11,0.94345427,0.8415469,0.0,0.9306492,0.9812654,0.95213205,0.9452017,0.92096746,0.91402996,0.9854797,0.97857475
MINAS-BR,12,0.94069976,0.835983,0.0,0.9284842,0.97863144,0.9505943,0.9427292,0.9195034,0.9116727,0.98386127,0.9759761
MINAS-BR,13,0.9380937,0.8300386,0.0,0.92617595,0.9765048,0.94902235,0.9402133,0.9179733,0.9090376,0.9822454,0.9736034
MINAS-BR,14,0.93609023,0.8251974,0.0,0.9247602,0.9745938,0.94748867,0.9381737,0.9165039,0.9073328,0.9806417,0.971185
MINAS-BR,15,0.93341064,0.81827235,0.0,0.9226632,0.9723405,0.94590825,0.93570274,0.9149913,0.9050628,0.97898763,0.9684898
MINAS-BR,16,0.9301458,0.8104369,0.0,0.9197873,0.9697831,0.944229,0.9327665,0.9133398,0.90204287,0.9772807,0.96565694
MINAS-BR,17,0.92733383,0.8036709,0.0,0.9177083,0.9671693,0.9425215,0.77517754,0.9116891,0.7498412,0.9755124,0.80228597
MINAS-BR,18,0.9240272,0.79614305,0.0,0.9154871,0.9637361,0.94075334,0.7729407,0.9100335,0.74805266,0.97361964,0.7995418
MINAS-BR,19,0.9201924,0.78741294,0.0,0.91258824,0.96014255,0.9389044,0.77050847,0.90831554,0.7457993,0.9716253,0.796911
MINAS-BR,20,0.91659933,0.77962244,0.0,0.9097282,0.95684266,0.9370101,0.76818824,0.90654933,0.7435252,0.96958894,0.7945435
MINAS-BR,21,0.9129619,0.77145207,0.0,0.9065867,0.9537823,0.93507004,0.76577765,0.90471435,0.74108,0.9675335,0.7921782
MINAS-BR,22,0.9093655,0.7634159,0.0,0.9039721,0.9502824,0.9330951,0.76346624,0.9028657,0.7390291,0.96541893,0.7895748
MINAS-BR,23,0.9054009,0.7550596,0.0,0.9006234,0.94678795,0.93107605,0.7610084,0.9009581,0.73653656,0.9632773,0.78716224
MINAS-BR,24,0.90141934,0.7469023,0.0,0.89724165,0.94316536,0.9290198,0.7584163,0.89900565,0.7341705,0.96110725,0.78431815
MINAS-BR,25,0.8973394,0.739169,0.0,0.89379686,0.9393375,0.9269328,0.75587714,0.89701754,0.73178023,0.95891213,0.7816152
MINAS-BR,26,0.8938468,0.73190963,0.0,0.89086485,0.9361688,0.92484945,0.7536783,0.89502543,0.7296482,0.95672965,0.7793451
MINAS-BR,27,0.8900569,0.7245803,0.0,0.8877887,0.9325025,0.92275935,0.75130814,0.89302987,0.72745305,0.9545363,0.77678084
MINAS-BR,28,0.8861066,0.71739835,0.0,0.88432294,0.92881423,0.92064726,0.748692,0.89099586,0.7249033,0.9523402,0.77409506
MINAS-BR,29,0.8643827,0.69454926,0.0,0.86830604,0.9033392,0.91789186,0.8623344,0.8890883,0.86099935,0.94862413,0.86367345
MINAS-BR,30,0.8483223,0.67432433,0.0,0.85553503,0.8859264,0.9145974,0.8542235,0.8869541,0.84682703,0.9440192,0.8617502
