Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
51982,NP1,5,52200,28
51982,NP2,5,52200,28
51982,NP3,5,52200,28
51982,NP4,5,52200,28
51982,NP5,5,57600,31
51982,NP6,5,52200,28
51982,NP7,,,
51982,NP8,,,
51982,NP9,5,52200,28
51982,NP10,5,52200,28
51982,NP11,,,
51982,NP12,5,66600,36
51982,NP13,,,
51982,NP14,,,
51982,NP15,5,52200,28
51982,NP16,6,70200,38
51982,NP17,,,
51982,NP18,,,
51982,NP19,5,52200,28
51982,NP20,,,
51982,NP21,5,52200,28
51982,NP22,,,
51982,NP23,5,52200,28
51982,NP24,5,52200,28
51982,NP25,6,70200,38
51982,NP26,5,75600,41
51982,NP27,,,
51982,NP28,5,52200,28
51982,NP29,,,
51982,NP30,5,52200,28
51982,NP31,6,73800,40
51982,NP32,,,
51982,NP33,5,52200,28
51982,NP34,,,
51982,NP35,5,52200,28
51982,NP36,6,70200,38
51982,NP37,5,52200,28
51982,NP38,,,
51982,NP39,,,
51982,NP40,5,52200,28
51982,NP41,,,
