Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaBR,1,0.96907216,0.9727632,0.9579992,0.015368462,0.9709813,0.97823596,0.98463154,0.98463154,0.96990085,0.48844102,0.963238,0.48853153,0.9766566,0.4883505
EaBR,2,0.96763414,0.9749194,0.9457705,0.016135192,0.97689515,0.98023677,0.9841204,0.9838648,0.97100353,0.4873021,0.9670139,0.48746705,0.97502625,0.48713726
EaBR,3,0.9607893,0.9711789,0.929599,0.01957352,0.97530234,0.9774666,0.9822736,0.98042643,0.96960604,0.48513126,0.96686256,0.48525625,0.9723651,0.48500633
EaBR,4,0.96406627,0.97356,0.93554854,0.01787931,0.97738636,0.9792323,0.9822124,0.98212063,0.96991813,0.64854836,0.9677461,0.62123775,0.97209996,0.67837054
EaBR,5,0.9681205,0.9760218,0.9443893,0.015755098,0.97900593,0.9809411,0.9828899,0.9842449,0.9709305,0.7309195,0.96904415,0.72936815,0.9728242,0.7324775
EaBR,6,0.9702824,0.97711134,0.949774,0.014529888,0.97935367,0.9816984,0.9836271,0.9854701,0.9719227,0.7327791,0.9701602,0.7312327,0.9736916,0.73433197
EaBR,7,0.9720176,0.9780886,0.95378405,0.013518306,0.9797931,0.9824576,0.98434067,0.98648167,0.972874,0.73396623,0.97117585,0.7323377,0.9745781,0.735602
EaBR,8,0.97222084,0.97792935,0.9550728,0.013284793,0.9792632,0.98231083,0.98486835,0.98671526,0.97353804,0.734023,0.97185665,0.7322658,0.9752253,0.73578864
EaBR,9,0.9718697,0.97788805,0.95378345,0.013516954,0.97957253,0.9822391,0.9851913,0.9864831,0.9739203,0.7335176,0.97229624,0.7321578,0.9755499,0.73488235
EaBR,10,0.9700481,0.9768351,0.94958174,0.014552538,0.97900516,0.9814941,0.98523784,0.98544747,0.97392184,0.7317073,0.97237414,0.7306434,0.9754746,0.7327743
EaBR,11,0.96831447,0.9756708,0.94600505,0.015521373,0.9782283,0.9804678,0.9851113,0.9844786,0.97366,0.73016506,0.9721944,0.72928965,0.9751301,0.7310426
EaBR,12,0.9687586,0.9760092,0.9467804,0.015270395,0.9785624,0.9807108,0.9850526,0.98472965,0.9735024,0.7303895,0.9721142,0.7296307,0.97489446,0.73114985
EaBR,13,0.96945757,0.9764926,0.94814163,0.014881739,0.97890395,0.98112214,0.98506194,0.98511827,0.9734524,0.7308443,0.9721218,0.73006463,0.97478664,0.7316256
EaBR,14,0.9699203,0.9768653,0.94889915,0.014678198,0.97929215,0.9813792,0.98509663,0.9853218,0.9734442,0.73101395,0.9721651,0.73027927,0.97472686,0.7317502
EaBR,15,0.96981204,0.9767816,0.9487408,0.01475007,0.9791448,0.98137283,0.98511577,0.98524994,0.97340894,0.73080945,0.9721499,0.72994715,0.9746712,0.73167366
EaBR,16,0.9704693,0.97718376,0.95017785,0.014383251,0.97931427,0.9817492,0.9851747,0.98561674,0.9734415,0.73121494,0.97218317,0.73025715,0.97470295,0.7321754
EaBR,17,0.9709256,0.9775093,0.9510414,0.014115757,0.9795762,0.9820027,0.9852536,0.9858842,0.97351146,0.7314997,0.9722602,0.7305878,0.97476596,0.7324138
EaBR,18,0.9699345,0.97697115,0.9486684,0.014668435,0.97927845,0.98165876,0.98526174,0.98533154,0.9734869,0.73090386,0.9722534,0.73009557,0.9747236,0.73171407
EaBR,19,0.96548414,0.974255,0.93717706,0.017756267,0.97690356,0.97990984,0.98495996,0.9822438,0.97303635,0.95159304,0.9718332,0.9486955,0.97424245,0.9545084
EaBR,20,0.96283174,0.9727017,0.92985237,0.019561315,0.9757045,0.97875345,0.9845294,0.9804387,0.97246695,0.9593166,0.97130287,0.95768875,0.9736339,0.9609501
EaBR,21,0.96029836,0.97102433,0.9244075,0.021053493,0.974489,0.9773073,0.98402184,0.9789465,0.97179407,0.9591189,0.97067,0.9578521,0.97292084,0.96038896
EaBR,22,0.9600426,0.9709197,0.9238849,0.021112211,0.9745113,0.9772594,0.9835754,0.9788878,0.97120315,0.9599497,0.9701189,0.9588652,0.97228986,0.9610365
EaBR,23,0.9610907,0.9716204,0.92613137,0.020480778,0.9750383,0.9778246,0.9832374,0.9795192,0.97076505,0.96208,0.9697142,0.9610656,0.9718183,0.96309656
EaBR,24,0.9620593,0.97218776,0.9284452,0.019917877,0.97543377,0.97819954,0.98298496,0.98008215,0.9704435,0.9636623,0.96942186,0.9626651,0.97146726,0.9646616
EaBR,25,0.96245396,0.9722106,0.9300851,0.019636828,0.9752934,0.97804785,0.9827833,0.9803632,0.9701823,0.9643467,0.96918756,0.9634235,0.9711791,0.9652717
EaBR,26,0.9625391,0.97196203,0.9312903,0.019483905,0.97488475,0.97765815,0.98261535,0.9805161,0.96995646,0.96493214,0.96898884,0.9641026,0.97092605,0.965763
EaBR,27,0.9627524,0.9718727,0.93251944,0.019264504,0.9746407,0.9774529,0.9824811,0.9807355,0.9697696,0.9654954,0.9688291,0.9647264,0.970712,0.9662656
EaBR,28,0.9631414,0.97205234,0.93363345,0.018965282,0.9746802,0.9775965,0.98238134,0.9810347,0.9696269,0.9660527,0.9687133,0.9653505,0.9705422,0.96675587
EaBR,29,0.96239054,0.97157985,0.93211544,0.019295866,0.97440076,0.9772626,0.9822695,0.9807042,0.96945727,0.9656039,0.9685709,0.96497595,0.9703452,0.96623266
EaBR,30,0.9617045,0.9712014,0.9305458,0.019661706,0.97420573,0.9770613,0.98214495,0.98033834,0.96927226,0.9651766,0.9684129,0.9645961,0.9701332,0.9657578
EaBR,31,0.96065336,0.9705791,0.9281041,0.020271935,0.9737972,0.9766378,0.9819939,0.97972804,0.96905166,0.96428967,0.9682193,0.9637667,0.96988547,0.9648133
EaBR,32,0.9600366,0.9702045,0.9268057,0.02055755,0.9736152,0.9763552,0.98183924,0.9794425,0.9688243,0.9638928,0.9680186,0.96341467,0.9696314,0.96437144
EaBR,33,0.9601711,0.9702778,0.92719483,0.020461254,0.9737145,0.9763714,0.98170394,0.97953874,0.96862125,0.9641229,0.96784145,0.96368337,0.9694023,0.9645627
EaBR,34,0.9605898,0.97055775,0.9281004,0.020218957,0.9739427,0.9765889,0.981594,0.97978103,0.9684524,0.96456844,0.96769506,0.96411943,0.96921086,0.9650179
EaBR,35,0.9608428,0.97070134,0.9287468,0.020058714,0.9740706,0.976663,0.98150223,0.9799413,0.96830636,0.9647916,0.96757084,0.9643733,0.96904296,0.96521026
