Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
HOMER,1,0.57331043,0.5756647,0.5662467,0.41962582,0.5803742,0.57331043,0.58132875,0.58132875,0.58092874,0.6074764,0.58983314,0.6533012,0.57228917,0.56765884
HOMER,2,0.48930687,0.5104133,0.42600727,0.44930303,0.5522246,0.48968875,0.52781314,0.50105023,0.543755,0.5108048,0.574753,0.53685653,0.5159295,0.4871643
HOMER,3,0.40458307,0.44219708,0.29178867,0.490261,0.51712286,0.4048377,0.47212145,0.41642267,0.506354,0.46231166,0.5550336,0.5135156,0.4655248,0.42039323
HOMER,4,0.338203,0.3712546,0.239091,0.56354433,0.43669435,0.33882365,0.42329404,0.46009362,0.46438882,0.4112349,0.5128516,0.6235438,0.4242944,0.3067801
HOMER,5,0.31059507,0.3390223,0.22534566,0.45122603,0.38965702,0.31678253,0.4104305,0.47484708,0.43314648,0.38926172,0.47672725,0.5877787,0.39686632,0.29098436
HOMER,6,0.3070851,0.3319831,0.23241454,0.37653574,0.3729709,0.3158699,0.41338757,0.48492992,0.4127706,0.38423473,0.45154586,0.57524747,0.38012812,0.28845298
HOMER,7,0.31148034,0.33326682,0.24613957,0.32340264,0.36795437,0.32034704,0.4221804,0.4945018,0.39956543,0.38057175,0.43431145,0.5643073,0.3699671,0.28709507
HOMER,8,0.31358325,0.33286119,0.25581285,0.2873717,0.36323705,0.32169968,0.43181163,0.49892673,0.3900408,0.36285836,0.4214399,0.49646902,0.362996,0.28591293
HOMER,9,0.31787163,0.33648455,0.26244536,0.2670288,0.36565802,0.32551032,0.44136664,0.5028542,0.38383812,0.3426353,0.4128786,0.415823,0.35861444,0.29135486
HOMER,10,0.32634726,0.34588325,0.26836255,0.25591078,0.37718192,0.33347967,0.45060855,0.5066746,0.38088208,0.33366933,0.40875125,0.37591526,0.35657063,0.29995945
HOMER,11,0.33937278,0.35861835,0.28223202,0.24400152,0.38999617,0.34589154,0.45984313,0.51463825,0.38038638,0.33426014,0.40766403,0.36318353,0.35653022,0.30960375
HOMER,12,0.35554308,0.37354103,0.3020976,0.23083045,0.40293473,0.3615982,0.46962687,0.52810806,0.38194674,0.34117478,0.40869045,0.36224332,0.3584881,0.3224223
HOMER,13,0.37148806,0.38836163,0.32137504,0.21956809,0.41596887,0.3771215,0.479673,0.5416796,0.38502428,0.34942946,0.41125497,0.36416912,0.36193907,0.33583653
HOMER,14,0.38216782,0.39827353,0.3343246,0.21054211,0.4247265,0.3874534,0.48922428,0.55128604,0.38864303,0.35481498,0.41438478,0.36452153,0.36591238,0.34561196
HOMER,15,0.38933554,0.40472478,0.34361234,0.1997912,0.4301011,0.39429426,0.49797115,0.55858034,0.39226443,0.35901427,0.41752198,0.3656623,0.3698884,0.35260367
HOMER,16,0.39233685,0.40682784,0.34928024,0.1880446,0.4307336,0.39699754,0.50567824,0.56305474,0.3953929,0.3605543,0.42010972,0.3649305,0.37342286,0.3562818
HOMER,17,0.3909407,0.4047658,0.34985507,0.17799447,0.42761812,0.3953497,0.512157,0.56418496,0.3977138,0.35879326,0.42185947,0.36152348,0.37618256,0.356104
HOMER,18,0.38436845,0.3983781,0.34279045,0.17646684,0.4217825,0.3886616,0.5169585,0.55884427,0.39891252,0.354179,0.42269528,0.35777482,0.37766343,0.3506547
HOMER,19,0.3770155,0.3934887,0.32911164,0.17130049,0.42273286,0.38184574,0.52033126,0.5737273,0.39950016,0.41264752,0.42381275,0.5337655,0.37782568,0.33633006
HOMER,20,0.36993435,0.38852152,0.31676248,0.16573404,0.42397013,0.37476814,0.5226389,0.56408894,0.39970386,0.4148456,0.42527106,0.55341995,0.37703648,0.33177125
HOMER,21,0.36061805,0.38012728,0.30484366,0.15896979,0.41730478,0.36587632,0.5243273,0.5624666,0.39920533,0.40590423,0.42610943,0.54400975,0.37549677,0.3237222
HOMER,22,0.349748,0.36940235,0.29347014,0.1517961,0.40505582,0.35661316,0.52576226,0.5620203,0.3978782,0.38689476,0.42575583,0.5088917,0.37342694,0.31207967
HOMER,23,0.34017995,0.3594402,0.2849622,0.14519638,0.39320767,0.34800875,0.5271366,0.56482655,0.39593154,0.3734656,0.42441592,0.48827893,0.37103012,0.30236733
HOMER,24,0.33340657,0.3521761,0.27955055,0.13914663,0.38423282,0.34184024,0.52856946,0.5682156,0.39366707,0.36431465,0.42248166,0.4747432,0.36853197,0.29556435
