Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
233,NP1,,,
646,NP2,,,
669,NP3,,,
835,NP4,,,
1127,NP5,,,
1127,NP6,,,
2330,NP7,,,
3656,NP8,,,
4085,NP9,0,26180,9
4113,NP10,0,10472,3
4986,NP11,,,
6536,NP12,0,28798,10
6788,NP13,,,
7506,NP14,,,
8072,NP15,,,
8146,NP16,,,
8489,NP17,,,
9498,NP18,,,
10053,NP19,,,
10084,NP20,,,
10181,NP21,,,
10422,NP22,0,10472,3
10451,NP23,0,10472,3
10472,NP24,0,10472,3
10699,NP25,0,13090,4
11328,NP26,0,13090,4
11426,NP27,0,13090,4
11501,NP28,0,13090,4
11549,NP29,,,
11957,NP30,,,
12133,NP31,,,
12170,NP32,0,13090,4
13758,NP33,0,15708,5
14078,NP34,0,15708,5
14167,NP35,0,15708,5
14233,NP36,0,15708,5
14310,NP37,0,15708,5
14516,NP38,,,
15713,NP39,0,18326,6
16439,NP40,,,
17078,NP41,0,18326,6
17980,NP42,,,
18079,NP43,,,
18286,NP44,,,
19354,NP45,,,
19457,NP46,0,20944,7
19751,NP47,0,20944,7
20173,NP48,,,
20757,NP49,0,23562,8
21787,NP50,0,23562,8
22844,NP51,0,23562,8
22953,NP52,,,
23877,NP53,0,26180,9
30354,NP54,0,31416,11
30366,NP55,,,
30962,NP56,,,
31155,NP57,0,31416,11
32364,NP58,,,
34159,NP59,,,
35579,NP60,,,
35737,NP61,,,
36345,NP62,,,
36939,NP63,0,39270,14
39287,NP64,,,
42246,NP65,0,44506,16
43741,NP66,0,44506,16
45100,NP67,0,47124,17
50007,NP68,1,52360,19
52239,NP69,1,52360,19
54956,NP70,0,54978,20
55937,NP71,,,
56577,NP72,,,
57374,NP73,0,57596,21
58530,NP74,1,65450,24
60400,NP75,,,
62470,NP76,,,
62714,NP77,0,62832,23
66301,NP78,,,
68330,NP79,1,70686,26
69619,NP80,0,70686,26
81867,NP81,,,
84762,NP82,0,86394,32
85391,NP83,1,91630,34
95187,NP84,1,102102,38
96210,NP85,1,96866,36
98165,NP86,,,
116254,NP87,1,125664,47
117238,NP88,0,117810,44
118673,NP89,0,120428,45
121354,NP90,1,123046,46
121395,NP91,0,123046,46
122143,NP92,,,
122934,NP93,,,
124862,NP94,,,
126792,NP95,1,128282,48
