Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.147229,0.0,0.0,0.08278474,NaN,0.1458554,0.11628687,0.07936203,0.06404131,0.89950216,0.631343
MINAS-BR,2,0.15080106,0.0,0.0,0.08541896,NaN,0.14821255,0.11338892,0.080753915,0.06200854,0.9002256,0.66155165
MINAS-BR,3,0.15206845,0.0,0.0,0.085987315,NaN,0.14952236,0.10704542,0.08155953,0.058429144,0.8969067,0.63738424
MINAS-BR,4,0.15223697,0.0,0.0,0.086374596,NaN,0.14988032,0.10207035,0.08181889,0.05560129,0.8913737,0.6214516
MINAS-BR,5,0.15136138,0.0,0.0,0.08584401,NaN,0.15001237,0.100628,0.08194086,0.054914854,0.8862808,0.6005374
MINAS-BR,6,0.15263562,0.0,0.0,0.086725004,NaN,0.15048043,0.09445575,0.08224663,0.05152839,0.88322747,0.56587994
MINAS-BR,7,0.15081306,0.0,0.0,0.08548904,NaN,0.15037583,0.09387202,0.08220365,0.051178407,0.8809794,0.5662152
MINAS-BR,8,0.15338649,0.0,0.0,0.08766978,NaN,0.15067232,0.09514555,0.08240865,0.052010678,0.87781644,0.5575362
MINAS-BR,9,0.1507979,0.0,0.0,0.08599629,NaN,0.15048344,0.092038445,0.08231396,0.05024772,0.8757402,0.5468514
MINAS-BR,10,0.15022129,0.0,0.0,0.08556595,NaN,0.15023997,0.08962732,0.08217792,0.048897352,0.87464726,0.53658986
MINAS-BR,11,0.14980502,0.0,0.0,0.08534991,NaN,0.15006173,0.08952884,0.082080744,0.04885637,0.8735738,0.53447
MINAS-BR,12,0.15017112,0.0,0.0,0.08552671,NaN,0.14998697,0.08729471,0.08204208,0.04765696,0.87288594,0.51877916
MINAS-BR,13,0.14952518,0.0,0.0,0.085135385,NaN,0.14988226,0.087144375,0.08198396,0.04755916,0.87237173,0.5197566
MINAS-BR,14,0.14869149,0.0,0.0,0.0846167,NaN,0.14973073,0.08669968,0.08189802,0.04729598,0.8718367,0.51956457
MINAS-BR,15,0.14969294,0.0,0.0,0.08526444,NaN,0.14973748,0.086336374,0.08190766,0.047121707,0.87120205,0.51451844
MINAS-BR,16,0.15037224,0.0,0.0,0.08580613,NaN,0.14979392,0.08643098,0.0819475,0.0471918,0.8705183,0.5128924
MINAS-BR,17,0.15137023,0.0,0.0,0.08654375,NaN,0.14992301,0.08599875,0.08203078,0.046981484,0.8698419,0.50731295
MINAS-BR,18,0.15043396,0.0,0.0,0.08597626,NaN,0.1499461,0.08546737,0.08205096,0.046662282,0.8691281,0.50757307
MINAS-BR,19,0.15106152,0.0,0.0,0.08644629,NaN,0.15003137,0.08570348,0.08211018,0.04681809,0.86821544,0.5058142
MINAS-BR,20,0.15099868,0.0,0.0,0.086446695,NaN,0.1500953,0.08570781,0.08215694,0.046821613,0.8672721,0.50570524
MINAS-BR,21,0.15073243,0.0,0.0,0.08629274,NaN,0.15012774,0.08471978,0.08218473,0.04628358,0.8663425,0.49967414
MINAS-BR,22,0.15004654,0.0,0.0,0.0858658,NaN,0.15010096,0.08435542,0.08217649,0.046077937,0.8654754,0.4982945
MINAS-BR,23,0.15050901,0.0,0.0,0.086154394,NaN,0.15011328,0.08449345,0.08219006,0.046158202,0.86479026,0.4985414
MINAS-BR,24,0.1502114,0.0,0.0,0.08602286,NaN,0.15009454,0.08422296,0.082184896,0.0460052,0.8641181,0.49755633
MINAS-BR,25,0.14987653,0.0,0.0,0.0858358,NaN,0.15005517,0.08406395,0.08216744,0.045907997,0.86343783,0.49783033
MINAS-BR,26,0.14985874,0.0,0.0,0.085811265,NaN,0.15001267,0.08401436,0.082147196,0.04587277,0.8628592,0.498497
MINAS-BR,27,0.14992525,0.0,0.0,0.08583484,NaN,0.14998314,0.08400965,0.08213381,0.04587113,0.86238235,0.49835902
MINAS-BR,28,0.15046869,0.0,0.0,0.0862083,NaN,0.14998971,0.08433105,0.0821418,0.046059933,0.86193645,0.49869984
MINAS-BR,29,0.15044732,0.0,0.0,0.086228214,NaN,0.1500013,0.084317945,0.08215261,0.046052556,0.8615118,0.49864835
MINAS-BR,30,0.15088081,0.0,0.0,0.08654935,NaN,0.15003689,0.08447018,0.08217814,0.046151247,0.8610527,0.49773312
MINAS-BR,31,0.15088044,0.0,0.0,0.08653974,NaN,0.15007618,0.08456031,0.08220544,0.04619837,0.8606438,0.49851158
MINAS-BR,32,0.15155603,0.0,0.0,0.08693883,NaN,0.1501561,0.08487686,0.08225684,0.046389867,0.8602674,0.4982273
MINAS-BR,33,0.15182321,0.0,0.0,0.08712671,NaN,0.15024006,0.084939346,0.08231087,0.0464307,0.8598712,0.4978241
MINAS-BR,34,0.15207054,0.0,0.0,0.08727883,NaN,0.15033321,0.085078984,0.08236991,0.04651398,0.85953194,0.49784586
MINAS-BR,35,0.15220873,0.0,0.0,0.08738175,NaN,0.15042764,0.08512948,0.082430094,0.046549477,0.85915375,0.49723873
MINAS-BR,36,0.15235695,0.0,0.0,0.08746709,NaN,0.15052152,0.08521526,0.08249038,0.046608467,0.85873,0.49636525
