Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.4116278,0.0,0.18604651,0.29263562,0.8372093,0.41121495,0.27409077,0.28025478,0.20975609,0.7719298,0.39534885
MINAS-BR,2,0.45271313,0.034883723,0.10465116,0.32364348,0.89534885,0.43066883,0.27626216,0.29139072,0.21298702,0.825,0.39302325
MINAS-BR,3,0.46434137,0.031007752,0.07751938,0.3301033,0.9147287,0.44166666,0.27841374,0.2977528,0.21578947,0.8548387,0.39224806
MINAS-BR,4,0.49205455,0.069767445,0.06395349,0.3619185,0.92151165,0.45273376,0.33740416,0.30572808,0.23623638,0.87204725,0.5901235
MINAS-BR,5,0.55508626,0.17840375,0.051643193,0.43935835,0.9319249,0.4684621,0.3767411,0.31855422,0.2775628,0.88487285,0.5862019
MINAS-BR,6,0.56312335,0.19685039,0.04330709,0.4498032,0.93110234,0.47897622,0.38228986,0.32726625,0.2847601,0.89289194,0.5814278
MINAS-BR,7,0.54668856,0.17171717,0.037037037,0.42929307,0.93434346,0.48351207,0.4039176,0.3307065,0.27499375,0.8988183,0.7604226
MINAS-BR,8,0.546607,0.16224189,0.032448377,0.42699116,0.93952805,0.48689958,0.4001018,0.33319104,0.27287766,0.9038796,0.74957913
MINAS-BR,9,0.5479922,0.15706806,0.028795812,0.4262652,0.9463351,0.48991355,0.4019984,0.33527696,0.2729476,0.90930235,0.76252234
MINAS-BR,10,0.5363127,0.14352942,0.025882352,0.41313714,0.9435294,0.49070942,0.3968833,0.33553278,0.2684308,0.91291064,0.76108736
MINAS-BR,11,0.5279189,0.13034189,0.023504274,0.40206537,0.94871795,0.49034682,0.3930094,0.33469388,0.26417348,0.91664004,0.7671384
MINAS-BR,12,0.51976365,0.119373776,0.021526419,0.3923677,0.94716245,0.4893218,0.38894486,0.3333661,0.26058954,0.9194685,0.76648074
MINAS-BR,13,0.5137166,0.1101083,0.019855596,0.38432586,0.95126355,0.48788306,0.38499075,0.3316566,0.25677413,0.9223595,0.76896054
MINAS-BR,14,0.4780552,0.10217755,0.083752096,0.35748163,0.88609713,0.4817083,0.3608755,0.32666475,0.23575048,0.91688627,0.7690504
MINAS-BR,15,0.44593588,0.0953125,0.1359375,0.33346334,0.8265625,0.472653,0.33955306,0.31976378,0.21787485,0.90569395,0.7690504
MINAS-BR,16,0.4183489,0.08931186,0.17862372,0.31283534,0.7752562,0.46214166,0.3221673,0.3119934,0.20376043,0.8908833,0.76909465
MINAS-BR,17,0.3945733,0.08413793,0.21931034,0.2950573,0.73103446,0.45075825,0.30586833,0.30369684,0.19089153,0.8739649,0.76912177
MINAS-BR,18,0.37334934,0.079427086,0.26041666,0.2791882,0.69140625,0.43886375,0.2905751,0.2950905,0.17911854,0.8558479,0.76922625
MINAS-BR,19,0.3771049,0.07768188,0.24907522,0.28082594,0.7034525,0.4293327,0.29373696,0.28819162,0.18161747,0.8414122,0.7676166
MINAS-BR,20,0.37927762,0.07520564,0.24089307,0.28094378,0.7144536,0.42152303,0.29544085,0.28250664,0.18286963,0.82990324,0.76854014
MINAS-BR,21,0.38657537,0.07494407,0.23154363,0.28616676,0.7259508,0.4154299,0.2991131,0.27808285,0.18569523,0.8208564,0.7684823
MINAS-BR,22,0.3932033,0.075773746,0.22198506,0.2911773,0.7369264,0.41072625,0.30306453,0.27467415,0.18870361,0.813838,0.7692666
MINAS-BR,23,0.39972442,0.08,0.21538462,0.29743573,0.7425641,0.40714058,0.3074248,0.2721092,0.19234452,0.80820304,0.76531506
MINAS-BR,24,0.38659257,0.076696165,0.2291052,0.288266,0.7161586,0.40315214,0.2512503,0.26936454,0.15654694,0.8009835,0.6359994
MINAS-BR,25,0.37196276,0.073793754,0.24597919,0.27735716,0.68905705,0.39869633,0.2451913,0.26632252,0.15187027,0.79270494,0.6359994
MINAS-BR,26,0.35872686,0.071167886,0.25638688,0.2674877,0.66453767,0.3940163,0.24018586,0.26316229,0.14804822,0.7837018,0.6359994
