Ex: 1	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 2	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 3	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 4	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 5	 True Labels: [0, 5]	 MINAS-BR Prediction: [0]
Ex: 6	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 7	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 8	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 9	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 10	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 11	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 12	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 13	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 14	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 15	 True Labels: [0, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 16	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 17	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 18	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 19	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 20	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 21	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 22	 True Labels: [0]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 23	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 24	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 25	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 26	 True Labels: [0]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 27	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 28	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 29	 True Labels: [0]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 30	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 31	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 32	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 33	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 34	 True Labels: [0]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 35	 True Labels: [0, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 36	 True Labels: [0]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 37	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 38	 True Labels: [0]	 MINAS-BR Prediction: [3]
Ex: 39	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 40	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 41	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 42	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 43	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 44	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 45	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 46	 True Labels: [0, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 47	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 48	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 49	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 50	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 51	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 52	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 53	 True Labels: [0]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 54	 True Labels: [0]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 55	 True Labels: [0, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
