Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.6666666,0.37209302,0.0,0.5678295,1.0,0.5695364,0.25,0.39814815,0.25,1.0,0.25
MINAS-BR,2,0.70745116,0.44705883,0.0,0.62058824,1.0,0.58986175,0.25,0.41830066,0.25,1.0,0.25
MINAS-BR,3,0.7013125,0.42519686,0.0,0.6108924,1.0,0.5937136,0.25,0.42218542,0.25,1.0,0.25
MINAS-BR,4,0.5914848,0.32352942,0.11176471,0.5039216,0.8813725,0.5471698,0.20698643,0.38629878,0.1500945,0.93764436,0.33333334
MINAS-BR,5,0.47776297,0.25943395,0.2688679,0.4068397,0.71147794,0.4841923,0.17936637,0.33817303,0.122693926,0.85213417,0.33333334
MINAS-BR,6,0.4019276,0.21825397,0.34920636,0.34226197,0.59854496,0.43060175,0.1573945,0.29815745,0.103019245,0.7747552,0.33333334
MINAS-BR,7,0.34334153,0.18644068,0.40677965,0.29237294,0.51129943,0.38564423,0.13994673,0.26533744,0.088564925,0.7055465,0.33333334
MINAS-BR,8,0.30064818,0.16272189,0.46745563,0.2559172,0.44773173,0.34778157,0.124522395,0.23797292,0.078194395,0.6457541,0.30555555
MINAS-BR,9,0.27180463,0.14473684,0.51842105,0.23092109,0.40482455,0.31656802,0.117581144,0.2155283,0.072193645,0.59594935,0.31666666
MINAS-BR,10,0.24811451,0.13002364,0.5650118,0.21040192,0.36958233,0.29038897,0.111556746,0.19679835,0.06745523,0.553719,0.32222223
MINAS-BR,11,0.2288583,0.11827957,0.6,0.19390686,0.3405018,0.26836434,0.1057816,0.18112981,0.063187964,0.5176915,0.3245614
MINAS-BR,12,0.21145496,0.10826772,0.63188976,0.17896986,0.31463253,0.24957213,0.1001676,0.16785106,0.059182916,0.48636892,0.3257576
MINAS-BR,13,0.21939354,0.09981851,0.60254085,0.18042956,0.34996974,0.2371706,0.11313668,0.15897566,0.0682561,0.46674937,0.33035716
MINAS-BR,14,0.22893226,0.09259259,0.5673401,0.18350172,0.38608304,0.22958799,0.12464491,0.15346248,0.07720917,0.4555794,0.32323232
MINAS-BR,15,0.23922378,0.08634223,0.53375196,0.18733652,0.42281523,0.22546172,0.13479523,0.15030311,0.08518513,0.45096567,0.32276997
MINAS-BR,16,0.24953723,0.080882356,0.5029412,0.19191183,0.45563722,0.2238353,0.14370213,0.14886537,0.09229908,0.45092532,0.32432434
MINAS-BR,17,0.25848556,0.076071925,0.47302905,0.19536659,0.48801288,0.22395025,0.15126115,0.14859611,0.09847462,0.45435867,0.32602337
