Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.41359243,0.0,0.52272725,0.36616164,0.4880952,0.4347826,0.37110767,0.3661616,0.25349653,0.53505534,0.6923077,0.0,0
2,0.4537959,0.0,0.4659091,0.40404025,0.53211147,0.45835385,0.39845046,0.39141414,0.27972028,0.5529132,0.6923077,0.0,0
3,0.4427898,0.0,0.45454547,0.39309734,0.52234566,0.45888725,0.39070415,0.3922559,0.27214453,0.55278766,0.6923077,0.0,0
4,0.43297955,0.0,0.4943182,0.38005015,0.5201526,0.45458588,0.38130763,0.38737375,0.2631119,0.55001795,0.6923077,0.0,0
5,0.43855518,0.0,0.47272727,0.3883834,0.52170163,0.45464417,0.38732967,0.38771045,0.2688811,0.54951084,0.6923077,0.0,0
6,0.43376687,0.0,0.47727272,0.38215446,0.5194781,0.453403,0.38283518,0.38612315,0.26456875,0.5490766,0.6923077,0.0,0
7,0.4327714,0.0,0.48376623,0.380952,0.5190814,0.45258802,0.3819629,0.38483045,0.26373628,0.54930484,0.6923077,0.0,0
8,0.43462706,0.0,0.48295453,0.38289118,0.5209879,0.4524252,0.38336873,0.38439956,0.26507866,0.5497041,0.6923077,0.0,0
9,0.44211876,0.0,0.46717173,0.3900111,0.5287409,0.45374987,0.38849726,0.3855219,0.27000776,0.55132014,0.6923077,0.0,0
10,0.43814617,0.0,0.47727272,0.38611117,0.5251983,0.45419642,0.38569447,0.38562903,0.2673077,0.55242044,0.6923077,0.0,0
11,0.43876553,0.0,0.4752066,0.3872821,0.5242561,0.454652,0.38653746,0.3859045,0.2681182,0.55320317,0.6923077,0.0,0
12,0.4389509,0.0,0.47537878,0.38699526,0.5252943,0.45504844,0.38633102,0.38607225,0.26791957,0.5540327,0.6923077,0.0,0
13,0.44538736,0.0,0.4562937,0.3906375,0.53992,0.4561702,0.38894558,0.38672438,0.2704411,0.5560166,0.6923077,0.0,0
14,0.449695,0.0,0.43344155,0.39051268,0.5578031,0.45752525,0.3888562,0.38722944,0.27035466,0.55900425,0.6923077,0.0,0
15,0.45715058,0.0,0.41060606,0.39377147,0.5757284,0.459415,0.39118433,0.38804713,0.2726107,0.5629503,0.6923077,0.0,0
16,0.46210507,0.0,0.38920453,0.39520282,0.5905062,0.46145883,0.39220324,0.3888889,0.27360138,0.5673267,0.6923077,0.0,0
17,0.46445087,0.0,0.36764705,0.3943862,0.60371876,0.46338424,0.39162183,0.38949957,0.2730358,0.57186127,0.6923077,0.0,0
18,0.46708244,0.0,0.3510101,0.393941,0.61624044,0.46522322,0.39130437,0.38996693,0.27272728,0.5764714,0.6923077,0.0,0
19,0.4665834,0.0,0.34808612,0.39208043,0.6197032,0.46673235,0.3621212,0.39017808,0.2520506,0.5806598,0.64285713,0.0,0
20,0.46311525,0.0,0.3556818,0.38851207,0.615659,0.46768227,0.35974744,0.39001924,0.24975649,0.583965,0.64285713,0.0,0
21,0.45984438,0.0,0.36363637,0.38528347,0.61175776,0.46820027,0.3575893,0.38958853,0.2476809,0.5865565,0.64285713,0.0,0
22,0.45685086,0.0,0.36880165,0.38223365,0.6083589,0.46837664,0.3555413,0.38894877,0.24572018,0.58856934,0.64285713,0.0,0
23,0.45316607,0.0,0.37648222,0.3786805,0.6039509,0.468215,0.35314396,0.38809288,0.2434359,0.59002644,0.64285713,0.0,0
24,0.4523994,0.0,0.37689394,0.37784338,0.60303986,0.4680128,0.35257733,0.38727272,0.24289772,0.5912865,0.64285713,0.0,0
25,0.4511467,0.0,0.37727273,0.3763662,0.6018023,0.46771932,0.35157573,0.38643357,0.24194804,0.59231114,0.64285713,0.0,0
26,0.44791818,0.0,0.3846154,0.37306017,0.59886897,0.4672245,0.3493265,0.38544273,0.23982267,0.5930571,0.64285713,0.0,0
27,0.4467946,0.0,0.3872054,0.37177607,0.59765804,0.4666872,0.3484499,0.38446635,0.23899712,0.5936417,0.64285713,0.0,0
28,0.444047,0.0,0.39448053,0.36914068,0.59458077,0.46601096,0.34664574,0.3834092,0.23730288,0.59397763,0.64285713,0.0,0
29,0.44315556,0.0,0.39498433,0.36808035,0.59346956,0.46532166,0.3459178,0.3823871,0.23662114,0.5941943,0.64285713,0.0,0
30,0.4417842,0.0,0.39772728,0.36700645,0.5909664,0.46460858,0.3451794,0.3813946,0.23593071,0.594268,0.64285713,0.0,0
31,0.4408682,0.0,0.40029326,0.3660833,0.58982223,0.4638995,0.3445438,0.38043743,0.23533723,0.5942739,0.64285713,0.0,0
32,0.43971923,0.0,0.40269887,0.36490214,0.5883121,0.4631756,0.34372935,0.3794957,0.23457792,0.5941979,0.64285713,0.0,0
33,0.4392532,0.0,0.40151516,0.36425155,0.5878077,0.46248123,0.34328026,0.3785988,0.23415978,0.5941131,0.64285713,0.0,0
34,0.43829873,0.0,0.40307486,0.36304486,0.5872081,0.46178195,0.34244615,0.37770987,0.23338427,0.5939957,0.64285713,0.0,0
35,0.4366019,0.0,0.40584415,0.3613299,0.58548856,0.46104574,0.3412581,0.37679973,0.23228203,0.593812,0.64285713,0.0,0
36,0.43534046,0.0,0.40782827,0.3601312,0.58377135,0.46029666,0.34042588,0.37589863,0.23151156,0.59356606,0.64285713,0.0,0
37,0.43386647,0.0,0.4090909,0.35851946,0.58260465,0.4595271,0.3393045,0.37498385,0.23047559,0.59328914,0.64285713,0.0,0
