Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.4472411,0.0,0.0,0.29827344,0.9767442,0.46015042,0.46443602,0.3,0.30352178,0.9870968,0.988492,0.0,0
2,0.44675916,0.0,0.0,0.29848483,0.9883721,0.46015036,0.46353933,0.29960835,0.30218783,0.99136066,0.9946012,0.0,0
3,0.44968507,0.0,0.0,0.30129197,0.9906977,0.4616154,0.46542692,0.30074942,0.3038026,0.9924731,0.9945114,0.0,0
4,0.44977224,0.0,0.0,0.30049342,0.9930233,0.46183836,0.46421483,0.30084002,0.3026283,0.9935484,0.9960492,0.0,0
5,0.44662133,0.0,0.0,0.2971366,0.99286824,0.46056846,0.46041343,0.29972646,0.29942304,0.9939525,0.99585134,0.0,0
6,0.44246757,0.0,0.0,0.29310748,0.9921189,0.4584437,0.4556158,0.29794362,0.29543874,0.99379265,0.99515647,0.0,0
7,0.44125018,0.0,0.0,0.29283863,0.9921373,0.4570415,0.45519796,0.29676923,0.29509547,0.99369156,0.99506587,0.0,0
8,0.4398948,0.0,0.0,0.29146987,0.99215114,0.45573542,0.4533396,0.2956753,0.29353195,0.9936178,0.9951044,0.0,0
9,0.4406677,0.0,0.0,0.29226622,0.9907837,0.4549471,0.45402643,0.2950549,0.2942454,0.9931317,0.99353606,0.0,0
10,0.4417588,0.0,0.0,0.293339,0.9912402,0.45459777,0.45542213,0.29478845,0.29539344,0.9928213,0.993824,0.0,0
11,0.44115764,0.0,0.0,0.29271007,0.9920365,0.45422786,0.45474386,0.29448688,0.29477453,0.99271387,0.9943748,0.0,0
12,0.43728048,0.0,0.0,0.28941527,0.99270016,0.45334312,0.45108896,0.29374325,0.29168293,0.99271744,0.99469376,0.0,0
13,0.43818942,0.0,0.0,0.29002896,0.9929039,0.45273194,0.4516816,0.29322937,0.29217327,0.9927278,0.9947562,0.0,0
14,0.4373346,0.0,0.0,0.28938472,0.99341077,0.45214444,0.45074132,0.29273015,0.29135466,0.99280214,0.99513215,0.0,0
15,0.4352422,0.0,0.0,0.28764632,0.9928164,0.45140907,0.44867298,0.29211396,0.28964671,0.99280256,0.9949179,0.0,0
16,0.43699238,0.0,0.0,0.28956038,0.9932654,0.45107034,0.45073625,0.29182538,0.29134423,0.99285996,0.9952042,0.0,0
17,0.4366114,0.0,0.0,0.28918862,0.99293196,0.45073092,0.4502311,0.291541,0.2909549,0.99286336,0.9948225,0.0,0
18,0.43570384,0.0,0.0,0.28843075,0.99332464,0.4503536,0.44928768,0.29122174,0.29014546,0.9929056,0.9950804,0.0,0
19,0.43678072,0.0,0.0,0.28930116,0.99286,0.45013645,0.45038667,0.29103985,0.29106137,0.9929091,0.995097,0.0,0
20,0.43427157,0.0,0.0,0.28712472,0.993217,0.44970298,0.44775432,0.29067484,0.28884682,0.9929403,0.99532914,0.0,0
21,0.4340304,0.0,0.0,0.2870114,0.9928018,0.44932067,0.44772488,0.29035562,0.28885522,0.9929384,0.9949384,0.0,0
22,0.43497008,0.0,0.0,0.28767535,0.99291754,0.4490594,0.44850004,0.29013738,0.28950322,0.9929395,0.9949104,0.0,0
23,0.43418154,0.0,0.0,0.28687987,0.99288845,0.44875112,0.4475632,0.28988,0.28872165,0.99293995,0.99492675,0.0,0
24,0.4347278,0.0,0.0,0.28731123,0.9922966,0.4485215,0.44808787,0.28969198,0.28918156,0.9928978,0.99465394,0.0,0
25,0.43535691,0.0,0.0,0.28789064,0.9926047,0.44837478,0.44885656,0.28957072,0.28980526,0.9928847,0.9948527,0.0,0
