Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
CLR,1,0.44206282,0.5903297,0.0,0.0,0.62404644,0.5847113,0.80917555,0.80917555,0.5976165,0.30397767,0.6159682,0.2871502,0.58032674,0.3229002
CLR,2,0.42785916,0.5755122,0.0,0.0,0.6074747,0.571052,0.80399114,0.8013972,0.5879268,0.31892872,0.6069538,0.31667727,0.5700565,0.32121238
CLR,3,0.41943204,0.566863,0.0,0.0,0.5992451,0.5627193,0.8009536,0.7979148,0.58065647,0.29409602,0.6002536,0.2743559,0.56229854,0.31689695
CLR,4,0.43399036,0.58077073,0.0043261233,0.0,0.60881674,0.584942,0.80215263,0.80395186,0.582892,0.3054326,0.6012372,0.2845157,0.5656332,0.32966903
CLR,5,0.45545405,0.59792817,0.022630459,0.0,0.6230961,0.61187774,0.8059339,0.8134984,0.59070385,0.34358844,0.6074573,0.33737022,0.5748497,0.3500402
CLR,6,0.46612972,0.60522634,0.036387842,0.0,0.63141066,0.62308633,0.80920404,0.81738126,0.5981091,0.35440385,0.61428106,0.35936195,0.5827669,0.3495808
CLR,7,0.4766842,0.6135882,0.0446938,0.0,0.6408629,0.63191277,0.81229794,0.8215815,0.6053784,0.36908203,0.6214379,0.38702232,0.590128,0.3527313
CLR,8,0.48015115,0.6163607,0.04426693,0.0,0.6429741,0.63719636,0.8146169,0.8227346,0.6109155,0.37198487,0.62687266,0.39610112,0.5957505,0.3506367
CLR,9,0.47551775,0.61240363,0.041863907,0.0,0.6432464,0.6299518,0.8156151,0.7742777,0.61377233,0.34782448,0.6305411,0.37032756,0.5978724,0.32789955
CLR,10,0.4623053,0.59974474,0.03767807,0.0,0.63538885,0.612766,0.81514424,0.7725845,0.6132941,0.34508276,0.6315995,0.3672445,0.5960199,0.32544354
CLR,11,0.4511054,0.5893353,0.034253206,0.0,0.63192266,0.59739584,0.8136533,0.76981074,0.6109123,0.34167325,0.6316805,0.36067757,0.59146637,0.3245714
CLR,12,0.44175345,0.5808984,0.03139909,0.0,0.63253224,0.58315384,0.81146604,0.7664419,0.6074458,0.3455232,0.6316149,0.3732495,0.58505803,0.3216313
CLR,13,0.43572566,0.57563436,0.028984023,0.0,0.6340265,0.57292056,0.8090734,0.7645011,0.60374266,0.34535658,0.6316303,0.37275288,0.5782134,0.3217117
CLR,14,0.42935663,0.56968516,0.026913932,0.0,0.63285667,0.5632904,0.80662197,0.76282066,0.5998488,0.3467483,0.63138896,0.37779275,0.5713098,0.32041848
CLR,15,0.432409,0.57223326,0.02911415,0.0,0.635562,0.56598866,0.8048301,0.7690443,0.5970463,0.34767514,0.6315525,0.37958857,0.56611544,0.32071167
CLR,16,0.43508163,0.57424766,0.03253724,0.0,0.63493663,0.57324725,0.803658,0.77672386,0.5950698,0.35072234,0.63168746,0.38412273,0.5624649,0.3226658
CLR,17,0.43507734,0.57411903,0.03234649,0.0,0.6338391,0.57673466,0.8028223,0.7817154,0.59341574,0.35736364,0.6316792,0.39865708,0.55952317,0.32382175
CLR,18,0.4378938,0.5765615,0.033508394,0.0,0.6338231,0.5837922,0.80243146,0.7873895,0.59230113,0.36243695,0.63166404,0.4032805,0.5575563,0.32910568
CLR,19,0.43780756,0.5760759,0.033777155,0.0,0.6316668,0.5861311,0.802215,0.79067135,0.59135705,0.3659906,0.6314857,0.41268826,0.5560238,0.32878682
CLR,20,0.433992,0.5719897,0.032554425,0.0,0.6251158,0.58310664,0.80208397,0.75067216,0.5902501,0.3435785,0.630762,0.38459644,0.554628,0.31046662
CLR,21,0.4285248,0.5663147,0.031004312,0.0,0.6166235,0.5781887,0.8019771,0.7540499,0.58891046,0.34040192,0.6294345,0.37699315,0.55328876,0.31028545
CLR,22,0.42440674,0.56211936,0.02959511,0.0,0.61130184,0.5736068,0.8018524,0.75660014,0.58742887,0.33915004,0.6278215,0.37481916,0.55191964,0.30967978
CLR,23,0.41950792,0.5571845,0.02830844,0.0,0.60587424,0.56814486,0.80167884,0.7584244,0.585766,0.3360384,0.6259704,0.36870372,0.5504143,0.30868998
CLR,24,0.41628122,0.5540682,0.027128987,0.0,0.60188735,0.564682,0.8015255,0.76065814,0.58409524,0.33223304,0.6240309,0.36133263,0.54896367,0.30747116
