Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaISOUPTree,1,0.78881884,0.86447144,0.39893618,0.07197473,0.87821776,0.878786,0.92802525,0.9280253,0.85206693,0.3279449,0.85528123,0.33052808,0.8488768,0.32540178
EaISOUPTree,2,0.7848265,0.86372447,0.37658018,0.07264637,0.87746966,0.87971175,0.9275776,0.9273537,0.8518623,0.34308192,0.8548185,0.3453438,0.84892654,0.3408495
EaISOUPTree,3,0.78578746,0.8647955,0.37932566,0.072842725,0.880244,0.8816856,0.9273675,0.92715734,0.8513391,0.35099298,0.8541014,0.3534843,0.84859455,0.3485365
EaISOUPTree,4,0.7845163,0.8631913,0.38535774,0.073169716,0.87922215,0.8807713,0.92715263,0.9268303,0.85050017,0.36843216,0.85317993,0.37147874,0.8478372,0.36543512
EaISOUPTree,5,0.7520281,0.83576035,0.35915866,0.08469782,0.85678434,0.85773885,0.9232032,0.91530216,0.8418962,0.42279893,0.8444801,0.42566445,0.839328,0.41997176
EaISOUPTree,6,0.72936714,0.8171014,0.33902818,0.093687594,0.8416968,0.84308404,0.918378,0.9063124,0.8319824,0.44338155,0.83447295,0.44602698,0.82950664,0.44076732
EaISOUPTree,7,0.71572363,0.8059566,0.32483834,0.098552205,0.8324957,0.83288616,0.91414607,0.9014478,0.8235366,0.4637926,0.82594264,0.466422,0.8211445,0.4611926
EaISOUPTree,8,0.70523274,0.7974409,0.3163588,0.10320977,0.82494116,0.82511115,0.9102897,0.89679027,0.8158643,0.47606075,0.8182008,0.47873303,0.8135412,0.47341812
EaISOUPTree,9,0.6969742,0.79140085,0.3039941,0.1072859,0.81922066,0.81963116,0.90673417,0.89823097,0.80916345,0.5269092,0.81144565,0.52961147,0.806894,0.52423424
EaISOUPTree,10,0.68926805,0.786477,0.28930902,0.11082081,0.81379837,0.81490415,0.90346104,0.8943042,0.8031899,0.5273816,0.8054277,0.5298192,0.80096465,0.52496636
EaISOUPTree,11,0.68475604,0.7839225,0.27668846,0.114482015,0.8111574,0.8122445,0.90036315,0.89018476,0.79803175,0.53439426,0.80022043,0.53663605,0.795855,0.53217125
EaISOUPTree,12,0.6775908,0.779313,0.26040164,0.119635135,0.8066172,0.8078751,0.89715016,0.8846623,0.7931891,0.5418274,0.7953315,0.5439831,0.7910583,0.5396886
EaISOUPTree,13,0.67411584,0.777343,0.24928308,0.12272482,0.8044545,0.8054461,0.894171,0.8812416,0.78908795,0.54846436,0.7911847,0.5505659,0.78700227,0.54637885
EaISOUPTree,14,0.6700364,0.774811,0.2387066,0.12540106,0.80158925,0.8027294,0.8914233,0.87828237,0.7854544,0.55197257,0.78751725,0.55412644,0.78340226,0.54983544
EaISOUPTree,15,0.6681113,0.77339214,0.23601988,0.12588252,0.80042267,0.801644,0.88913816,0.87750846,0.78240824,0.5530637,0.78443605,0.5551427,0.7803908,0.55100024
EaISOUPTree,16,0.66134375,0.7664317,0.23483399,0.12741971,0.7946839,0.7957647,0.88707596,0.8757547,0.77931577,0.55398875,0.78128004,0.55571854,0.7773612,0.55226964
EaISOUPTree,17,0.64764136,0.753002,0.22713032,0.13209306,0.78269404,0.78328097,0.884823,0.8708867,0.7755316,0.55594236,0.7773916,0.5571892,0.7736805,0.55470103
EaISOUPTree,18,0.6380682,0.74330586,0.2239071,0.13439803,0.7741767,0.7747298,0.88268125,0.8684029,0.7716014,0.5565475,0.7733091,0.5571659,0.7699012,0.5559304
EaISOUPTree,19,0.6310811,0.73655254,0.21983181,0.13649756,0.7680746,0.7685778,0.8806499,0.866159,0.76769066,0.55540556,0.7691974,0.55530256,0.76618975,0.5555087
EaISOUPTree,20,0.6356596,0.7398047,0.22914587,0.1336495,0.7712256,0.7712702,0.8792108,0.8758405,0.7646091,0.57825524,0.76594734,0.57823306,0.76327544,0.57827735
EaISOUPTree,21,0.64223313,0.7448368,0.24010906,0.1299588,0.77601665,0.77587044,0.8783389,0.87913984,0.76233727,0.57674354,0.7635439,0.57679,0.7611344,0.5766971
EaISOUPTree,22,0.6444657,0.7468979,0.24154209,0.12794709,0.778119,0.7776368,0.8777739,0.88075936,0.76054657,0.5753891,0.7616461,0.57549024,0.7594502,0.57528794
EaISOUPTree,23,0.6463007,0.7486554,0.2430242,0.12629676,0.77972865,0.7794846,0.87743086,0.8820434,0.75911915,0.5744412,0.76013285,0.5746155,0.75810814,0.574267
EaISOUPTree,24,0.6499595,0.7515474,0.249043,0.124124125,0.7824391,0.7822221,0.87731904,0.8838767,0.7580832,0.57341135,0.7590275,0.5736569,0.7571413,0.57316583
EaISOUPTree,25,0.6539875,0.75466686,0.2554857,0.12206911,0.78522176,0.7850223,0.8773921,0.88562775,0.7573898,0.5738716,0.7582774,0.5741652,0.7565041,0.57357836
EaISOUPTree,26,0.65862036,0.7582582,0.26307166,0.11976246,0.78842944,0.7883823,0.87764204,0.8876421,0.7570259,0.57410276,0.75786775,0.57444465,0.75618595,0.5737612
EaISOUPTree,27,0.6634042,0.7619387,0.27034223,0.1175802,0.79178166,0.7915451,0.8780329,0.8895535,0.756931,0.57435447,0.757736,0.5747471,0.75612766,0.5739624
EaISOUPTree,28,0.66559273,0.763702,0.27390745,0.115923576,0.7933559,0.79334676,0.8785053,0.89095235,0.7569563,0.5723864,0.7577285,0.572778,0.7561856,0.5719953
EaISOUPTree,29,0.6691868,0.76633424,0.28135905,0.11381481,0.79584867,0.7959288,0.87908036,0.89282715,0.7571618,0.57233167,0.75790864,0.5727914,0.7564165,0.57187265
EaISOUPTree,30,0.6671302,0.76412964,0.2810794,0.11393516,0.79378915,0.794057,0.87958884,0.8924749,0.75724584,0.57081264,0.75795597,0.5710332,0.756537,0.5705923
EaISOUPTree,31,0.66161656,0.75864476,0.2784984,0.115009144,0.78893834,0.78859985,0.879975,0.89120144,0.75707835,0.5709113,0.7577518,0.5710696,0.756406,0.57075316
EaISOUPTree,32,0.65727377,0.75433445,0.27628678,0.115882,0.78495884,0.78488857,0.8802673,0.8901404,0.7567222,0.5708216,0.7573407,0.57057476,0.7561048,0.5710686
EaISOUPTree,33,0.6533461,0.7506203,0.27352324,0.1169014,0.781527,0.7818239,0.88046783,0.8889438,0.7562254,0.5704821,0.7567696,0.5698026,0.75568205,0.5711632
EaISOUPTree,34,0.64820474,0.7457063,0.27009985,0.117980614,0.77721,0.77753437,0.8805838,0.8876972,0.75555336,0.5701497,0.7560169,0.5692457,0.7550905,0.57105654
EaISOUPTree,35,0.64355737,0.7412278,0.26736665,0.11940588,0.7729277,0.7737035,0.88060445,0.8860223,0.75472045,0.5695441,0.7551008,0.5684885,0.75434047,0.57060367
EaISOUPTree,36,0.63958067,0.7374159,0.26463735,0.12045412,0.7695116,0.77021086,0.8805621,0.88481975,0.7537903,0.5712606,0.7540863,0.57005185,0.75349444,0.5724744
