Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.3055493,0.0,0.0,0.20915468,0.6376273,0.31092712,0.30088988,0.20389694,0.18455696,0.6544771,0.8139553,0.062959306,1,0
2,0.3018504,0.0,0.0013342228,0.20551643,0.6290239,0.31009763,0.3024078,0.20363791,0.18574882,0.64981294,0.81302685,0.06296258,0,0
3,0.30168766,0.0,0.0017793594,0.20433545,0.6347702,0.3097991,0.30078438,0.20323952,0.18476546,0.65125644,0.8083982,0.063022815,1,0
4,0.30882868,0.0,0.0013342228,0.20806408,0.6602606,0.31254092,0.30514085,0.20474325,0.18789567,0.66006756,0.81152534,0.06305197,0,0
5,0.32287312,0.0,0.0010675207,0.2186228,0.6948423,0.3191525,0.32304016,0.20901434,0.20199466,0.67465645,0.80609083,0.06309454,1,0
6,0.33658025,0.0,8.898776E-4,0.22912905,0.7210799,0.3273867,0.33714297,0.21453933,0.2131246,0.690687,0.8063797,0.06309078,2,2
7,0.34677014,0.0,7.6277653E-4,0.23640315,0.7407802,0.33525145,0.34866858,0.21987082,0.22233397,0.70544416,0.8075146,0.063127786,1,0
8,0.35528153,0.0,6.680027E-4,0.24262309,0.75809425,0.342543,0.35606524,0.22481537,0.22821431,0.71911997,0.8096496,0.06333016,6,2
9,0.35939595,0.0,5.939124E-4,0.2475737,0.75570345,0.34866464,0.33916458,0.22919612,0.21843639,0.72828186,0.75823635,0.11866801,3,0
10,0.35807714,0.0,5.349739E-4,0.24924271,0.7415864,0.3530559,0.33829048,0.23257264,0.21822646,0.7325502,0.7520589,0.119103,8,0
11,0.36144048,0.0,4.8620396E-4,0.25362283,0.7352514,0.35703656,0.3410571,0.23581019,0.22077979,0.7347708,0.74922025,0.11925895,0,8
12,0.3667572,0.0,4.457818E-4,0.25991395,0.7303268,0.36113372,0.34635022,0.2392858,0.2253928,0.7358287,0.7474942,0.119497016,4,0
13,0.37114346,0.0,4.114803E-4,0.265132,0.7258004,0.36510575,0.35052413,0.24276459,0.22919187,0.73602575,0.7448316,0.11974066,2,0
14,0.37381664,0.0,3.8211694E-4,0.26835483,0.72246957,0.36864972,0.35248315,0.24594463,0.23107927,0.73570067,0.74266034,0.11981015,3,11
15,0.376408,0.0,3.565698E-4,0.27016807,0.7276878,0.37186554,0.35425973,0.24877408,0.23250592,0.7360643,0.74371034,0.11986365,0,0
16,0.3775376,0.0,3.343084E-4,0.27037346,0.7361504,0.37473005,0.35515016,0.25120026,0.23331392,0.7373065,0.7433009,0.11978351,3,8
17,0.3787982,0.0,3.1473758E-4,0.2709535,0.74255764,0.3773414,0.35579824,0.25334603,0.23411882,0.7390603,0.7408352,0.11983865,6,0
18,0.37792072,0.0,2.9730934E-4,0.26990166,0.7466421,0.37951547,0.3544308,0.2550895,0.23342931,0.74091387,0.7358902,0.11998264,5,0
19,0.37755683,0.0,2.8184892E-4,0.26928335,0.7497211,0.38138556,0.3541902,0.25656173,0.23351365,0.74275464,0.73298824,0.12028982,12,4
20,0.37270096,0.0,2.6775553E-4,0.2650848,0.7444175,0.3825288,0.3308353,0.25745,0.2173368,0.7439839,0.69244874,0.16943157,3,0
21,0.36642233,0.0,2.5500447E-4,0.25996703,0.7352841,0.3829565,0.3262712,0.25777996,0.21343333,0.74446446,0.69224954,0.16969423,3,0
22,0.36299685,0.0,2.4344228E-4,0.25711557,0.72986364,0.38300735,0.32342973,0.2578177,0.21098405,0.7445341,0.69250697,0.16973716,5,16
23,0.36004657,0.0,2.3296448E-4,0.25474373,0.724554,0.38280258,0.3211027,0.25766376,0.20898274,0.74427,0.69278336,0.16985893,11,0
24,0.3567184,0.0,2.2326413E-4,0.2519037,0.71974355,0.38233405,0.3184058,0.25729978,0.20667318,0.7437648,0.69312775,0.16983953,4,17
