timestamp;actual;predicted
1;[5, 6, 10];[11, 1, 13, 2, 14, 15, 5, 16, 17, 7, 8, 9]
2;[5, 6, 8, 9, 10];[11, 13, 14, 15, 17, 0, 1, 2, 5, 7, 8, 9, 10]
3;[13, 5, 6, 7, 9, 10];[11, 1, 12, 2, 14, 15, 16, 17, 7, 8, 9]
4;[5, 6, 7, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
5;[12, 5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 8, 9, 10]
6;[12, 5, 6, 8, 9, 10];[11, 1, 12, 14, 15, 5, 16, 7, 8, 9, 10]
7;[5, 6, 8, 9, 10];[11, 12, 1, 2, 14, 15, 5, 16, 7, 8, 9, 10]
8;[15, 5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 5, 7, 8, 9, 10]
9;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 0, 1, 2, 5, 7, 8, 9, 10]
10;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
11;[5, 6, 17, 9, 10];[11, 12, 1, 13, 2, 14, 15, 5, 8, 9, 10]
12;[13, 5, 6, 17, 7, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
13;[13, 5, 6, 7, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
14;[5, 6, 9, 10];[11, 12, 2, 14, 16, 17, 7, 8, 9]
15;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
16;[5, 6, 8, 9, 10];[11, 12, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
17;[5, 6, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
18;[5, 16, 6, 17, 8, 9, 10];[12, 1, 2, 13, 14, 15, 16, 17, 7, 8, 9, 10]
19;[13, 5, 6, 7, 9, 10];[11, 1, 12, 2, 14, 15, 16, 17, 7, 8, 9]
20;[5, 6, 7, 10];[11, 12, 1, 2, 14, 15, 16, 17, 7, 8, 9, 10]
21;[5, 6, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
22;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
23;[5, 6, 7, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 10]
24;[5, 6, 7, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
25;[5, 6, 7, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
26;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 7, 8, 9, 10]
27;[5, 6, 10];[12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
28;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
29;[5, 6, 10];[11, 12, 1, 2, 14, 15, 5, 16, 17, 7, 8, 9]
30;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
31;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 8, 9, 10]
32;[5, 6, 10];[11, 12, 13, 14, 15, 5, 16, 17, 7, 8, 9, 10]
33;[5, 6, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 7, 8, 9]
34;[5, 6, 10];[11, 12, 13, 14, 15, 5, 16, 17, 7, 8, 9, 10]
35;[5, 6, 7, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
36;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
37;[6, 7, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
38;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
39;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
40;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
41;[6, 7, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 8, 9, 10]
42;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 8, 9, 10]
43;[5, 6, 7, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 7, 8, 10]
44;[5, 6, 8, 10];[11, 12, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
45;[5, 6, 9, 10];[11, 12, 1, 2, 14, 15, 5, 16, 17, 8, 9, 10]
46;[5, 6, 7, 10];[11, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
47;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
48;[5, 6, 10];[11, 12, 13, 14, 16, 17, 1, 2, 5, 7, 8, 9, 10]
49;[6, 7, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 8, 9, 10]
50;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
51;[5, 6, 7, 9, 10];[11, 1, 12, 2, 13, 14, 15, 5, 16, 7, 9, 10]
52;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
53;[6, 7, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
54;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 8, 9, 10]
55;[5, 6, 9, 10];[11, 1, 12, 2, 14, 15, 16, 17, 8, 9]
56;[5, 6, 7, 10];[11, 1, 12, 13, 2, 14, 15, 16, 17, 8, 9, 10]
57;[5, 6, 17, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9]
58;[12, 5, 6, 17, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
59;[12, 5, 6, 17, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
60;[1, 5, 6, 8, 10];[11, 1, 12, 13, 2, 14, 15, 16, 17, 7, 8, 9]
61;[5, 6, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
62;[5, 6, 7, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
63;[5, 6, 7, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
64;[5, 6, 7, 9, 10];[11, 1, 12, 2, 14, 15, 16, 17, 7, 8, 9, 10]
65;[5, 6, 7, 9, 10];[11, 1, 12, 13, 2, 14, 15, 16, 17, 8, 9, 10]
66;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 8, 9, 10]
67;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
68;[15, 5, 6, 8, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
69;[12, 5, 6, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
70;[11, 1, 12, 5, 6, 17, 8, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 7, 8, 9, 10]
71;[5, 6, 17, 8, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 8, 9]
72;[5, 6, 9, 10];[9, 10]
73;[5, 6, 10];[1, 14, 5, 17, 8, 9, 10]
74;[5, 6, 8, 10];[11, 1, 14, 15, 5, 16, 17, 7, 8, 9, 10]
75;[5, 6, 8, 10];[11, 1, 12, 2, 14, 15, 5, 17, 8, 9, 10]
76;[5, 6, 10];[1, 2, 14, 15, 5, 17, 8, 9, 10]
77;[5, 6, 10];[1, 13, 14, 5, 17, 8, 9, 10]
78;[5, 6, 10];[1, 13, 14, 5, 17, 8, 10]
79;[5, 6, 10];[11, 1, 13, 2, 14, 15, 5, 7, 8, 9, 10]
80;[6, 8, 10];[12, 14, 8, 9]
81;[6, 7, 9, 10];[5, 17, 9, 10]
82;[5, 6, 7, 9, 10];[1, 2, 15, 5, 8, 9, 10]
83;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 5, 7, 8, 9, 10]
84;[6, 7, 10];[9]
85;[5, 6, 10];[1, 2, 15, 5, 8, 9, 10]
86;[5, 6, 10];[5, 9, 10]
87;[5, 6, 10];[17, 10]
88;[2, 15, 5, 6, 17, 9, 10];[14, 5, 17, 8, 9, 10]
89;[1, 5, 6, 17, 8, 10];unknwon
90;[6, 8, 9, 10];[11, 12, 1, 2, 14, 15, 8, 9, 10]
91;[6, 9, 10];[11, 12, 1, 14, 15, 8, 9]
92;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
93;[5, 6, 8, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
94;[5, 6, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 7, 8, 9, 10]
95;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
96;[5, 6, 10];[0, 11, 12, 1, 2, 14, 15, 16, 17, 8, 9]
97;[5, 6, 10];[12, 1, 13, 14, 15, 16, 17, 7, 8, 9]
98;[5, 6, 10];[11, 12, 1, 2, 14, 15, 16, 17, 8, 9]
99;[5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
100;[11, 15, 5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 7, 8, 9, 10]
101;[5, 6, 9, 10];[11, 1, 2, 16, 17, 7, 9, 10]
102;[15, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
103;[5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
104;[5, 6, 8, 10];[11, 1, 13, 14, 15, 5, 16, 7, 8, 9, 10]
105;[15, 5, 6, 8, 9, 10];[12, 1, 2, 14, 16, 8, 9]
106;[11, 15, 5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
107;[5, 6, 8, 9, 10];[11, 12, 1, 2, 14, 15, 5, 16, 7, 8, 9, 10]
108;[11, 15, 5, 6, 8, 9, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
109;[5, 6, 9, 10];[11, 12, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
110;[15, 5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
111;[5, 6, 7, 10];[11, 12, 1, 2, 14, 15, 5, 16, 17, 8, 9, 10]
112;[5, 6, 7, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
113;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
114;[5, 6, 7, 9, 10];[11, 12, 13, 14, 15, 17, 0, 1, 2, 5, 7, 8, 9, 10]
115;[5, 6, 10];[11, 1, 12, 13, 2, 14, 15, 5, 7, 8, 9, 10]
116;[5, 6, 10];[12, 1, 2, 14, 16, 17, 8, 9, 10]
117;[5, 6, 9, 10];[1, 5, 17, 8, 9, 10]
118;[5, 6, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
119;[5, 6, 10];[5, 17, 8, 9, 10]
120;[5, 6, 9, 10];[1, 2, 14, 15, 5, 8, 10]
121;[5, 6, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
122;[5, 6, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 8, 9, 10]
123;[5, 6, 10];[11, 1, 12, 2, 14, 15, 16, 17, 7, 8, 9, 10]
124;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
125;[1, 5, 6, 8, 10];[11, 1, 12, 2, 14, 15, 17, 8, 9, 10]
126;[5, 6, 9, 10];[1, 2, 15, 5, 8, 10]
127;[5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 7, 8, 9, 10]
128;[11, 15, 5, 6, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
129;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
130;[5, 6, 8, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 8, 9, 10]
131;[5, 6, 8, 9, 10];[11, 1, 2, 14, 15, 5, 16, 17, 8, 9, 10]
132;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
133;[5, 6, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 7, 8]
134;[5, 6, 8, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 8, 9]
135;[6, 7, 10];[11, 1, 13, 14, 5, 17, 9]
136;[5, 6, 9, 10];[1, 2, 14, 15, 5, 8, 10]
137;[5, 6, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
138;[5, 6, 9, 10];[11, 12, 1, 2, 14, 15, 5, 16, 17, 8, 10]
139;[5, 6, 9, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
140;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
141;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
142;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
143;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 8, 9, 10]
144;[5, 6, 9, 10];[11, 1, 12, 2, 14, 5, 17, 8, 9, 10]
145;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
146;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
147;[5, 6, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
148;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
149;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
150;[5, 6, 7, 9, 10];[11, 12, 13, 14, 16, 17, 1, 2, 5, 7, 8, 9, 10]
151;[5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 8, 9, 10]
152;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
153;[5, 6, 8, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 7, 8, 9, 10]
154;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 8, 9, 10]
155;[5, 6, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 8, 9, 10]
156;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
157;[5, 6, 9, 10];[11, 12, 1, 2, 14, 15, 5, 16, 17, 8, 9, 10]
158;[5, 6, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
159;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
160;[5, 6, 9, 10];[11, 12, 13, 14, 15, 16, 17, 0, 1, 2, 5, 8, 9, 10]
161;[5, 6, 17, 9, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
162;[5, 6, 9, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
163;[5, 6, 17, 8, 9, 10];[11, 12, 1, 2, 14, 15, 16, 17, 7, 8, 9, 10]
164;[5, 6, 9, 10];[11, 12, 13, 14, 15, 17, 1, 2, 5, 7, 8, 9, 10]
165;[5, 6, 10];[12, 1, 13, 16, 17, 9]
166;[5, 6, 8, 10];[11, 12, 13, 14, 16, 17, 1, 2, 5, 7, 8, 9, 10]
167;[5, 6, 10];[11, 12, 1, 2, 14, 15, 16, 7, 8, 9]
168;[5, 6, 9, 10];[12, 1, 8, 9]
169;[5, 6, 8, 10];[11, 12, 13, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
170;[5, 6, 9, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
171;[1, 14, 5, 6, 17, 8, 9, 10];[11, 1, 12, 2, 14, 15, 5, 16, 17, 8, 9, 10]
172;[5, 6, 8, 10];[9, 10]
173;[5, 6, 10];[11, 1, 2, 14, 15, 5, 16, 17, 7, 8, 9, 10]
174;[5, 6, 17, 8, 9, 10];[11, 1, 2, 14, 15, 5, 16, 17, 7, 8, 9, 10]
175;[5, 6, 8, 10];[11, 12, 14, 15, 16, 17, 1, 2, 5, 7, 8, 9, 10]
176;[5, 6, 9, 10];[11, 1, 12, 13, 2, 14, 15, 16, 8, 9, 10]
177;[5, 6, 10];[11, 1, 12, 13, 2, 14, 5, 16, 17, 7, 9, 10]
178;[5, 6, 10];[12, 2, 13, 14, 15, 16, 5, 17, 7, 8, 9, 10]
