Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
CLR,1,0.565602,0.022727273,0,0.56862134,0,0.58075136,0.16082224,0.56101793,0.21243756,0.60192364,0.12938577,,
CLR,2,0.5687938,0.021478206,0,0.03450802,0,0.58340377,0.14763469,0.5677376,0.21978089,0.5999591,0.11114857,,
CLR,3,0.5681693,0.01937658,0,0.21435983,0,0.5835823,0.14362992,0.56975514,0.22393355,0.59809726,0.105718695,,
CLR,4,0.566445,0.022116903,0,0.3043254,0,0.5825476,0.14667001,0.5703213,0.2510356,0.5953095,0.103599526,,
CLR,5,0.565493,0.022750253,0,0.35913846,0,0.5820304,0.14360066,0.5712406,0.25594598,0.5932357,0.099796034,,
CLR,6,0.56096333,0.023383189,0,0.39441654,0,0.58002263,0.13060331,0.57131386,0.23870583,0.589001,0.08989336,,
CLR,7,0.56396395,0.024918742,0,0.42299783,0,0.579482,0.1287763,0.571794,0.23621911,0.5873796,0.088515535,,
CLR,8,0.5557447,0.024174435,0,0.43783092,0,0.577254,0.12762684,0.5712169,0.23663747,0.58342016,0.08737583,,
CLR,9,0.55487233,0.025,0,0.4503239,0,0.5756362,0.12307555,0.5701875,0.22699796,0.58119005,0.08442484,,
CLR,10,0.55585533,0.024143597,0,0.46236587,0,0.57461584,0.12003664,0.569415,0.22345959,0.57991254,0.082058035,,
CLR,11,0.55384535,0.025741208,0,0.4708595,0,0.57369554,0.119264536,0.56859267,0.2211478,0.5788909,0.081648774,,
CLR,12,0.55140746,0.025281787,0,0.47865927,0,0.5727339,0.114866756,0.5679245,0.21483697,0.57762533,0.07838965,,
CLR,13,0.54961616,0.025281992,0,0.48360342,0,0.5717061,0.114526026,0.5670916,0.2131511,0.57639635,0.078297675,,
CLR,14,0.5461526,0.02510158,0,0.48676616,0,0.5704511,0.11397838,0.56602263,0.2148158,0.5749493,0.077567264,,
CLR,15,0.54288757,0.024186753,0,0.49130613,0,0.568956,0.11371393,0.56503,0.2219316,0.572937,0.07644031,,
CLR,16,0.54055595,0.023860315,0,0.4947657,0,0.56737345,0.11282369,0.5640354,0.21663883,0.57075137,0.07627301,,
CLR,17,0.5374668,0.022903034,0,0.49703285,0,0.5657056,0.110877365,0.56305766,0.2139646,0.56837857,0.07482635,,
CLR,18,0.53635573,0.023526933,0,0.49877685,0,0.56413054,0.109526195,0.5620011,0.21101591,0.5662762,0.07395633,,
CLR,19,0.5365641,0.022954091,0,0.504311,0,0.56274194,0.10975515,0.56129134,0.2209405,0.56420004,0.07301255,,
CLR,20,0.53441036,0.022501739,0,0.5057057,0,0.56137353,0.1093943,0.560533,0.22138894,0.5622167,0.07264512,,
CLR,21,0.5351127,0.022814833,0,0.5090123,0,0.56023216,0.108042605,0.55992717,0.2174664,0.5605375,0.071876235,,
CLR,22,0.5331913,0.022180084,0,0.5087595,0,0.5591204,0.1076706,0.559195,0.21608393,0.55904585,0.071698256,,
CLR,23,0.5343792,0.02231505,0,0.5126592,0,0.5582315,0.10747872,0.55868906,0.21509194,0.55777466,0.071637556,,
CLR,24,0.5347254,0.022596788,0,0.5148618,0,0.55746144,0.10711666,0.5582378,0.21739943,0.5566873,0.07106612,,
CLR,25,0.5329881,0.022906553,0,0.51530653,0,0.5566892,0.10687652,0.5577498,0.21592449,0.5556327,0.07101297,,
CLR,26,0.5321807,0.022852141,0,0.5161179,0,0.555937,0.10694803,0.5572547,0.21568397,0.5546256,0.071102224,,
CLR,27,0.5310042,0.022380373,0,0.51646763,0,0.5551757,0.106480524,0.5567245,0.21537712,0.5536356,0.07072256,,
CLR,28,0.5316098,0.022800127,0,0.51904434,0,0.5545323,0.10652977,0.5563333,0.2144778,0.55274296,0.07086366,,
