Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
EaBR,1,0.5253966,0.059343435,0,0.06606543,0,0.55293936,0.21064483,0.55579937,0.2224678,0.5501086,0.20001508,,
EaBR,2,0,0.053695515,0,0.24260634,0,0.54728824,0.21201627,0.5508027,0.22275382,0.5438184,0.20226632,,
EaBR,3,0,0.0673968,0,0.088157594,0,0.5571959,0.23627551,0.5605634,0.24883512,0.5538687,0.22492282,,
EaBR,4,0,0.06350711,0,0.2050707,0,0.5583806,0.26530504,0.56182325,0.2875469,0.55497986,0.24625695,,
EaBR,5,0,0.06572295,0,0.00079746253,0,0.5594379,0.27420482,0.5629209,0.29238105,0.55599767,0.25815627,,
EaBR,6,0,0.060669895,0,0.078502245,0,0.5580958,0.26152688,0.561531,0.27921364,0.55470234,0.24594733,,
EaBR,7,0,0.06518599,0,0.07436064,0,0.5587528,0.26382428,0.562123,0.28112698,0.55542266,0.24852799,,
EaBR,8,0,0.06746721,0,0.13573807,0,0.5592461,0.2737912,0.56262136,0.2891348,0.5559112,0.25999403,,
EaBR,9,0,0.07148876,0,0.006033641,0,0.55985326,0.2705065,0.5632458,0.28552532,0.55650127,0.2569887,,
EaBR,10,0,0.06901782,0,0.060153063,0,0.5599871,0.26420823,0.56336427,0.2791802,0.55665034,0.25076038,,
EaBR,11,0,0.06711101,0,0.10357941,0,0.55971014,0.26288655,0.5630729,0.27596435,0.55638736,0.25099218,,
EaBR,12,0,0.06615401,0,0.0077303285,0,0.5597986,0.26030067,0.56316525,0.27352712,0.55647194,0.24829432,,
EaBR,13,0,0.06777518,0,0.00019447686,0,0.5598514,0.25776255,0.5632047,0.27019936,0.5565378,0.24642026,,
EaBR,14,0,0.06591422,0,0.0018385468,0,0.55929184,0.25943813,0.5626369,0.2724627,0.55598634,0.24760197,,
EaBR,15,0,0.06573403,0,0.0081756385,0,0.5585242,0.26221207,0.56186426,0.27625284,0.5552237,0.24952953,,
EaBR,16,0,0.06399621,0,0.039237298,0,0.5572537,0.26088914,0.56058705,0.27234635,0.55395985,0.25035703,,
EaBR,17,0,0.06261154,0,0.069755286,0,0.5561707,0.25745553,0.55950594,0.26869538,0.55287504,0.2471183,,
EaBR,18,0,0.06587541,0,0.014893534,0,0.5554538,0.2579335,0.5588085,0.26920867,0.5521391,0.24756484,,
EaBR,19,0,0.064204924,0,0.02167941,0,0.55471736,0.25854635,0.55809605,0.26965386,0.5513793,0.2483177,,
EaBR,20,0,0.06276468,0,0.04608649,0,0.55387694,0.25714424,0.5572699,0.26747692,0.55052495,0.24758019,,
EaBR,21,0,0.06712016,0,0,0,0.5533688,0.25073987,0.55678,0.26058513,0.5499992,0.24161148,,
EaBR,22,0,0.06654025,0,0.010520813,0,0.5526908,0.25386947,0.55612314,0.26412204,0.54930055,0.2443831,,
EaBR,23,0,0.06667033,0,0.0014043647,0,0.5522705,0.2597844,0.5557242,0.27035207,0.54885936,0.2500118,,
EaBR,24,0,0.066210166,0,0.015269789,0,0.551981,0.26144058,0.5554571,0.2722111,0.54854816,0.25148994,,
EaBR,25,0,0.065281145,0,0.006351373,0,0.55161333,0.25922766,0.5551043,0.2696709,0.548166,0.24956314,,
EaBR,26,0,0.066076726,0,0.0013747752,0,0.55128247,0.2587709,0.55478716,0.2684852,0.5478219,0.24973503,,
EaBR,27,0,0.06461279,0,0.0043158247,0,0.5507993,0.25638205,0.55431664,0.26585147,0.5473264,0.24756408,,
EaBR,28,0,0.06293738,0,0.023221973,0,0.55019414,0.26338947,0.55372584,0.27330714,0.5467071,0.2541664,,
EaBR,29,0,0.062467307,0,0.00031894798,0,0.5495823,0.2633864,0.5531232,0.27333722,0.5460865,0.2541346,,
EaBR,30,0,0.0624921,0,0.012146595,0,0.54896927,0.2631327,0.5525203,0.2730314,0.54546374,0.25392663,,
EaBR,31,0,0.06116956,0,0.0014823421,0,0.5482736,0.2615911,0.5518337,0.27180248,0.5447592,0.25211924,,
EaBR,32,0,0.059771657,0,0.019231206,0,0.54764944,0.26184872,0.5512182,0.27180225,0.5441266,0.2525984,,
EaBR,33,0,0.06309378,0,0.038525056,0,0.5472266,0.2634671,0.5508063,0.27364773,0.5436932,0.25401682,,
EaBR,34,0,0.06391522,0,0.054479145,0,0.54687846,0.26378685,0.5504687,0.2740438,0.5433349,0.25426996,,
EaBR,35,0,0.06263093,0,0.0049124584,0,0.5464796,0.26392892,0.5500801,0.27441743,0.54292595,0.25421268,,
EaBR,36,0,0.061944727,0,0.02028297,0,0.5460967,0.2643199,0.5497026,0.27423808,0.54253775,0.25509408,,
EaBR,37,0,0.060748942,0,0.032923963,0,0.54565907,0.26296005,0.54926974,0.27269194,0.5420956,0.25389883,,
EaBR,38,0,0.060314715,0,0.046438187,0,0.5452073,0.26140204,0.5488189,0.27131155,0.5416429,0.25219092,,
EaBR,39,0,0.06097245,0,0.0017287952,0,0.5448052,0.26189944,0.5484178,0.27199215,0.5412399,0.25252897,,
