Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.42543057,0.005076142,0.0,0.39720783,0.0,0.43770102,0.1500755,0.39720812,0.13798934,0.48738712,0.1644821,9.2205434E-4,2
2,0.43342978,0.0038095238,0.0,0.40901724,0.0,0.4439703,0.1466153,0.4050783,0.13728559,0.49112365,0.15730551,8.8581286E-4,3
3,0.43183425,0.0042283298,0.0,0.40955842,0.0,0.44425476,0.13086407,0.40731812,0.12240509,0.48855853,0.14057896,8.623943E-4,0
4,0.42765352,0.0031796503,0.0,0.40457976,0.0,0.4426819,0.12460088,0.4062238,0.115432955,0.4863295,0.1353507,0.0011264673,10
5,0.4221815,0.003051882,0.0,0.4012717,0.0,0.4397709,0.117117375,0.40457433,0.10820499,0.48167497,0.1276297,0.0013526606,3
6,0.417859,0.0025445293,0.0,0.3986845,0.0,0.436727,0.10773174,0.40289328,0.101068914,0.47676417,0.115335025,0.001279133,6
7,0.4148041,0.0025426808,0.0,0.3947307,0.0,0.4340384,0.10521551,0.40085348,0.09788253,0.4732137,0.113736175,0.0012904438,0
8,0.4116616,0.004611226,0.0,0.39388978,0.0,0.43148646,0.109777875,0.39930782,0.10365582,0.46930593,0.11666846,0.013918397,7
9,0.40691292,0.004663652,0.0,0.38820738,0.0,0.42883822,0.10511504,0.39708975,0.097970575,0.46610463,0.11338349,0.01482568,3
10,0.40695238,0.0047037886,0.0,0.38799143,0.0,0.42695332,0.102479555,0.39543667,0.0948302,0.46392888,0.11147123,0.015449565,0
11,0.4031439,0.004741529,0.0,0.38470322,0.0,0.42501888,0.101838484,0.39364994,0.09412213,0.46182013,0.11093304,0.015634691,9
12,0.40290466,0.004345983,0.0,0.385724,0.0,0.42359686,0.098295234,0.3924322,0.09102908,0.46013832,0.106822036,0.015382001,3
13,0.39958385,0.004010564,0.0,0.38248092,0.0,0.42199942,0.09650372,0.39101198,0.088860884,0.45832103,0.105584994,0.015031877,1
14,0.39485282,0.0038140211,0.0,0.37766936,0.0,0.42013144,0.09455571,0.3892339,0.08651901,0.4563572,0.104238376,0.014621997,1
15,0.3923772,0.0038986355,0.0,0.37621075,0.0,0.4182686,0.09351219,0.38760662,0.08590625,0.45419845,0.102595784,0.014224061,3
