Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.1433759,0.0,0.0,0.08019642,0.0,0.14293516,0.093168706,0.077663876,0.0514631,0.8957685,0.4913916,0.0,0,0
2,0.1473583,0.0,0.0,0.0838925,0.0,0.14453304,0.093340024,0.07867252,0.051137548,0.88751024,0.53420746,1.6763175E-5,1,0
3,0.14826071,0.0,0.0,0.08421698,0.0,0.14534369,0.09239104,0.0791834,0.05036215,0.8837221,0.5583661,2.2172771E-5,0,0
4,0.14792286,0.0,0.0,0.0844596,0.0,0.14512646,0.09139702,0.079093546,0.049588326,0.8788671,0.58257556,8.131348E-5,5,0
5,0.14815491,0.0,0.0,0.08443451,0.0,0.1454145,0.09266699,0.07928203,0.050385665,0.87674075,0.5761217,1.2115169E-4,1,0
6,0.14912477,0.0,0.0,0.08509683,0.0,0.14590496,0.09044521,0.079584815,0.049138337,0.87539536,0.56749684,1.386133E-4,1,1
7,0.14691405,0.0,0.0,0.08356664,0.0,0.14573388,0.089452036,0.07949006,0.048565272,0.8745422,0.565769,1.5305755E-4,0,0
8,0.14777614,0.0,0.0,0.084427,0.0,0.14582594,0.090656124,0.07956521,0.04934722,0.87208706,0.55653757,1.6576145E-4,4,6
9,0.14525485,0.0,0.0,0.08276897,0.0,0.14549203,0.08864067,0.07938104,0.048217338,0.8703284,0.54837275,1.7276802E-4,1,0
10,0.145092,0.0,0.0,0.082624234,0.0,0.14520174,0.08843266,0.07921303,0.048069343,0.86975133,0.5516331,1.7957938E-4,0,0
11,0.14467426,0.0,0.0,0.08239254,0.0,0.14497167,0.08837683,0.07907968,0.048053008,0.8693198,0.54944664,1.8351218E-4,5,4
12,0.14474405,0.0,0.0,0.08236088,0.0,0.14481631,0.08703887,0.07898924,0.047346268,0.8690762,0.53843045,1.824904E-4,0,0
13,0.14393279,0.0,0.0,0.0818112,0.0,0.14463536,0.08696626,0.07888272,0.04730547,0.8689383,0.5381498,1.6917282E-4,1,7
14,0.14313704,0.0,0.0,0.081302874,0.0,0.14442186,0.08661465,0.07875676,0.04709568,0.8688131,0.5383838,1.5827549E-4,0,0
15,0.14374466,0.0,0.0,0.08168175,0.0,0.14434002,0.08712415,0.07870971,0.04739579,0.8686156,0.53855217,1.4854045E-4,0,0
16,0.14446181,0.0,0.0,0.082225844,0.0,0.14432319,0.087431155,0.07870267,0.047599252,0.86825186,0.5357891,1.394418E-4,0,1
17,0.14543414,0.0,0.0,0.08295021,0.0,0.14439602,0.087135024,0.07874917,0.047463294,0.8678663,0.53079396,1.4019998E-4,2,0
18,0.14454268,0.0,0.0,0.082390025,0.0,0.14437012,0.0865795,0.07873754,0.04713462,0.8674086,0.5306935,1.4587915E-4,1,0
19,0.14553888,0.0,0.0,0.08317053,0.0,0.14442319,0.0872982,0.07877444,0.047555566,0.8667624,0.53136474,1.5123592E-4,0,0
20,0.14560676,0.0,0.0,0.08328552,0.0,0.14446849,0.08737301,0.0788071,0.047607675,0.86607313,0.53040606,1.5744113E-4,1,0
21,0.14556862,0.0,0.0,0.08325917,0.0,0.14449409,0.08662853,0.07882715,0.047204718,0.8654923,0.52555263,1.5439517E-4,2,2
22,0.1450116,0.0,0.0,0.0829117,0.0,0.14446963,0.086421244,0.07881713,0.0470956,0.8649454,0.5238201,1.5333047E-4,0,0
23,0.1453777,0.0,0.0,0.08310486,0.0,0.14447603,0.08650739,0.07882405,0.047145683,0.8645711,0.5239541,1.495374E-4,2,3
24,0.14514805,0.0,0.0,0.08295478,0.0,0.14446236,0.08639881,0.078818865,0.047088105,0.86421573,0.52309954,0.010054752,3,0
