Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
BPMLL,1,0.41432166,0.46801844,0.24413833,0.0,0.4993792,0.48504788,0.8306305,0.8306304,0.5421252,0.36104396,0.6463056,0.40507603,0.46686885,0.32564598
BPMLL,2,0.41997388,0.4717175,0.2585373,0.0,0.4933268,0.49666074,0.8375075,0.84094644,0.5398992,0.35860595,0.6306643,0.39399093,0.4719729,0.32905313
BPMLL,3,0.42630377,0.4790393,0.25942937,0.0,0.49828148,0.50717854,0.8405502,0.84359324,0.5436127,0.36045817,0.62824106,0.39539894,0.47907767,0.33119127
BPMLL,4,0.43142864,0.48349285,0.26713082,0.0,0.5002183,0.5134771,0.8431696,0.84709907,0.5459038,0.35632786,0.62640405,0.39079756,0.4837378,0.32744598
BPMLL,5,0.4279106,0.48103523,0.2603776,0.0,0.4994702,0.51021236,0.8438951,0.84534615,0.5465749,0.35742018,0.62494594,0.39484498,0.48566976,0.32647568
BPMLL,6,0.4237599,0.47878847,0.2501588,0.0,0.5000216,0.5072312,0.84338325,0.8421035,0.5468555,0.35872617,0.6246053,0.39902708,0.4863193,0.32581916
BPMLL,7,0.425542,0.4814359,0.24964403,0.0,0.50321114,0.5101169,0.84306943,0.84212804,0.5477379,0.35975343,0.6248308,0.39983556,0.48757938,0.32697532
BPMLL,8,0.43112388,0.48629528,0.25750303,0.0,0.5073458,0.5150799,0.8433864,0.8444958,0.54903793,0.3605989,0.62543774,0.40009394,0.4892715,0.3282007
BPMLL,9,0.42989817,0.48570713,0.25403908,0.0,0.5083523,0.5135231,0.8434033,0.8434709,0.5502952,0.36405832,0.62646955,0.40351355,0.4906371,0.33163157
BPMLL,10,0.42762363,0.48320454,0.25290963,0.0,0.5046485,0.511984,0.8434317,0.84355974,0.5508073,0.36337343,0.62638104,0.40052402,0.4915064,0.33252966
BPMLL,11,0.42525628,0.48100588,0.25027984,0.0,0.5020673,0.5102904,0.8433507,0.8429455,0.5509606,0.36400056,0.6259193,0.399639,0.4920355,0.33419797
BPMLL,12,0.4175785,0.47378108,0.24217623,0.0,0.49707085,0.5011459,0.84271306,0.839206,0.5497759,0.36521187,0.62482643,0.39931077,0.49082124,0.33647853
BPMLL,13,0.39901352,0.45580864,0.22354771,0.0,0.48386332,0.4783175,0.84072596,0.8288031,0.54580647,0.36161917,0.6226145,0.39630666,0.48586792,0.33251512
BPMLL,14,0.38275403,0.4400933,0.20758036,0.0,0.47243515,0.45839015,0.838006,0.820326,0.54023945,0.35983503,0.61963695,0.39396915,0.4788781,0.33114418
BPMLL,15,0.36970192,0.42765102,0.19374193,0.0,0.46382827,0.442206,0.83490026,0.8131593,0.53399837,0.35796827,0.6164092,0.39121035,0.47102472,0.32993305
BPMLL,16,0.35800838,0.41646355,0.1816333,0.0,0.45607558,0.42776182,0.83158445,0.8067155,0.52743185,0.3556641,0.61314213,0.3888535,0.4627454,0.32769474
BPMLL,17,0.34913433,0.4080696,0.17205285,0.0,0.45010266,0.4170502,0.8283211,0.80221385,0.52102,0.3544945,0.6098692,0.38676012,0.45476696,0.3271979
