Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
EaCC,1,0.7058304,0.39800704,0,0.02910595,0.753523,0.7024782,0.47914582,0.6877815,0.46884754,0.71781653,0.48990673,,
EaCC,2,0.70174515,0.4301627,0,0.008378523,0.741206,0.69758713,0.48336902,0.68625206,0.47896162,0.70930296,0.4878583,,
EaCC,3,0.7114978,0.44694155,0,0.044744607,0.75240284,0.70181185,0.4966806,0.6891763,0.48850405,0.7149195,0.5051355,,
EaCC,4,0.7088973,0.45283988,0,0.026444359,0.7483556,0.70102704,0.4894699,0.68785083,0.48048925,0.71471786,0.4987926,,
EaCC,5,0.70249844,0.44570825,0,0.024150832,0.7404173,0.69950616,0.49573192,0.6866666,0.48771253,0.712835,0.5040194,,
EaCC,6,0.69532233,0.4239996,0,0.010806826,0.73537,0.69762504,0.51340157,0.68452466,0.5039544,0.7112367,0.52320963,,
EaCC,7,0.6943423,0.41917247,0,0.027930882,0.73561037,0.6962239,0.51933205,0.6825984,0.5081938,0.71040446,0.53096944,,
EaCC,8,0.69629174,0.42867088,0,0.00986356,0.73516005,0.6953813,0.518372,0.6819062,0.50931245,0.7093996,0.52775973,,
EaCC,9,0.6883145,0.4174267,0,0.005116721,0.7286724,0.69409484,0.521858,0.6806702,0.51270974,0.70805967,0.5313386,,
EaCC,10,0.68283385,0.41291666,0,0.012867303,0.7236416,0.6922475,0.51946676,0.6788614,0.510349,0.70617205,0.52891636,,
EaCC,11,0.6773937,0.4057353,0,0.00031092868,0.71942544,0.6902057,0.5168867,0.67668295,0.5069556,0.7042799,0.5272147,,
EaCC,12,0.6745401,0.39662376,0,0.020056697,0.7168196,0.68825525,0.56149215,0.6746499,0.5539978,0.7024206,0.56919193,,
EaCC,13,0.68030834,0.38652354,0,0.08357976,0.7193141,0.6878577,0.5653702,0.67497724,0.5612401,0.7012392,0.5695616,,
EaCC,14,0.68330157,0.37311277,0,0.13278027,0.7225815,0.6880516,0.57053137,0.6758834,0.5672907,0.7006659,0.5738094,,
EaCC,15,0.6865494,0.36346403,0,0.17676042,0.7254562,0.68877566,0.57121366,0.67738104,0.56889355,0.7005603,0.5735527,,
EaCC,16,0.6895085,0.35428843,0,0.21641563,0.72707623,0.6898345,0.567323,0.6793827,0.5673,0.70061284,0.5673461,,
EaCC,17,0.69103634,0.34683037,0,0.00018682025,0.7282092,0.69095117,0.5676565,0.68142873,0.5685295,0.70074356,0.56678617,,
EaCC,18,0.68921775,0.34948453,0,0.0048629995,0.72692335,0.6916263,0.56732696,0.68281674,0.56797814,0.7006662,0.5666772,,
EaCC,19,0.68216574,0.34625828,0,6.274752E-05,0.7201865,0.69169337,0.5678421,0.68349975,0.5689523,0.7000858,0.5667362,,
EaCC,20,0.67803305,0.34540683,0,0.0004690638,0.71706223,0.69157773,0.5713885,0.68383926,0.57181096,0.6994934,0.57096666,,
EaCC,21,0.67182213,0.3439943,0,0.00027920483,0.71037704,0.69110715,0.56842965,0.6838296,0.5699592,0.69854116,0.5669083,,
EaCC,22,0.6683032,0.34348306,0,1.998854E-05,0.70721334,0.6904736,0.5679498,0.6835683,0.569238,0.6975199,0.5666674,,
EaCC,23,0.66365653,0.34257016,0,5.098529E-05,0.7027564,0.6896359,0.5714889,0.68304545,0.5723963,0.6963547,0.5705844,,
EaCC,24,0.6579547,0.33797106,0,0.0002035872,0.6978935,0.6885927,0.5747497,0.68222904,0.57450783,0.6950761,0.57499176,,
EaCC,25,0.6547343,0.33775038,0,4.0652314E-05,0.6951136,0.68751234,0.57354945,0.6813286,0.5730775,0.69380933,0.57402223,,
EaCC,26,0.65186626,0.33824575,0,3.9464634E-05,0.69241905,0.6864112,0.5728928,0.680369,0.57223356,0.6925617,0.57355344,,
EaCC,27,0.6468738,0.33565333,0,0.00026602097,0.68830776,0.68517613,0.57212913,0.6792145,0.57088554,0.69124323,0.5733781,,
EaCC,28,0.64569837,0.33779016,0,3.9263316E-05,0.6874982,0.6839998,0.5721347,0.67807335,0.57027274,0.69003063,0.5740088,,
EaCC,29,0.6485441,0.34167004,0,0.01694371,0.6905828,0.6830206,0.616785,0.67709696,0.61580616,0.68904877,0.6177669,,
EaCC,30,0.65421194,0.34796885,0,0.045098376,0.69625294,0.6823132,0.6178368,0.6763863,0.6166483,0.6883449,0.61902976,,
EaCC,31,0.6591206,0.35275483,0,0.071388185,0.7009984,0.6818238,0.61773634,0.6759161,0.6167624,0.68783575,0.6187134,,
EaCC,32,0.66432935,0.35791045,0,0.09600693,0.7063306,0.68155974,0.6176962,0.67567235,0.6166849,0.6875506,0.6187109,,
EaCC,33,0.67010885,0.3656764,0,0.12063662,0.7113118,0.6814847,0.6164341,0.67564726,0.6157899,0.68742377,0.6170796,,
EaCC,34,0.6754341,0.37259755,0,0.017387193,0.71602535,0.68156767,0.6152542,0.67580026,0.6149689,0.6874344,0.6155398,,
EaCC,35,0.6803158,0.37870437,0,0.042535074,0.7203991,0.68178874,0.6144094,0.676106,0.6143305,0.6875678,0.61448824,,
EaCC,36,0.6836812,0.38151583,0,0.06464246,0.72417665,0.6820894,0.6136877,0.676469,0.6133642,0.6878039,0.6140115,,
EaCC,37,0.68750256,0.38532424,0,0.08620575,0.72804755,0.6824758,0.6127513,0.6769176,0.61244327,0.688126,0.61305964,,
EaCC,38,0.6914639,0.39017427,0,0.10785158,0.7311711,0.682929,0.6111845,0.6774659,0.6114011,0.68848085,0.61096793,,
EaCC,39,0.69031054,0.3900248,0,0.0018016156,0.730662,0.6832898,0.60997945,0.6778802,0.60946774,0.68878645,0.61049205,,
EaCC,40,0.6863541,0.38675326,0,0,0.7272358,0.68350846,0.6100429,0.6781268,0.6091655,0.68897617,0.6109229,,
EaCC,41,0.68380183,0.38469955,0,0.0001007017,0.725053,0.6836225,0.6108866,0.6782509,0.6094403,0.6890797,0.61233974,,
EaCC,42,0.68202245,0.3835254,0,0.0011691784,0.7235548,0.68367344,0.6113508,0.6782909,0.609518,0.68914205,0.61319464,,
EaCC,43,0.6792406,0.38097414,0,2.9543979E-05,0.7214569,0.68364507,0.6138322,0.6782247,0.6111385,0.68915284,0.61654973,,
EaCC,44,0.6766719,0.37945163,0,3.4424935E-05,0.7192922,0.68354106,0.614618,0.6780667,0.6115243,0.68910456,0.61774325,,
EaCC,45,0.6735586,0.37677205,0,3.257414E-06,0.71655387,0.68335,0.6156147,0.6778093,0.61221975,0.6889821,0.6190475,,
EaCC,46,0.67183024,0.37631208,0,1.9119605E-05,0.7146691,0.6831214,0.6153422,0.6775272,0.61213195,0.68880886,0.6185863,,
EaCC,47,0.66995525,0.37435597,0,0.00021311808,0.7134157,0.68287116,0.61642474,0.67720544,0.6126268,0.6886324,0.62027,,
EaCC,48,0.66695154,0.37264627,0,0.0006260345,0.71048117,0.6825497,0.6153443,0.6768181,0.61158955,0.68837917,0.61914533,,
