Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.4365709,0.0,0.0011730206,0.2992945,0.9433336,0.45296964,0.33883923,0.2994088,0.22101459,0.9298938,0.72573364,0.0,0,0
2,0.41195735,0.0,5.865103E-4,0.27673146,0.9539758,0.43626738,0.3211882,0.28405175,0.20610255,0.9399742,0.7273125,0.0,0,0
3,0.41338927,9.775171E-5,3.9100685E-4,0.27739903,0.9596407,0.4327862,0.32162336,0.28050137,0.20632607,0.94681317,0.7289922,0.0,0,0
4,0.40728906,7.3313786E-5,2.9325514E-4,0.27185962,0.9631586,0.4288886,0.3165042,0.27685127,0.2021421,0.9513227,0.7288544,0.0,0,0
5,0.41004416,5.8651025E-5,2.346041E-4,0.27412042,0.96369606,0.4279033,0.31971008,0.275792,0.2044949,0.9541693,0.7322949,0.0,0,0
6,0.41776302,1.4662757E-4,1.9550342E-4,0.2809515,0.96536785,0.42976588,0.3260668,0.2771446,0.20963347,0.9565058,0.73341626,0.0,0,0
7,0.41978168,1.6757436E-4,1.6757436E-4,0.2826351,0.9673739,0.4314762,0.3274942,0.27840135,0.21076706,0.95848507,0.7339968,0.0,0,0
8,0.41683644,1.8328446E-4,1.4662757E-4,0.2800791,0.96862125,0.43195307,0.32485408,0.2786665,0.20857844,0.9600485,0.7340791,0.0,0,0
9,0.42050937,1.6291952E-4,1.3033561E-4,0.283408,0.9690906,0.43309152,0.32749382,0.27951387,0.21085413,0.96124125,0.7329386,0.0,0,0
10,0.41783094,1.4662757E-4,1.1730205E-4,0.281063,0.9688901,0.43340376,0.32542273,0.27970183,0.20913202,0.96209484,0.7330393,0.0,0,0
11,0.41803694,1.3329778E-4,1.0663823E-4,0.28113127,0.9692236,0.43365976,0.3252185,0.27985388,0.20894009,0.9628183,0.7333256,0.0,0,0
12,0.4147449,1.2218964E-4,9.775171E-5,0.27959022,0.95631224,0.433328,0.32392573,0.2797326,0.20781524,0.96098495,0.7340591,0.0,0,0
13,0.4086601,1.1279043E-4,9.023235E-5,0.27788082,0.9217916,0.4321652,0.32199493,0.27938917,0.206381,0.9536317,0.73213404,0.0,0,0
14,0.40231568,1.04733976E-4,8.378718E-5,0.2753589,0.8912794,0.43035752,0.31948268,0.27877703,0.20437329,0.9432157,0.73146874,0.0,0,0
15,0.3974236,9.775171E-5,7.820137E-5,0.27372596,0.8653297,0.42826906,0.31778064,0.27807584,0.2030135,0.93125415,0.73106426,0.0,0,0
16,0.39348757,9.164223E-5,7.3313786E-5,0.27261868,0.8430244,0.42608336,0.31645942,0.27736595,0.2020252,0.91863483,0.7299011,0.0,0,0
17,0.39023462,8.625151E-5,6.900121E-5,0.27134338,0.8267004,0.42389813,0.31512088,0.27663422,0.20095558,0.9064269,0.7296357,0.0,0,0
18,0.3899874,8.145976E-5,6.5167806E-5,0.27029058,0.8350514,0.4220349,0.31424314,0.27590752,0.20021735,0.8972298,0.72996646,0.0,0,0
19,0.39082623,9.260688E-5,6.173792E-5,0.2703055,0.84206516,0.42054135,0.31471077,0.27529296,0.20049006,0.89024895,0.7313881,0.0,0,0
20,0.39248297,8.797654E-5,5.8651025E-5,0.2711003,0.8485277,0.41943136,0.31554532,0.27484465,0.2010805,0.8850015,0.7325466,0.0,0,0
21,0.3920312,8.378718E-5,5.585812E-5,0.27012408,0.853672,0.41842714,0.31485206,0.27437085,0.20053226,0.8809777,0.7323535,0.0,0,0
22,0.3921301,7.997867E-5,5.3319116E-5,0.26965883,0.8588902,0.41756132,0.3143713,0.27391982,0.20013346,0.8779535,0.73247266,0.0,0,0
23,0.39191073,7.650134E-5,5.1000894E-5,0.26897117,0.8635059,0.41678044,0.31422198,0.27346796,0.19991261,0.8756918,0.73381495,0.0,0,0
24,0.3926356,7.3313786E-5,4.8875856E-5,0.26920342,0.86778796,0.41615534,0.3149176,0.2730892,0.20040008,0.8740567,0.73483473,0.0,0,0
25,0.392477,7.038123E-5,4.692082E-5,0.26857966,0.8720115,0.4155837,0.31435627,0.27270755,0.19993466,0.872923,0.7349839,0.0,0,0
26,0.3927874,6.7674264E-5,4.5116176E-5,0.26845446,0.87590635,0.41509846,0.31428564,0.2723602,0.19985698,0.8722003,0.7352618,0.0,0,0
27,0.39249116,7.602911E-5,4.3445205E-5,0.26784006,0.8793452,0.41464108,0.31381026,0.2720061,0.199459,0.8717937,0.73544765,0.0,0,0
28,0.392187,7.3313786E-5,4.189359E-5,0.26722246,0.88267684,0.4142065,0.31339794,0.2716464,0.19910084,0.8716473,0.73579067,0.0,0,0
29,0.38713253,7.078572E-5,4.0448984E-5,0.26369366,0.87169164,0.41349372,0.31034297,0.27108797,0.19663623,0.8710854,0.7358621,0.0,0,0
30,0.37856886,6.84262E-5,3.9100683E-5,0.25807157,0.8498974,0.41232565,0.30536112,0.27022162,0.19264776,0.8696646,0.7359426,0.0,0,0
31,0.37076876,6.62189E-5,3.783937E-5,0.2529042,0.83015805,0.41079643,0.30077296,0.26911312,0.18900341,0.86754215,0.73603886,0.0,0,0
32,0.36333868,6.414956E-5,3.6656893E-5,0.24798013,0.8114338,0.40897277,0.29637402,0.2678068,0.18552837,0.8648532,0.73625857,0.0,0,0
33,0.35513207,6.220563E-5,3.5546076E-5,0.24243002,0.791941,0.40684807,0.29131353,0.26628882,0.1815688,0.86168355,0.73643047,0.0,0,0
34,0.3474623,6.0376056E-5,3.4500605E-5,0.23726472,0.7736234,0.4044863,0.286521,0.26460537,0.17785414,0.8581255,0.73653597,0.0,0,0
35,0.34073272,5.8651025E-5,3.3514872E-5,0.23274569,0.7572292,0.40196022,0.28229344,0.26281163,0.17461105,0.85425556,0.73647887,0.0,0,0
36,0.3350987,5.7021833E-5,3.2583903E-5,0.22904837,0.74273926,0.39934307,0.27886674,0.2609633,0.17199633,0.8501459,0.7364816,0.0,0,0
