Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.4425001,0.05835777,0.0,0.45,0.4881376,0.45771813,0.30680668,0.45,0.29084456,0.4657056,0.32462257,0.0,0
2,0.43866068,0.058651026,0.0,0.4266129,0.5084408,0.45518798,0.30547056,0.4344086,0.28004798,0.4780551,0.33596963,0.0,0
3,0.44849044,0.065004885,0.0,0.43572825,0.5194459,0.45994267,0.30904076,0.43506843,0.28306213,0.48783362,0.34026968,0.0,0
4,0.44418973,0.062903225,0.0,0.42694283,0.5209247,0.46014908,0.30402663,0.4318182,0.27619553,0.49245843,0.33809516,0.0,0
5,0.44447446,0.06392962,0.0,0.42947215,0.5181071,0.46057993,0.30629238,0.43103617,0.28017995,0.4944716,0.3377723,0.0,0
6,0.4464836,0.06363636,0.0,0.43629032,0.5146845,0.46151498,0.30695778,0.43253735,0.28507572,0.49465406,0.3324784,0.0,0
7,0.44761804,0.06388772,0.0,0.4385002,0.51488847,0.46245694,0.30768245,0.43402806,0.28648764,0.49487108,0.33226383,0.0,0
8,0.44659677,0.061143696,0.0,0.43559384,0.516844,0.46287596,0.30639067,0.43437603,0.28429806,0.49537826,0.33220622,0.0,0
9,0.4470087,0.059400458,0.0,0.43900293,0.5139569,0.4633902,0.30836117,0.4353014,0.28724396,0.495354,0.3328297,0.0,0
10,0.44483703,0.05909091,0.0,0.43541056,0.51329106,0.46338564,0.30744126,0.43532124,0.28529057,0.49531797,0.3333212,0.0,0
11,0.44376916,0.05889096,0.0,0.43448412,0.5117018,0.46322238,0.3073088,0.43518174,0.28469715,0.49512544,0.3338221,0.0,0
12,0.43740627,0.057184752,0.0,0.43022972,0.50244415,0.46204108,0.30648866,0.43441987,0.28310907,0.49341315,0.3340773,0.0,0
13,0.42520416,0.052785926,0.0,0.42474622,0.48183337,0.4591328,0.30347806,0.43303794,0.28031337,0.48857427,0.33081627,0.0,0
14,0.41374147,0.0490155,0.0,0.41827607,0.46354914,0.45511767,0.30103865,0.43106967,0.2770983,0.48200724,0.32950696,0.0,0
15,0.40442827,0.0457478,0.0,0.41372433,0.4480972,0.45060042,0.29958752,0.42890152,0.274861,0.4746119,0.32920253,0.0,0
16,0.3965266,0.042888563,0.0,0.4101998,0.43473396,0.4458943,0.29741988,0.4267013,0.27258128,0.46689522,0.32723904,0.0,0
17,0.39025787,0.041297223,0.0,0.40663275,0.42460135,0.4412577,0.29621062,0.42447147,0.27070153,0.4594262,0.32702753,0.0,0
18,0.39131674,0.04156077,0.0,0.4050831,0.42884874,0.4375135,0.29609653,0.42243057,0.27002895,0.4537134,0.32773483,0.0,0
19,0.39287907,0.042321347,0.0,0.40507022,0.4323092,0.43452072,0.29824257,0.42069456,0.2715557,0.44928655,0.33074632,0.0,0
20,0.39414883,0.042565983,0.0,0.40560117,0.43445018,0.43211943,0.29974177,0.41925707,0.27260152,0.44579598,0.33288372,0.0,0
21,0.39450097,0.04408602,0.0,0.40419635,0.4366191,0.4300999,0.29962867,0.41788793,0.27214,0.44304714,0.33329454,0.0,0
22,0.39498702,0.044228207,0.0,0.4032258,0.43880886,0.4283991,0.2995882,0.41661295,0.27177656,0.44087154,0.33374083,0.0,0
23,0.39560598,0.04518679,0.0,0.4023779,0.44105786,0.42697272,0.30094662,0.4154267,0.2725788,0.43917894,0.33590487,0.0,0
24,0.3963711,0.045698926,0.0,0.40241936,0.44272605,0.42579016,0.3023045,0.41438612,0.27398968,0.43783966,0.33714607,0.0,0
25,0.39707404,0.046721406,0.0,0.40183577,0.44473547,0.42480695,0.30211052,0.4134207,0.273527,0.43683812,0.33736515,0.0,0
26,0.39822474,0.046762913,0.0,0.40201893,0.44715452,0.42402008,0.30255255,0.41257614,0.2737039,0.43611693,0.33819905,0.0,0
27,0.398565,0.046888236,0.0,0.40114588,0.44893274,0.4233424,0.30297297,0.41175967,0.27375948,0.43559566,0.33916607,0.0,0
28,0.39969867,0.047276918,0.0,0.4010578,0.45158023,0.4228116,0.30337647,0.41102162,0.27385092,0.43529794,0.34003812,0.0,0
29,0.39486519,0.04642532,0.0,0.39600566,0.4462487,0.42206213,0.30195698,0.41002056,0.2711089,0.4348324,0.3407265,0.0,0
30,0.3857276,0.04487781,0.0,0.38756108,0.43498698,0.42088217,0.29900458,0.40857157,0.26606438,0.43395767,0.34125367,0.0,0
31,0.37721467,0.04343014,0.0,0.37955728,0.42455894,0.41934398,0.29629627,0.40675816,0.26156014,0.43273354,0.3416715,0.0,0
32,0.36924005,0.042072948,0.0,0.37201706,0.41481343,0.41752046,0.29379806,0.40465266,0.25730106,0.4312335,0.3423603,0.0,0
33,0.36061692,0.04079801,0.0,0.36356527,0.40465984,0.41542196,0.29077616,0.40223575,0.25236318,0.429502,0.34298265,0.0,0
34,0.35270423,0.039598066,0.0,0.3558608,0.3952885,0.4131158,0.2880808,0.39958575,0.2479069,0.42759418,0.34379336,0.0,0
35,0.34568876,0.038466696,0.0,0.3490951,0.3868601,0.41065937,0.28555384,0.3967807,0.24392141,0.4255441,0.34432277,0.0,0
36,0.3397165,0.037398174,0.0,0.34358504,0.3794247,0.40811446,0.28357798,0.39390528,0.24080873,0.42338714,0.34482038,0.0,0
37,0.33343104,0.036387414,0.0,0.3375644,0.37185174,0.40547562,0.28111252,0.39093995,0.23721406,0.42113397,0.344948,0.0,0
38,0.327287,0.03542985,0.0,0.33157894,0.36454746,0.4027613,0.278802,0.3878958,0.23369259,0.41881162,0.34549204,0.0,0
39,0.3263617,0.03525829,0.0,0.33003232,0.3642215,0.40020075,0.27824983,0.38500264,0.2328015,0.41664803,0.34574795,0.0,0
40,0.32863435,0.035843108,0.0,0.33176687,0.3673714,0.39792162,0.2793836,0.38240576,0.2341933,0.41474977,0.34618375,0.0,0
41,0.33079788,0.036048923,0.0,0.33355984,0.37033856,0.39589497,0.2804178,0.38007978,0.23563613,0.4130835,0.3462144,0.0,0
42,0.3331958,0.036489315,0.0,0.33556765,0.37355837,0.39410684,0.28128657,0.37800944,0.23691529,0.41163623,0.34610838,0.0,0
43,0.3352473,0.03670463,0.0,0.33750597,0.3761075,0.39252633,0.28279418,0.37616837,0.23866561,0.41037166,0.3469429,0.0,0
44,0.33672723,0.036823515,0.0,0.33827978,0.37866238,0.39110422,0.28375956,0.37448442,0.23952669,0.40926778,0.34802935,0.0,0
