Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.42780414,0.015835777,2.9325514E-4,0.33055642,0.7828365,0.45073164,0.32758108,0.31800887,0.22940715,0.77359635,0.5726404,0.0,0,0
2,0.4101671,0.016422287,1.4662757E-4,0.30966824,0.8025919,0.4352948,0.31227404,0.30143282,0.21308842,0.78302497,0.58419985,0.0,0,0
3,0.41948912,0.014565005,9.775171E-5,0.31336248,0.8295375,0.43558145,0.31547254,0.29939628,0.21372709,0.79903543,0.60210794,0.0,0,0
4,0.41128054,0.011876833,7.3313786E-5,0.30310187,0.82538617,0.4327089,0.30938083,0.29598242,0.2092585,0.80420387,0.59320915,0.0,0,0
5,0.4147223,0.013782991,5.8651025E-5,0.30943465,0.81453276,0.4323489,0.31161752,0.29577267,0.21227229,0.80326545,0.5857566,0.0,0,0
6,0.420851,0.013049853,4.8875856E-5,0.3146345,0.8148742,0.4344742,0.3169837,0.29772493,0.217313,0.80356133,0.5855433,0.0,0,0
7,0.42167062,0.01189778,4.189359E-5,0.31430322,0.8198636,0.43611437,0.3169912,0.29908654,0.21716851,0.8048686,0.5866465,0.0,0,0
8,0.42003274,0.012829912,3.6656893E-5,0.313028,0.82211566,0.43654665,0.3133327,0.29938534,0.21428075,0.8056492,0.58267677,0.0,0,0
9,0.4226384,0.012316716,3.2583903E-5,0.31637183,0.82269496,0.43744263,0.3157274,0.300169,0.21644036,0.8060802,0.5833054,0.0,0,0
10,0.4196221,0.011583578,2.9325513E-5,0.31222874,0.82619727,0.43753916,0.31313956,0.30012938,0.2138241,0.8070223,0.58473134,0.0,0,0
11,0.41944012,0.0111170355,2.6659558E-5,0.3114562,0.8278608,0.4375625,0.31277347,0.30002055,0.21325493,0.8079697,0.586448,0.0,0,0
12,0.41567808,0.010532747,2.4437928E-5,0.30943018,0.81770974,0.43697792,0.31093687,0.2996369,0.21163712,0.8067653,0.5857871,0.0,0,0
13,0.40864044,0.0097225355,2.2558088E-5,0.3070227,0.7885909,0.4354882,0.3095765,0.2990277,0.21001743,0.8010413,0.5886062,0.0,0,0
14,0.40168175,0.009028069,2.0946794E-5,0.30320087,0.7636457,0.4333042,0.30735633,0.29809365,0.20763187,0.79299337,0.5914048,0.0,0,0
15,0.39605224,0.008426198,1.9550342E-5,0.30083853,0.74168986,0.43085065,0.30575365,0.2971013,0.2061197,0.78362286,0.59183383,0.0,0,0
16,0.39139366,0.00789956,1.8328446E-5,0.29881394,0.72305727,0.42830768,0.30456737,0.29611126,0.20499037,0.7737356,0.59227186,0.0,0,0
17,0.38799572,0.00743488,1.7250302E-5,0.29684266,0.71081924,0.42580405,0.3034255,0.29509914,0.20371196,0.76434803,0.5943496,0.0,0,0
18,0.38793236,0.0072499188,1.6291951E-5,0.29571226,0.7188879,0.42369893,0.3022827,0.29411536,0.20271626,0.7573998,0.594064,0.0,0,0
19,0.38835412,0.007454854,1.543448E-5,0.29511884,0.723665,0.421945,0.3024599,0.29322416,0.20283163,0.7521093,0.5944421,0.0,0,0
20,0.38955915,0.007302053,1.4662756E-5,0.29520023,0.7292835,0.4206052,0.30315053,0.2925131,0.2033205,0.74827737,0.59557873,0.0,0,0
21,0.38924012,0.0070660524,1.396453E-5,0.29363686,0.73503584,0.41940945,0.30230507,0.2917779,0.20248795,0.74552023,0.5962077,0.0,0,0
22,0.38963208,0.0069714743,1.3329779E-5,0.29289564,0.7407861,0.41841018,0.30185494,0.29109904,0.20204881,0.7436373,0.5965163,0.0,0,0
23,0.38876128,0.0067958687,1.27502235E-5,0.29142118,0.7434462,0.4174622,0.30103862,0.29038945,0.20133764,0.74227947,0.59634405,0.0,0,0
24,0.389001,0.0066715544,1.2218964E-5,0.29093325,0.74709237,0.41664815,0.30146366,0.28973708,0.20158568,0.74139524,0.597504,0.0,0,0
25,0.38883317,0.0066158357,1.1730205E-5,0.29020733,0.75090164,0.41591352,0.30055693,0.2891035,0.20085399,0.74089247,0.59681106,0.0,0,0
26,0.3891007,0.0065644034,1.1279044E-5,0.28989843,0.75524485,0.41528392,0.30011,0.28851783,0.20046213,0.7407452,0.5967479,0.0,0,0
27,0.3890648,0.006571087,1.0861301E-5,0.2890258,0.7600039,0.41471738,0.29956803,0.28794357,0.19984859,0.7409279,0.5979102,0.0,0,0
28,0.38911712,0.006577294,1.0473397E-5,0.28828675,0.7641078,0.41420826,0.2991043,0.28738865,0.19936231,0.7413558,0.5985739,0.0,0,0
29,0.38400313,0.0064819497,1.0112246E-5,0.28427705,0.7548142,0.41342667,0.29615083,0.2866324,0.19673377,0.7413844,0.5986933,0.0,0,0
30,0.37508136,0.0062658847,9.775171E-6,0.2779502,0.7354281,0.4121528,0.29103917,0.28552812,0.19231668,0.7405832,0.5980254,0.0,0,0
31,0.36696804,0.0060637593,9.459843E-6,0.272027,0.7180141,0.41048414,0.28630424,0.28414422,0.18823,0.73912245,0.59775484,0.0,0,0
32,0.35923493,0.005874267,9.164223E-6,0.26644,0.7013298,0.40851015,0.28189301,0.28255105,0.18448415,0.73710656,0.59723914,0.0,0,0
33,0.35082194,0.005696259,8.886519E-6,0.2602835,0.6840177,0.4062284,0.27700785,0.2807335,0.1803512,0.73462343,0.596917,0.0,0,0
34,0.3430034,0.005528722,8.625151E-6,0.25449008,0.66802704,0.40369505,0.2722824,0.27873006,0.17635742,0.73177826,0.5970104,0.0,0,0
35,0.3360242,0.0053707585,8.378718E-6,0.24935427,0.6534452,0.40098968,0.26814267,0.27660897,0.17293394,0.72862506,0.5966013,0.0,0,0
36,0.33014804,0.0052215704,8.145976E-6,0.24512678,0.6406007,0.39819488,0.2648052,0.2744383,0.17018211,0.72523665,0.5964227,0.0,0,0
37,0.32413036,0.005080447,7.925814E-6,0.24071075,0.62791204,0.3953094,0.26119155,0.27220973,0.16721916,0.72166187,0.59628874,0.0,0,0
38,0.31807053,0.004946751,7.71724E-6,0.2362294,0.61541903,0.39233688,0.2575284,0.2699226,0.16422027,0.71792954,0.59639126,0.0,0,0
39,0.31687006,0.0049101436,7.5193625E-6,0.23502427,0.61518157,0.38952762,0.25658986,0.26775417,0.16344678,0.71446204,0.5965374,0.0,0,0
40,0.31907216,0.004919355,7.331378E-6,0.23632076,0.6210345,0.3870318,0.2578638,0.26581675,0.1644537,0.71146816,0.59691006,0.0,0,0
41,0.32113075,0.004827981,7.152564E-6,0.23734759,0.6274744,0.38481522,0.2592647,0.2640811,0.1654916,0.70892614,0.5982577,0.0,0,0
42,0.32333207,0.0048526744,6.982265E-6,0.238734,0.6331085,0.38285756,0.26043394,0.26253784,0.16644938,0.70676357,0.5982084,0.0,0,0
