timestamp,cardinality
1,2.0
2000,5.9865
4000,3.246
6000,5.724
8000,3.643
10000,5.699
12000,4.2295
14000,5.0065
16000,4.289
18000,4.603
20000,4.7345
22000,4.8085
24000,4.746
26000,4.831
28000,4.747
30000,4.839
32000,4.886
34000,4.977
36000,4.8615
38000,5.014
40000,4.893
42000,5.0405
44000,4.942
46000,5.0115
48000,5.032
50000,5.069
52000,5.011
54000,5.126
56000,5.07
58000,5.082
60000,5.158
62000,4.923
64000,5.0655
66000,5.086
68000,5.0605
70000,5.085
72000,5.143
74000,5.158
76000,5.2085
78000,5.118
80000,5.0805
82000,5.068
84000,5.054
86000,5.144
88000,5.296
90000,5.117
92000,5.2055
94000,5.1025
96000,5.21
98000,5.0865
100000,5.134
102000,5.1585
104000,5.156
106000,5.187
108000,5.0535
110000,5.243
112000,5.129
114000,5.132
116000,5.172
118000,5.196
120000,5.278
122000,5.1215
124000,5.16
126000,5.154
128000,5.077
130000,5.2045
132000,5.1815
134000,5.2275
136000,5.0375
138000,5.2235
140000,5.325
142000,5.117
144000,5.2525
146000,5.12
148000,5.1355
150000,5.204
152000,5.074
154000,5.2115
156000,5.066
158000,5.2165
160000,5.242
162000,5.213
164000,5.212
166000,5.2605
168000,5.1695
170000,5.1275
