Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.16180526,0.0043272204,0.0,0.1620647,0.0,0.19116485,0.06794898,0.1620647,0.058041174,0.23300251,0.081935644,0.0,0
2,0.16238233,0.0063878014,0.0,0.17386153,0.0,0.19316806,0.07491781,0.16992925,0.065305986,0.2237699,0.087847285,0.0,0
3,0.16094218,0.007486778,0.0,0.17391305,0.0,0.19256994,0.07720117,0.17192115,0.0649787,0.21885589,0.09508704,0.0,0
4,0.15427916,0.0069029466,0.0,0.16489801,0.0,0.18969472,0.07312389,0.1691119,0.061692033,0.21598221,0.089756176,0.0,0
5,0.15262236,0.0065114363,0.0,0.16400164,0.0,0.18744063,0.07161224,0.16740848,0.060414426,0.21291855,0.08790553,0.0,0
6,0.15328798,0.0063191154,0.0,0.16515557,0.0,0.18620716,0.07212488,0.1667648,0.061355896,0.21078122,0.0874789,0.0,0
7,0.15422262,0.006240617,0.0,0.1669365,0.0,0.18535987,0.073432736,0.16680771,0.063814044,0.20855512,0.086465694,0.0,0
8,0.15414377,0.006568102,0.0,0.16780858,0.0,0.1846948,0.0765668,0.16703013,0.06684644,0.20653766,0.08959511,0.0,0
9,0.15569095,0.006754127,0.0,0.17185247,0.0,0.18447286,0.07765941,0.1679946,0.0701448,0.20453532,0.086977296,0.0,0
10,0.15655339,0.0067381,0.0,0.17313002,0.0,0.18438175,0.07865516,0.16892831,0.07077465,0.20294724,0.08851048,0.0,0
11,0.15739335,0.0066875224,0.0,0.1755896,0.0,0.18435505,0.0796592,0.17003852,0.07176791,0.201304,0.08950025,0.0,0
12,0.15609588,0.0063534584,0.0,0.17348376,0.0,0.18416028,0.07948264,0.17056856,0.070889786,0.20010568,0.09044598,0.0,0
13,0.15537404,0.006260996,0.0,0.17329487,0.0,0.18383275,0.07997398,0.17095803,0.07173651,0.19880453,0.090348676,0.0,0
14,0.1552049,0.006152306,0.0,0.17369227,0.0,0.1835114,0.08010901,0.1713226,0.07202901,0.1975674,0.090230815,0.0,0
15,0.15249793,0.0060031596,0.0,0.17062984,0.0,0.18295746,0.079555035,0.17123601,0.07120334,0.1964015,0.090126276,0.0,0
16,0.15195976,0.00611735,0.0,0.17034566,0.0,0.18243407,0.080471784,0.17113125,0.07174945,0.19533555,0.09160829,0.0,0
17,0.15105608,0.0062059853,0.0,0.16957976,0.0,0.18189354,0.080304936,0.17095888,0.07164912,0.19432257,0.09133951,0.0,0
18,0.15065472,0.006330563,0.0,0.16904779,0.0,0.18140726,0.08020314,0.1707577,0.07141297,0.19347349,0.091460995,0.0,0
19,0.15014386,0.0063335756,0.0,0.16810545,0.0,0.1809113,0.08030374,0.17049249,0.07142119,0.19268641,0.091709524,0.0,0
20,0.14948688,0.0061508347,0.0,0.16745827,0.0,0.18038194,0.07988909,0.1702035,0.07120123,0.19185515,0.09099175,0.0,0
21,0.14920275,0.0060934327,0.0,0.16810417,0.0,0.17988463,0.079940796,0.17001265,0.07137046,0.19097373,0.09085034,0.0,0
22,0.14868844,0.006134912,0.0,0.16793267,0.0,0.17941439,0.07959671,0.16983178,0.071010835,0.19014302,0.09054439,0.0,0
23,0.14793807,0.0060383985,0.0,0.16688019,0.0,0.17894793,0.07917831,0.16958582,0.07039661,0.18940412,0.09046326,0.0,0
24,0.14695401,0.006052957,0.0,0.16558915,0.0,0.17846799,0.078823626,0.16926609,0.06986429,0.18872792,0.09041887,0.0,0
25,0.14609227,0.0059179887,0.0,0.1645951,0.0,0.17797002,0.078252636,0.16890678,0.06921503,0.18806106,0.09000481,0.0,0
26,0.145948,0.0061579673,0.0,0.16443041,0.0,0.17749627,0.07878246,0.1685752,0.069829255,0.1874143,0.09036921,0.0,0
27,0.14541335,0.0060672667,0.0,0.16431607,0.0,0.17702615,0.07898313,0.16827098,0.070390925,0.1867424,0.08996457,0.0,0
28,0.14611858,0.0061964616,0.0,0.1647729,0.0,0.17663506,0.080162324,0.16802973,0.071685724,0.18616939,0.09091241,0.0,0
29,0.14618239,0.0062954305,0.0,0.16483228,0.0,0.17628464,0.080757655,0.16781656,0.072224386,0.1856527,0.09157748,0.0,0
30,0.14646022,0.006360327,0.0,0.1651487,0.0,0.17598599,0.08065496,0.16764444,0.07207811,0.18520111,0.09154868,0.0,0
31,0.1469613,0.006394448,0.0,0.16581362,0.0,0.1757393,0.08116963,0.16753002,0.07253274,0.18479459,0.09214143,0.0,0
32,0.14659221,0.0062912116,0.0,0.16539383,0.0,0.17550056,0.08132165,0.16740055,0.07249447,0.18442428,0.09259652,0.0,0
33,0.14625102,0.0062504294,0.0,0.16484648,0.0,0.17526197,0.08116262,0.16725032,0.07225102,0.18407981,0.092581846,0.0,0
34,0.14575762,0.006224167,0.0,0.16409801,0.0,0.17501667,0.08074157,0.16707018,0.07173578,0.18375686,0.09233317,0.0,0
35,0.1453394,0.0061581936,0.0,0.16335697,0.0,0.17477039,0.08024723,0.16686389,0.07109406,0.18346341,0.0921056,0.0,0
36,0.14539945,0.0061416766,0.0,0.16338977,0.0,0.17454557,0.080406785,0.1666761,0.07138686,0.18319495,0.092035756,0.0,0
37,0.14562456,0.0061594667,0.0,0.16362685,0.0,0.17434192,0.0809313,0.16651562,0.07194885,0.18294016,0.092476524,0.0,0
38,0.1457901,0.00613294,0.0,0.16399515,0.0,0.17416292,0.08110347,0.16638637,0.07219963,0.18270205,0.0925123,0.0,0
39,0.14609571,0.006091923,0.0,0.16458759,0.0,0.17400685,0.08142368,0.16629642,0.07255648,0.18246704,0.09275995,0.0,0
40,0.14609763,0.006042654,0.0,0.16459665,0.0,0.173863,0.081332065,0.16621351,0.07242167,0.18225054,0.092742674,0.0,0
41,0.14585924,0.005995788,0.0,0.16444945,0.0,0.17371127,0.0813916,0.1661295,0.07256844,0.18201818,0.092657246,0.0,0
42,0.14546703,0.00599531,0.0,0.16407132,0.0,0.17355677,0.081296496,0.16603377,0.072396345,0.18179388,0.092691705,0.0,0
43,0.14519762,0.00605715,0.0,0.16388088,0.0,0.17340073,0.0813063,0.16593592,0.07241328,0.18156882,0.09268943,0.0,0
44,0.14496648,0.0060178335,0.0,0.16341111,0.0,0.17324443,0.08114367,0.1658237,0.072162986,0.18136044,0.09267737,0.0,0
45,0.14491807,0.0059848432,0.0,0.16341324,0.0,0.17309059,0.08128482,0.1657189,0.07225812,0.18114866,0.09288874,0.0,0
46,0.14476421,0.0059801647,0.0,0.1635855,0.0,0.17293634,0.08114951,0.16562812,0.07220319,0.18091926,0.09262634,0.0,0
47,0.144105,0.005971301,0.0,0.16266972,0.0,0.17276372,0.080690324,0.16550484,0.071656264,0.18068853,0.09233094,0.0,0
48,0.14368497,0.0059327562,0.0,0.16222998,0.0,0.17258446,0.0804277,0.16537118,0.07132848,0.18045573,0.092187904,0.0,0
49,0.14350842,0.005958864,0.0,0.16202895,0.0,0.172407,0.08048912,0.16523749,0.07142275,0.18022688,0.09219193,0.0,0
