Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
BPMLL,1,0.5185185,0.31111112,0,0.022222223,0.51111114,0.57425743,0.15675676,0.6904762,0.2,0.4915254,0.12888889,,
BPMLL,2,0.6498128,0.49438202,0,0.25842696,0.66292137,0.6486486,0.20004477,0.73282444,0.21333334,0.58181816,0.1883146,,
BPMLL,3,0.70050126,0.556391,0,0.09398496,0.71428573,0.6894198,0.22090651,0.7593985,0.22727272,0.63125,0.21488723,,
BPMLL,4,0.7165724,0.5819209,0,0.08757062,0.740113,0.71193415,0.42887884,0.77060133,0.43333334,0.66156787,0.424515,,
BPMLL,5,0.76093507,0.6380091,0,0.25339368,0.7873303,0.7346657,0.4248341,0.7826725,0.42860895,0.6922078,0.42112517,,
BPMLL,6,0.745283,0.63773584,0,0,0.76981133,0.7455268,0.40915778,0.78864354,0.41818184,0.70688033,0.400515,,
BPMLL,7,0.75512415,0.65048546,0,0.003236246,0.776699,0.75440574,0.5537178,0.79462874,0.55348945,0.7180585,0.55394644,,
BPMLL,8,0.77148247,0.6572238,0,0.11331445,0.796034,0.7627118,0.5640589,0.79914266,0.56891793,0.7294578,0.5592823,,
BPMLL,9,0.7640636,0.6523929,0,0.021410579,0.7884131,0.76725143,0.5999356,0.80078125,0.6076143,0.7364167,0.59244853,,
BPMLL,10,0.7437639,0.6371882,0,0.02834467,0.76870745,0.76758003,0.61762303,0.79864436,0.6280556,0.7388418,0.6075315,,
BPMLL,11,0.7123707,0.60206187,0,0.012371134,0.7412371,0.7634271,0.6119042,0.7920398,0.61992705,0.7368096,0.6040864,,
BPMLL,12,0.6972269,0.5822306,0,0.0018903592,0.72967863,0.7580885,0.6122759,0.7840941,0.61641127,0.7337526,0.60819566,,
BPMLL,13,0.66928375,0.55497384,0,0,0.70331585,0.7500291,0.6035594,0.7732823,0.59868157,0.72813344,0.6085173,,
BPMLL,14,0.62155527,0.5153971,0,0,0.65316045,0.7371601,0.58558613,0.757764,0.56432045,0.7176471,0.6085173,,
BPMLL,15,0.58018094,0.48108926,0,0,0.6096823,0.72114956,0.56850547,0.73893404,0.5334309,0.7042011,0.6085173,,
BPMLL,16,0.5449167,0.45106384,0,0,0.5723404,0.70349336,0.55514246,0.7185315,0.5100647,0.6890718,0.6089602,,
BPMLL,17,0.51290554,0.4245661,0,0,0.5387183,0.6848766,0.5390629,0.69726837,0.48445392,0.67291754,0.6075474,,
BPMLL,18,0.4995791,0.41361916,0,0.0075662043,0.52395964,0.6679045,0.53317153,0.6784008,0.47750068,0.65772796,0.6035368,,
BPMLL,19,0.5109512,0.4241338,0,0.0011947431,0.53405017,0.65463054,0.535224,0.66387886,0.480898,0.6456364,0.60338736,,
BPMLL,20,0.52289003,0.43813848,0,0.0096481275,0.54540294,0.6444647,0.53963774,0.6528985,0.487635,0.6362459,0.604056,,
BPMLL,21,0.53513443,0.44648647,0,0.016756756,0.5589189,0.6367099,0.5425789,0.6444899,0.49139485,0.62911564,0.6056653,,
BPMLL,22,0.54523504,0.45510834,0,0,0.5686275,0.630873,0.5460586,0.63828343,0.49694958,0.6236327,0.60593796,,
BPMLL,23,0.54146063,0.44817373,0,0.0029615005,0.5644949,0.62536013,0.44795883,0.63247865,0.4023187,0.61840004,0.505279,,
BPMLL,24,0.5199303,0.4295175,0,0.00023651845,0.5424156,0.6188642,0.52437407,0.6257862,0.5427423,0.6120937,0.5072084,,
BPMLL,25,0.49960613,0.4123524,0,0,0.521647,0.61141557,0.50994295,0.61790496,0.5121816,0.605061,0.5077238,,
BPMLL,26,0.4815718,0.39650655,0,0.00087336247,0.5024745,0.6034546,0.50170267,0.6095656,0.49648675,0.59746474,0.50702924,,
BPMLL,27,0.46515256,0.38267452,0,0.0012615643,0.4855621,0.59531623,0.49602893,0.6011669,0.48560897,0.58957833,0.50690585,,
BPMLL,28,0.47585818,0.3941606,0,0.001216545,0.49662068,0.5887208,0.49915183,0.5943252,0.49536562,0.5832212,0.5029964,,
BPMLL,29,0.4866614,0.40485513,0,0.012725137,0.5084834,0.58348376,0.47326598,0.588826,0.4473581,0.57823753,0.50235915,,
BPMLL,30,0.50073177,0.42013627,0,0.026495079,0.5225839,0.5795937,0.478073,0.5846919,0.45419464,0.57458365,0.5046014,,
BPMLL,31,0.51145303,0.43296704,0,0.002930403,0.5328449,0.57670814,0.48032722,0.58162737,0.45884907,0.5718714,0.50391483,,
BPMLL,32,0.5012776,0.42157558,0,0,0.5211734,0.57351583,0.47770834,0.5784517,0.45439288,0.5686634,0.5035458,,
BPMLL,33,0.48655668,0.40880936,0,0,0.5057352,0.56969607,0.47015128,0.57468367,0.44388083,0.5647943,0.49972686,,
BPMLL,34,0.47258976,0.39679357,0,0,0.49120462,0.5654124,0.46450981,0.5704187,0.43393043,0.5604933,0.4997259,,
BPMLL,35,0.4595286,0.38546398,0,0,0.47750378,0.5608162,0.4595995,0.5659496,0.4273305,0.55577505,0.49714005,,
BPMLL,36,0.45581508,0.3829653,0,0.0063091484,0.47308096,0.5564881,0.46083573,0.56181407,0.42845652,0.55126214,0.4985089,,
BPMLL,37,0.46621668,0.3941068,0,0.0061387355,0.48301616,0.5530148,0.46571466,0.5585417,0.43720296,0.54759616,0.49820456,,
BPMLL,38,0.47607124,0.40227136,0,0.029288704,0.4921299,0.5502689,0.46947467,0.5560109,0.44440672,0.54464436,0.49753976,,
