Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaISOUPTree,1,0.8348148,0.8867725,0.6888889,0.08000001,0.9162963,0.9111111,0.92,0.91999996,0.85,0.3,0.8360656,0.3,0.86440676,0.3
EaISOUPTree,2,0.87940073,0.916533,0.7752809,0.060674157,0.9374532,0.93820226,0.9328358,0.9393258,0.86646885,0.2961039,0.8488372,0.29230767,0.8848485,0.3
EaISOUPTree,3,0.88696736,0.9215896,0.7894737,0.05714285,0.9408521,0.943609,0.9378277,0.94285715,0.87328243,0.31269407,0.85373133,0.3057143,0.89375,0.32
EaISOUPTree,4,0.8774953,0.91267157,0.779661,0.06440677,0.92645943,0.94350284,0.9369369,0.93559325,0.8703703,0.47426027,0.8438061,0.43932033,0.89866155,0.5152381
EaISOUPTree,5,0.8982654,0.9270416,0.81900454,0.05520361,0.9374811,0.95475113,0.93954885,0.9447964,0.874139,0.49578437,0.8440145,0.4695038,0.9064935,0.5251816
EaISOUPTree,6,0.9015723,0.9265768,0.83396226,0.05509433,0.93427664,0.954717,0.94107527,0.94490564,0.8760181,0.5324273,0.8424717,0.48292446,0.91234684,0.59323806
EaISOUPTree,7,0.9039374,0.92917234,0.83495146,0.053074427,0.93683916,0.9563107,0.9425343,0.9469255,0.87824905,0.6810569,0.8430729,0.6370503,0.91648823,0.7315946
EaISOUPTree,8,0.90457976,0.92950195,0.8356941,0.050991505,0.9390462,0.9532578,0.94396985,0.94900846,0.88049304,0.6842377,0.8455996,0.6468686,0.91839015,0.7261892
EaISOUPTree,9,0.9002938,0.92699975,0.8261965,0.053400524,0.9359781,0.9534005,0.9444947,0.9465995,0.88123924,0.7494874,0.8459314,0.7054128,0.91962284,0.7994368
EaISOUPTree,10,0.9057067,0.93050385,0.8367347,0.049886644,0.9400982,0.95351475,0.9455144,0.9501134,0.8829148,0.7910445,0.8481142,0.74920726,0.92069346,0.83783054
