Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.609756,0.024390243,0.0,0.5,0.8292683,0.6029412,0.24380597,0.5,0.20769231,0.7592593,0.29512197
MINAS-BR,2,0.6358028,0.037037037,0.0,0.50617284,0.89506173,0.6227848,0.25362945,0.50409836,0.2122449,0.81456953,0.31506175
MINAS-BR,3,0.6516393,0.057377048,0.0,0.5163934,0.9221311,0.6376441,0.26798663,0.5102459,0.21686748,0.8498294,0.35063753
MINAS-BR,4,0.65811914,0.070512824,0.0,0.5224359,0.92948717,0.64678174,0.45607528,0.515,0.3824299,0.8691983,0.5648496
MINAS-BR,5,0.65097976,0.064705886,0.0,0.5147059,0.9235294,0.64897734,0.4643811,0.5149123,0.4058569,0.877429,0.54262745
MINAS-BR,6,0.59433883,0.051886793,0.0,0.46698114,0.8490566,0.6416019,0.43742558,0.5094095,0.39194316,0.8664459,0.49484962
MINAS-BR,7,0.59354407,0.04347826,0.0,0.46442688,0.8517786,0.6367041,0.51365435,0.50595236,0.42716065,0.85858583,0.6440686
MINAS-BR,8,0.59863997,0.040816326,0.0,0.46768707,0.8605442,0.6354269,0.5163453,0.50566185,0.43768612,0.8547855,0.6294714
MINAS-BR,9,0.60682595,0.041543026,0.0,0.47477746,0.8709199,0.6363278,0.532679,0.5072236,0.4540739,0.85359406,0.6441964
MINAS-BR,10,0.59693116,0.036842104,0.0,0.46578947,0.85921055,0.6353662,0.53575605,0.5069516,0.45395637,0.8509075,0.65351486
MINAS-BR,11,0.59692836,0.03309693,0.0,0.46453902,0.86170214,0.63426423,0.5439012,0.50610673,0.4603877,0.8493348,0.66442704
MINAS-BR,12,0.5940638,0.03218884,0.0,0.4613734,0.85944206,0.6331065,0.5446859,0.50506514,0.45972174,0.84811664,0.6681759
MINAS-BR,13,0.5903734,0.031434186,0.0,0.4577603,0.8555992,0.6316402,0.54460835,0.5036327,0.45900002,0.84689367,0.66947186
MINAS-BR,14,0.5504227,0.028985508,0.0,0.42663044,0.79800725,0.6245708,0.65587366,0.4974653,0.63218606,0.8389201,0.6814056
MINAS-BR,15,0.5173669,0.026890757,0.0,0.40084034,0.75042015,0.61423874,0.6488383,0.48855847,0.61324763,0.826976,0.6888145
MINAS-BR,16,0.4895505,0.02507837,0.0,0.37931034,0.71003133,0.60209256,0.63645804,0.47818106,0.5893138,0.8126841,0.6918012
MINAS-BR,17,0.46593112,0.023529412,0.0,0.36102942,0.6757353,0.58908474,0.62815726,0.46713552,0.5740808,0.79719955,0.6934808
MINAS-BR,18,0.4414474,0.02351314,0.0,0.34232366,0.6396957,0.5753383,0.6179584,0.4555377,0.55881405,0.7806354,0.6911043
MINAS-BR,19,0.44952062,0.023498695,0.0,0.34856397,0.65143603,0.56439155,0.5692347,0.446281,0.48681897,0.7675195,0.6852425
MINAS-BR,20,0.4586424,0.023573201,0.0,0.35545906,0.6650124,0.55589247,0.56279147,0.43902913,0.47707242,0.75753856,0.68606114
MINAS-BR,21,0.46819636,0.024734983,0.0,0.36277974,0.6790342,0.5494171,0.54707223,0.4334251,0.45468062,0.75017744,0.68658745
MINAS-BR,22,0.47813717,0.02690583,0.0,0.37107623,0.69226456,0.5446622,0.541072,0.42927894,0.44621587,0.74487156,0.6871445
MINAS-BR,23,0.47878584,0.028877005,0.0,0.3721925,0.69197863,0.54053885,0.53306127,0.42569637,0.43895522,0.7402367,0.6785287
MINAS-BR,24,0.46280146,0.027692307,0.0,0.36051282,0.66752136,0.53549194,0.41850537,0.4214935,0.332534,0.7340161,0.5644298
MINAS-BR,25,0.4441254,0.026574804,0.0,0.34596458,0.640584,0.529516,0.38860396,0.41653347,0.2963026,0.72660327,0.5644298
MINAS-BR,26,0.4268982,0.025543993,0.0,0.33254495,0.61573637,0.5228689,0.36940095,0.4110304,0.27453884,0.7183182,0.5644298
MINAS-BR,27,0.41149354,0.024567788,0.0,0.32074612,0.5931149,0.5157682,0.35266647,0.40518963,0.2565141,0.70935506,0.56412417
