Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
BPMLL,1,0.96296304,0.8888889,0,0.9444444,1,0.9473684,0.25,0.9,0.25,1,0.25,,
BPMLL,2,0.9250935,0.7977528,0,0.89325845,0.98876405,0.9204152,0.24858756,0.85806453,0.25,0.9925373,0.24719101,,
BPMLL,3,0.90977424,0.80451125,0,0.8834587,0.96240604,0.90625,0.24521074,0.8446602,0.25,0.9775281,0.24060151,,
BPMLL,4,0.7344632,0.6440678,0,0.7118644,0.779661,0.8252327,0.15436241,0.77475727,0.1564626,0.88274336,0.15231788,,
BPMLL,5,0.5897435,0.51583713,0,0.0009049774,0.6289593,0.7374914,0.20514044,0.69419354,0.30439124,0.7865497,0.15469883,,
BPMLL,6,0.49622637,0.4301887,0,0.003899371,0.53207546,0.66243905,0.20212275,0.6229358,0.2846154,0.70729166,0.15670384,,
BPMLL,7,0.4255663,0.36893204,0,0,0.4563107,0.5989774,0.19909556,0.5635739,0.27671453,0.6391271,0.15548244,,
BPMLL,8,0.37535405,0.32577905,0,0,0.4022663,0.54581565,0.19733144,0.51361454,0.26934525,0.58232445,0.15570198,,
BPMLL,9,0.3337531,0.28967255,0,0,0.35768262,0.5014763,0.19720882,0.47240052,0.2688889,0.53436595,0.15570198,,
BPMLL,10,0.30045348,0.26077098,0,0,0.32199547,0.4636279,0.19720882,0.43780744,0.2688889,0.49268484,0.15570198,,
BPMLL,11,0.27422678,0.2371134,0,0.0010309279,0.29381442,0.43123254,0.20610821,0.4084093,0.27720854,0.45675763,0.1640353,,
BPMLL,12,0.25267798,0.2173913,0,0.0018903592,0.27126655,0.40342107,0.21183239,0.3831542,0.28510326,0.42595166,0.16852249,,
BPMLL,13,0.23909253,0.20069808,0,0.0061082025,0.2591623,0.3797697,0.22250488,0.3614872,0.31377003,0.4,0.17236865,,
BPMLL,14,0.22825506,0.18638574,0,0.010534846,0.24959481,0.35942084,0.22922474,0.34246832,0.3331978,0.37813914,0.17470783,,
BPMLL,15,0.21860826,0.17397882,0,0.014120021,0.24130106,0.34200618,0.23356448,0.32604438,0.3480856,0.35961124,0.17574418,,
BPMLL,16,0.20945638,0.16312057,0,0.016784871,0.23262411,0.32681417,0.23531017,0.31168082,0.35694608,0.34349206,0.17550395,,
BPMLL,17,0.20160228,0.15353805,0,0.019136628,0.22563417,0.3134649,0.23671487,0.29901397,0.36415374,0.32938355,0.17534967,,
BPMLL,18,0.19209766,0.14501892,0,0.019335857,0.21563682,0.30136985,0.23729649,0.28754872,0.36426225,0.31658673,0.17596342,,
BPMLL,19,0.18199934,0.13739546,0,0.018319396,0.20430107,0.29012015,0.23571116,0.27687702,0.35689285,0.30469373,0.17596342,,
BPMLL,20,0.1729097,0.13053349,0,0,0.19409762,0.2796668,0.2345609,0.26697847,0.3516705,0.2936214,0.17596342,,
BPMLL,21,0.16468482,0.12432432,0,0,0.18486486,0.26987025,0.23371825,0.2576828,0.34821904,0.28326783,0.17588426,,
BPMLL,22,0.15720686,0.118679054,0,0,0.1764706,0.26072434,0.23355743,0.24902724,0.34750605,0.2735744,0.17588426,,
BPMLL,23,0.18920714,0.14708786,0,0.04047384,0.20730503,0.25526032,0.34542248,0.243946,0.352864,0.2676752,0.33828834,,
BPMLL,24,0.2216968,0.17880794,0,0.07994323,0.23888363,0.25286484,0.34968734,0.24182189,0.3596647,0.26496467,0.34024858,,
BPMLL,25,0.25128683,0.20708446,0,0.11625795,0.2674841,0.2528772,0.35277614,0.24202774,0.365692,0.26474503,0.34074152,,
BPMLL,26,0.2774382,0.22969432,0,0.14978166,0.29213974,0.25475755,0.3551908,0.24407315,0.37106013,0.26642022,0.34062317,,
