Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
EaISOUPTree,1,0.9866667,0.9777778,0,0.98333335,1,0.9677419,0.25,0.9375,0.25,1,0.25,,
EaISOUPTree,2,0.9865169,0.9775281,0,0.9831461,1,0.967509,0.25,0.9370629,0.25,1,0.25,,
EaISOUPTree,3,0.9864662,0.97744364,0,0.9830827,1,0.9673913,0.25,0.9368421,0.25,1,0.25,,
EaISOUPTree,4,0.9371,0.8757062,0,0.9322034,0.9736346,0.9355861,0.35468802,0.8949495,0.3613248,0.9800885,0.3482906,,
EaISOUPTree,5,0.940875,0.87782806,0,0.94004524,0.9720965,0.9227558,0.35355738,0.8804781,0.3547417,0.96929824,0.35238096,,
EaISOUPTree,6,0.94842786,0.8943396,0,0.94716984,0.9767295,0.91873145,0.35197476,0.8761815,0.3497589,0.965625,0.35421887,,
EaISOUPTree,7,0.94951457,0.89320385,0,0.95064723,0.97518873,0.9168523,0.34889072,0.8752658,0.34578094,0.9625877,0.35205698,,
EaISOUPTree,8,0.9383379,0.87818694,0,0.9357885,0.9726156,0.91118133,0.36984044,0.86754245,0.35762194,0.9594431,0.38292333,,
EaISOUPTree,9,0.9379511,0.87909317,0,0.93534845,0.9718723,0.9073395,0.45684457,0.8622494,0.4430531,0.9574056,0.47152224,,
EaISOUPTree,10,0.9359784,0.86848074,0,0.93556315,0.96900976,0.904325,0.46959063,0.85881937,0.45663047,0.9549229,0.48330796,,
EaISOUPTree,11,0.93436366,0.85979384,0,0.93573886,0.96666664,0.9018997,0.47413987,0.8565513,0.4611424,0.9523183,0.4878913,,
EaISOUPTree,12,0.9367984,0.86389416,0,0.9387209,0.9675488,0.9006187,0.49688804,0.85567784,0.47931662,0.9505418,0.51579684,,
EaISOUPTree,13,0.93769586,0.8638743,0,0.9403724,0.9674229,0.8998872,0.5777161,0.85551983,0.55535334,0.9491082,0.60195535,,
EaISOUPTree,14,0.9394378,0.86871964,0,0.94300383,0.9665046,0.8998534,0.598085,0.8564255,0.57842153,0.947921,0.61913246,,
EaISOUPTree,15,0.94205725,0.8744327,0,0.9456632,0.96797776,0.9002737,0.60710454,0.8577249,0.5878246,0.9472642,0.62769216,,
EaISOUPTree,16,0.9428367,0.87659574,0,0.9469268,0.9671394,0.9009063,0.61126316,0.859366,0.5931053,0.94666666,0.63056785,,
EaISOUPTree,17,0.94494873,0.8811749,0,0.9490432,0.96840227,0.9017473,0.6137478,0.86112183,0.5953403,0.9463958,0.63332987,,
EaISOUPTree,18,0.9447246,0.88398486,0,0.94840276,0.9676334,0.90237147,0.7563151,0.8624022,0.7245052,0.9462257,0.7910466,,
EaISOUPTree,19,0.94683385,0.8888889,0,0.9501594,0.9693349,0.9031454,0.7663432,0.86370707,0.7385147,0.94635755,0.79635096,,
EaISOUPTree,20,0.94873244,0.89330304,0,0.9517405,0.97086644,0.9040181,0.7684162,0.8650122,0.7410679,0.94670784,0.7978604,,
EaISOUPTree,21,0.95009,0.8962162,0,0.95317125,0.9717117,0.90491307,0.76839787,0.8663015,0.7409267,0.9471271,0.7979846,,
EaISOUPTree,22,0.9513243,0.8988648,0,0.95447206,0.9724802,0.9058145,0.7675979,0.8675642,0.7397461,0.9475934,0.79762894,,
EaISOUPTree,23,0.94878495,0.89239883,0,0.95269835,0.96972686,0.9063309,0.91182154,0.8684721,0.8736059,0.9476407,0.95353365,,
EaISOUPTree,24,0.94934016,0.8921476,0,0.95372134,0.9695679,0.9068949,0.91877306,0.8695077,0.88504654,0.94764173,0.9551719,,
EaISOUPTree,25,0.94985086,0.89191645,0,0.9551167,0.96896756,0.90749127,0.92035985,0.87068754,0.8891454,0.9475436,0.95384556,,
EaISOUPTree,26,0.94857526,0.88646287,0,0.95509475,0.9671033,0.9079526,0.9188609,0.87183124,0.8894103,0.94719654,0.9503286,,
EaISOUPTree,27,0.9468335,0.882254,0,0.95356053,0.96579754,0.9082181,0.91641897,0.8726937,0.8873376,0.9467574,0.94747114,,
EaISOUPTree,28,0.9471087,0.88483375,0,0.95359564,0.965396,0.90841275,0.9152313,0.8733605,0.8863001,0.94639623,0.946115,,
EaISOUPTree,29,0.9484091,0.8880188,0,0.954568,0.9665883,0.9086876,0.91566837,0.8740364,0.8867702,0.9461997,0.9465135,,
EaISOUPTree,30,0.94962287,0.8909917,0,0.9554757,0.9677012,0.909026,0.91562754,0.8747154,0.88644594,0.94613814,0.9467959,,
EaISOUPTree,31,0.95075834,0.8937729,0,0.95632476,0.9687423,0.90941447,0.9152838,0.87539303,0.88561755,0.9461874,0.9470064,,
EaISOUPTree,32,0.9453167,0.8807665,0,0.9519398,0.9643955,0.9093341,0.9067256,0.87555873,0.8770216,0.94581985,0.93851215,,
EaISOUPTree,33,0.9441866,0.8768066,0,0.95144516,0.963409,0.9091583,0.90352875,0.8756196,0.87394446,0.94536847,0.9351862,,
EaISOUPTree,34,0.9451273,0.8790915,0,0.9523156,0.9641505,0.9090465,0.90265614,0.87571037,0.8726186,0.94502103,0.93483526,,
