Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.58139527,0.046511628,0.0,0.47286817,0.81395346,0.5833333,0.2737983,0.4827586,0.2121212,0.7368421,0.3860465,0.0,0,0
2,0.6085274,0.046511628,0.0,0.4806201,0.877907,0.60189575,0.26382998,0.48473284,0.21230769,0.79375,0.34837207,0.0,0,0
3,0.6369508,0.069767445,0.0,0.5025839,0.9186047,0.6203593,0.2723996,0.49333334,0.21553397,0.83548385,0.3700258,0.0,0,0
4,0.6598832,0.11046512,0.0,0.5271318,0.93895346,0.63577116,0.48598164,0.5028637,0.41843113,0.86417323,0.57954144,0.0,0,0
5,0.6798448,0.17209302,0.0,0.55503887,0.9465116,0.6458231,0.47371542,0.509245,0.40239295,0.88251,0.5757679,0.0,0,0
6,0.65719855,0.17509727,0.0,0.5366407,0.9202335,0.64280707,0.4552983,0.5038504,0.3842934,0.8875969,0.5584888,0.0023255814,1,0
7,0.638889,0.15,0.0,0.51222163,0.9316667,0.6361974,0.53813595,0.49371707,0.41578633,0.8942731,0.762514,0.0043478264,0,0
8,0.6234209,0.13119534,0.0,0.49271038,0.9373178,0.6282849,0.54371095,0.48243994,0.42260903,0.9005175,0.7620952,0.00625,0,0
9,0.61528516,0.11658031,0.0,0.4812164,0.94430053,0.621519,0.54746604,0.4727973,0.42574972,0.90674055,0.7666378,0.008163265,0,0
10,0.60404044,0.10489511,0.0,0.46736446,0.94755244,0.6146379,0.5269849,0.4634945,0.40138388,0.9120546,0.766992,0.00909091,0,0
11,0.59597456,0.095338985,0.0,0.45674258,0.9523305,0.6082843,0.519501,0.45508888,0.39230978,0.9169572,0.76873267,0.010526316,0,0
12,0.58783156,0.08737864,0.0,0.44660002,0.9563107,0.6021278,0.5042908,0.44717252,0.3750164,0.9214209,0.769577,0.0112000005,0,0
13,0.58052546,0.08064516,0.0,0.43757257,0.9596774,0.5962872,0.49295288,0.43983722,0.36250034,0.9254802,0.77008104,0.011940299,0,0
14,0.54065424,0.074875206,0.006655574,0.40737462,0.8943428,0.5855781,0.47077584,0.4292683,0.33900923,0.92090964,0.77009904,0.01294964,0,0
15,0.5045546,0.06987578,0.010869565,0.38017416,0.83462733,0.5720788,0.4460485,0.4170781,0.3139438,0.91042405,0.77009904,0.013333334,0,0
16,0.4735563,0.06550218,0.013100437,0.3568639,0.78311497,0.5571922,0.42884097,0.40427482,0.2971579,0.8961689,0.77010787,0.014193548,0,0
17,0.44620985,0.061643835,0.016438356,0.33629975,0.73767126,0.54170066,0.41025847,0.39136636,0.27960464,0.8795651,0.7701212,0.014634145,0,0
18,0.42242324,0.058214746,0.019404916,0.3184547,0.69793016,0.5260908,0.3960157,0.37862638,0.26653257,0.86169815,0.7701678,0.015384616,0,0
19,0.4279409,0.05514706,0.018382354,0.32097495,0.7132353,0.5136981,0.39847144,0.36847004,0.26860237,0.84788,0.77148277,0.01627907,0,0
20,0.43127638,0.052386496,0.017462166,0.3216911,0.725844,0.50359714,0.39934874,0.36014247,0.2692982,0.8369954,0.77232105,0.017142858,0,0
21,0.4360307,0.050997782,0.016629713,0.32409424,0.7383592,0.4954797,0.40221605,0.35339868,0.2718372,0.8286193,0.77292913,0.01818182,0,0
22,0.4404934,0.048677247,0.015873017,0.32645503,0.74920636,0.48900124,0.40544584,0.34797943,0.27473485,0.822209,0.77341425,0.019209038,0,0
23,0.45165268,0.06174089,0.015182186,0.3383942,0.7580972,0.48414442,0.4152595,0.34393254,0.283719,0.81735945,0.77420264,0.018556701,0,0
24,0.43831182,0.06013579,0.014548982,0.32945377,0.73246044,0.4789729,0.3301166,0.33984727,0.22177641,0.810962,0.64540285,0.014136904,0,0
25,0.42115515,0.05778192,0.013979496,0.3165581,0.70379,0.47335038,0.3145299,0.3355376,0.2079315,0.8032722,0.64540285,0.17973857,1,0
26,0.40529102,0.05560538,0.013452915,0.30463395,0.67727953,0.4675428,0.3011958,0.33121052,0.19643359,0.7946248,0.64540285,0.17873563,1,0
27,0.39093217,0.053540587,0.012953368,0.2938977,0.6529937,0.4615049,0.28965625,0.32678574,0.18678772,0.7852135,0.64471835,0.17798354,0,0
28,0.3868884,0.0575,0.0125,0.29215297,0.6426389,0.45575738,0.28819358,0.32259846,0.18561332,0.77611387,0.6442323,0.1774043,1,0
29,0.39817291,0.06929895,0.012087027,0.3036532,0.65283376,0.45110852,0.2995777,0.3192467,0.19499077,0.7685516,0.6461551,0.17752714,2,0
30,0.40869626,0.08255452,0.011682243,0.31490165,0.66134477,0.44734582,0.30790946,0.31657118,0.20213206,0.76221436,0.64593005,0.17762661,0,0
31,0.42205438,0.10173323,0.011303692,0.32994252,0.6700578,0.44443306,0.31557524,0.31455994,0.20873986,0.7569617,0.6464204,0.17768596,0,0
32,0.4303382,0.11468225,0.010956903,0.33978605,0.67360604,0.442069,0.3191017,0.31298685,0.21183716,0.752356,0.64641756,0.17807351,1,0
33,0.4205145,0.111189805,0.01062323,0.3323304,0.6569877,0.43939465,0.31159598,0.31121433,0.20537938,0.7471065,0.6453569,0.17859273,0,0
34,0.40891173,0.10790378,0.010309278,0.32319626,0.63860255,0.4364248,0.3037301,0.3092419,0.19859616,0.7413028,0.64539045,0.17901234,0,0
35,0.39777476,0.10480641,0.010013351,0.31447524,0.620939,0.43314594,0.29508203,0.3070372,0.191263,0.7350524,0.64542216,0.1792651,0,0
36,0.38721603,0.10188189,0.009733939,0.30618683,0.60426134,0.42962,0.28719616,0.3046537,0.18479769,0.7284055,0.64409834,0.17950618,0,0
37,0.38478523,0.09911616,0.009469697,0.30376726,0.6017466,0.426271,0.28693014,0.3023697,0.18479763,0.7222085,0.64143175,0.17992145,0,0
38,0.38848588,0.09649662,0.009219422,0.30531713,0.6122721,0.42341277,0.29028928,0.3004032,0.18755543,0.71701866,0.6418805,0.1803119,0,0
39,0.39205578,0.09401198,0.008982036,0.3069369,0.6216567,0.4210008,0.29370525,0.29873487,0.1904458,0.7126897,0.64155614,0.18075801,0,0
40,0.39653614,0.09165207,0.008756568,0.30969113,0.6305702,0.41905582,0.29760048,0.29739615,0.19374746,0.7091616,0.6414117,0.18115942,0,0
41,0.39986697,0.08940774,0.008542141,0.31117138,0.6396166,0.4174526,0.3004189,0.29628143,0.19611196,0.70631766,0.6417486,0.18157768,0,0
42,0.4028719,0.08727071,0.008337965,0.31244195,0.64823055,0.41613364,0.30172,0.2953486,0.19718207,0.7040672,0.64217514,0.18183975,0,0
43,0.40537456,0.08523344,0.008143323,0.31333646,0.6558994,0.4150527,0.30274507,0.2945691,0.19807106,0.7023084,0.64204425,0.1821161,0,0
44,0.40792218,0.083289124,0.00795756,0.31432277,0.66321844,0.41418767,0.3040061,0.29393092,0.19916159,0.70098245,0.64194465,0.18245125,0,0
45,0.41001043,0.08143154,0.007780083,0.31500584,0.67021096,0.41350284,0.30433938,0.2934062,0.19945474,0.7000439,0.64187247,0.18260473,0,0
46,0.40921706,0.079655,0.00761035,0.31384113,0.6708101,0.41284806,0.30376276,0.29289395,0.1989726,0.6992067,0.6417381,0.18288289,0,0
47,0.40048006,0.07795432,0.007447865,0.30714044,0.65648794,0.41182703,0.29809526,0.29210225,0.1941372,0.6978615,0.6417381,0.18300222,0,0
48,0.39268818,0.076361865,0.00729572,0.3011904,0.64356357,0.4105424,0.2939843,0.29111898,0.19066353,0.6960965,0.6417482,0.35004723,1,0
49,0.38483417,0.074797526,0.0071462602,0.29517904,0.6306178,0.4090078,0.28930953,0.28995162,0.18674906,0.69394755,0.64175314,0.35030624,0,0
50,0.37734216,0.07329599,0.007002801,0.28948683,0.6181918,0.4072605,0.2851858,0.28862908,0.18332638,0.6914637,0.64175814,0.35064086,0,0
51,0.37014502,0.07185355,0.0068649887,0.28401867,0.6062548,0.40532526,0.2813847,0.28716877,0.18019645,0.68868816,0.6417631,0.35102955,0,0
