Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.7751937,0.37209302,0.0,0.6744186,0.9767442,0.74999994,0.24705882,0.6086956,0.25,0.9767442,0.24418604,0.0,0,0
2,0.78039235,0.4117647,0.0,0.6882353,0.9647059,0.7537994,0.24550897,0.6169154,0.25,0.96875,0.24117647,0.003012048,1,0
3,0.77165323,0.40944883,0.0,0.68110234,0.9527559,0.7515338,0.24395162,0.6171285,0.25,0.9607843,0.23818898,0.006048387,1,0
4,0.63333297,0.32352942,0.0,0.55588233,0.7882353,0.6966912,0.1534937,0.578626,0.157277,0.87528867,0.14988814,0.0056689344,0,0
5,0.505477,0.25821596,0.0,0.44366196,0.62910795,0.62637365,0.1409043,0.5229358,0.13293651,0.7808219,0.14988814,0.0066666664,0,0
6,0.42222196,0.21568628,0.0,0.37058824,0.5254902,0.5626087,0.12653446,0.469862,0.109477125,0.70097506,0.14988814,0.17370892,1,0
7,0.36129734,0.18456376,0.0,0.31711408,0.44966444,0.5087948,0.11816578,0.4251497,0.09752548,0.63341445,0.14988814,0.17430556,0,0
8,0.31573784,0.16129032,0.0,0.2771261,0.3929619,0.46434915,0.11394558,0.3888653,0.09190673,0.5761965,0.14988814,0.1751302,0,0
9,0.28168386,0.14322917,0.0,0.24739583,0.3502604,0.4280473,0.13172057,0.35995886,0.10893687,0.5279035,0.16655482,0.17620866,0,0
10,0.25448853,0.12880562,0.0,0.22365339,0.31615925,0.3975197,0.13811429,0.33607253,0.11533313,0.48646432,0.17211038,0.17731829,0,0
11,0.2340424,0.11702128,0.0,0.20744681,0.28936172,0.37196237,0.15193418,0.31636798,0.12890778,0.45126107,0.18497586,0.17848259,0,0
12,0.21442482,0.10721248,0.0,0.19005848,0.2651072,0.3497608,0.1502952,0.2993448,0.12890778,0.4205984,0.18019117,0.17962962,0,0
13,0.20383678,0.09892087,0.0,0.17985612,0.2535971,0.3310985,0.16674566,0.2849787,0.15787393,0.3950283,0.17667387,0.1807598,0,0
14,0.2008902,0.09348915,0.0,0.17612688,0.25208682,0.31584623,0.18485554,0.27323595,0.18793575,0.37420177,0.18187468,0.18176329,0,0
15,0.1962615,0.088785045,0.0,0.17133956,0.24766356,0.3029681,0.1906943,0.26316512,0.20077403,0.35695684,0.18157828,0.18273811,0,0
16,0.19489034,0.08759124,0.0,0.17007299,0.2459854,0.29226685,0.19639403,0.2548159,0.21160738,0.34262297,0.18322147,0.18380614,0,0
17,0.19116288,0.08379121,0.0,0.16620879,0.24244505,0.2830942,0.1986711,0.24762632,0.21758439,0.33042085,0.18278289,0.18485916,0,0
18,0.1891482,0.0843061,0.0,0.16472115,0.23929961,0.27516663,0.21003385,0.24142337,0.2285518,0.31987497,0.19429176,0.18589742,0,0
19,0.18529889,0.08108108,0.0,0.16093366,0.23525798,0.26812363,0.2296693,0.23587005,0.25873578,0.3105954,0.20647395,0.1869213,0,0
20,0.17794628,0.078179695,0.0,0.1546091,0.22578762,0.26143673,0.22641228,0.23057604,0.2604973,0.30183476,0.20021497,0.18785797,0,0
21,0.17648149,0.075555556,0.0,0.15277778,0.225,0.25561327,0.23840228,0.22596653,0.2836937,0.29421407,0.20558141,0.18885095,0,0
22,0.16984802,0.07211029,0.0,0.14687169,0.21686108,0.25000963,0.23696516,0.22151211,0.28584862,0.28692207,0.20235933,0.18975227,0,0
23,0.18171068,0.0821501,0.0,0.1592292,0.22870183,0.24605833,0.32522762,0.21847792,0.2904118,0.28160825,0.3695283,0.19063544,0,0
24,0.213152,0.11467444,0.0,0.19241983,0.25801748,0.2446961,0.32569426,0.21775642,0.29318285,0.2792425,0.36631548,0.19158362,0,0
25,0.24191552,0.14365672,0.0,0.22154851,0.2863806,0.24538474,0.32411283,0.21883225,0.29099128,0.27927062,0.36574292,0.19251925,0,0
26,0.26816148,0.17130044,0.0,0.24977578,0.3103139,0.24764462,0.3254153,0.22133933,0.29431924,0.28104576,0.3638585,0.19344263,0,0
27,0.29044324,0.19084628,0.0,0.2750432,0.33031088,0.25109938,0.3249259,0.2249627,0.29470074,0.28410763,0.36205956,0.19435395,0,0
28,0.30555543,0.20333333,0.0,0.28958333,0.34666666,0.25517142,0.32638243,0.22909582,0.29997194,0.2879452,0.35789242,0.19353235,1,0
29,0.3156196,0.20128824,0.0,0.2962963,0.36312398,0.2596577,0.32996023,0.23347892,0.30699933,0.2924485,0.3566333,0.19251336,1,0
30,0.32372743,0.20327103,0.0,0.3025701,0.3746106,0.2642938,0.3303068,0.23793116,0.31063476,0.29722622,0.35263893,0.19233905,1,0
31,0.33584458,0.2057272,0.0,0.31198192,0.39186135,0.2693298,0.33319476,0.2426563,0.31458595,0.30259147,0.3541435,0.19168507,0,0
32,0.34330818,0.2080292,0.0,0.31788322,0.4021898,0.2743693,0.3336689,0.24732855,0.31529477,0.3080487,0.35431704,0.19129555,0,0
33,0.33286074,0.20169851,0.0,0.30820948,0.38995045,0.2782673,0.3296779,0.2509875,0.30850947,0.31220034,0.3539653,0.19181174,0,0
34,0.32303035,0.19574176,0.0,0.29910713,0.37843406,0.28119954,0.32560316,0.25372598,0.3016161,0.31534526,0.3537351,0.19195612,0,0
35,0.31376398,0.19012675,0.0,0.29052702,0.3675784,0.28330636,0.32036462,0.25566876,0.29274756,0.3176433,0.3537351,0.19199769,0,0
36,0.3050144,0.1848249,0.0,0.28242543,0.35732815,0.28472438,0.31569862,0.25697184,0.2851955,0.31919718,0.3535081,0.19216008,0,0
37,0.29673958,0.17981073,0.0,0.2747634,0.34763408,0.28559357,0.31253648,0.2578127,0.28056052,0.3200846,0.35273865,0.1928839,0,0
38,0.28961846,0.17506142,0.0,0.26842752,0.33906633,0.28608075,0.31330726,0.2583432,0.28134584,0.32049096,0.35346106,0.19400214,0,0
39,0.28246492,0.17055656,0.0,0.26181927,0.33064035,0.28621116,0.31196788,0.2585839,0.27917382,0.32044795,0.35349202,0.19510269,0,0
40,0.2757675,0.1662777,0.0,0.2558343,0.3226371,0.28601444,0.309817,0.25857514,0.27610567,0.31996867,0.35290512,0.196186,0,0
41,0.2690185,0.1622083,0.0,0.24957314,0.31474105,0.28553355,0.3086493,0.25833037,0.2745566,0.3191402,0.35240924,0.19725247,0,0
42,0.26472157,0.15833333,0.0,0.24527778,0.3102778,0.2849151,0.30720082,0.25795496,0.27264342,0.31816846,0.35179007,0.19825374,0,0
43,0.26284766,0.15635179,0.0,0.24348535,0.3083605,0.28427202,0.30890208,0.25754786,0.274695,0.31718433,0.3528404,0.20071155,1,0
44,0.26003468,0.15490717,0.0,0.24084881,0.3050398,0.2835579,0.3092338,0.25707856,0.2754449,0.3161184,0.3524716,0.20295654,0,0
