timestamp;actual;predicted
1;[1];[0, 1]
2;[1];[0, 1]
3;[1];[1]
4;[1];[1]
5;[1];[1]
6;[1];[0, 1]
7;[1];[1]
8;[1];[0, 1]
9;[1];[0, 1]
10;[1];[0]
11;[1];[0, 1]
12;[1];[0, 1]
13;[1];[0, 1]
14;[1];[1]
15;[1];[1]
16;[1];[0, 1]
17;[1];[0, 1]
18;[1];[0, 1]
19;[1];[1]
20;[1];[0, 1]
21;[1];[0, 1]
22;[1];[1]
23;[1];[0, 1]
24;[1];[0, 1]
25;[1];[0, 1]
26;[1];[1]
27;[1];[0, 1]
28;[1];[1]
29;[1];[1]
30;[1];[0, 1]
31;[1];[0, 1]
32;[1];[1]
33;[1];[0, 1]
34;[1];[1]
35;[1];[1]
36;[1];[0, 1]
37;[1];[0, 1]
38;[1];[1]
39;[1];[1]
40;[1];[0, 1]
41;[1];[0, 1]
42;[1];[0, 1]
43;[1];[0, 1]
44;[1];[0, 1]
45;[1];[1]
46;[1];[1]
47;[1];[0, 1]
48;[1];[0, 1]
49;[1];[0, 1]
50;[1];[0, 1]
51;[1];[1]
52;[1];[0, 1]
53;[1];[0, 1]
54;[1];[1]
55;[1];[1]
56;[1];[0, 1]
57;[1];[1]
58;[1];[1]
59;[1];[0, 1]
60;[1];[0, 1]
61;[1];[0, 1]
62;[1];[1]
63;[1];[1]
64;[1];unknwon
65;[1];[1]
66;[1];[0, 1]
67;[1];[0, 1]
68;[1];[0]
69;[1];[0, 1]
70;[1];[1]
71;[1];[0, 1]
72;[1];[1]
73;[1];[0, 1]
74;[1];[1]
75;[1];[1]
76;[1];[0, 1]
77;[1];[1]
78;[1];[1]
79;[1];[0, 1]
80;[1];[0, 1]
81;[1];[0]
82;[1];[0, 1]
83;[1];[1]
84;[1];[1]
85;[1];[0, 1]
86;[1];[1]
87;[1];[0, 1]
88;[1];[0, 1]
89;[1];[1]
90;[1];[0, 1]
91;[1];[0, 1]
92;[1];[0, 1]
93;[1];[0, 1]
94;[1];[1]
95;[1];[0, 1]
96;[1];[1]
97;[1];[1]
98;[1];[0, 1]
99;[1];[1]
100;[1];[1]
101;[1];[1]
102;[1];[1]
103;[1];[1]
104;[1];[1]
105;[1];[0, 1]
106;[1];unknwon
107;[1];[1]
108;[1];[0, 1]
109;[1];[1]
110;[1];[1]
111;[1];[1]
112;[1];[1]
113;[1];[0, 1]
114;[1];[0, 1]
115;[1];[4]
116;[1];[1]
117;[1];[0, 1]
118;[1];[0, 1]
119;[1];[0, 1]
120;[1];[0]
121;[1];[1]
122;[1];[0, 1]
123;[1];[0, 1]
124;[1];[0]
125;[1];[0, 1]
126;[1];[0, 1]
127;[1];[0, 1]
128;[1];[0, 1]
129;[1];[0, 1]
130;[1];[1]
131;[1];[0, 1]
132;[1];[0, 1]
133;[1];[1]
134;[1];[0]
135;[1];[0, 1]
136;[1];[0]
137;[1];[0, 1]
138;[1];[0, 1]
139;[1];[4]
140;[1];[0]
141;[1];[0, 1]
142;[1];[1]
143;[1];[0, 4]
144;[1];[0]
145;[1];[0]
146;[1];[0, 1]
147;[1];[5]
148;[1];[0, 1]
149;[1];[0, 1]
150;[1];[0, 1]
151;[1];[4]
152;[2];[0]
153;[2, 3];[0]
154;[2];[0]
155;[2, 3];[0]
156;[2];[0, 1]
157;[2];[0, 1]
158;[2];[0]
159;[2, 3, 4];[0]
160;[2];[0]
161;[2, 3];[0]
162;[2];[0, 1]
163;[2, 4];[0]
164;[2];[0, 1]
165;[2];[0]
166;[2];[0, 1]
167;[2];[0, 1]
168;[2];[0, 1]
169;[2];[0]
170;[2, 3];[0, 1]
171;[2, 3];[4]
172;[2];[0]
173;[2];[0]
174;[2];[0, 1]
175;[2];[0, 1]
176;[2];[0, 1]
177;[2];[0]
178;[2];[0, 1]
179;[2];[0, 1]
180;[2, 3];[0]
181;[2, 4];[0]
182;[2];[0, 1]
183;[2, 4];[0]
184;[2];[0, 1]
185;[2];[0, 1]
186;[2];[0, 1]
187;[2];[0, 1]
188;[2];[0, 1]
189;[2];[0, 1]
190;[2];[0]
191;[2];[0]
192;[2];[0, 1]
193;[2];[0]
194;[2];[0]
195;[2];[0]
196;[2];[0, 1]
197;[2];[0, 1]
198;[2];[0]
199;[2];[0, 1]
200;[2];[0, 1]
201;[2];[0, 1]
202;[2];[0]
203;[2];[0]
204;[2];[0]
205;[2];[0, 1]
206;[2];[0]
207;[2];[0, 1]
208;[2];[0, 1]
209;[2];[0, 1]
210;[2];[0, 1]
211;[2];[0]
212;[2];[0]
213;[2];[0, 1]
214;[2];[1]
215;[2];[0, 1]
216;[2];[0, 1]
217;[2];[0]
218;[2];unknwon
219;[2];[0, 1]
220;[2];[0, 1]
221;[2];[0, 1]
222;[2];[0, 1]
223;[2];[0, 1]
224;[2];[0, 1]
225;[2];[0, 1]
226;[2];[0]
227;[2];[0]
228;[2];[0]
229;[2];[0, 1]
230;[2];[0, 1]
231;[2];[0, 1]
232;[2];[0, 1]
233;[2];[1]
234;[2];[0, 1]
235;[2];[0, 1]
236;[2];[0, 1]
237;[2];[0, 1]
238;[2];[0, 1]
239;[2];[0, 1]
240;[2];[0, 1]
241;[2];[1]
242;[2];[0, 1]
243;[2];[0, 1]
244;[2];[0, 1]
245;[2];[1]
246;[2];[1]
247;[2];[0, 1]
248;[2];[0, 1]
249;[2];[0, 1]
250;[2];[1]
251;[2];[0]
252;[2];[0, 1]
253;[2];[0, 1]
254;[2];[1]
255;[2];[1]
256;[2];[0, 1]
257;[2];[1]
258;[2];[0]
259;[2];[1]
260;[2];[0, 1]
261;[2];[1]
262;[2];[0, 1]
263;[2];[0, 1]
264;[2];[0]
265;[2];[0, 4]
266;[2];[0, 1]
267;[2];[0, 1]
268;[2];[0, 1]
269;[2];[0]
270;[2];[0, 1]
271;[2];[1]
272;[2];[1]
273;[2];[0]
274;[2];[1]
275;[2];[0]
276;[2];[0]
277;[2];[0, 1]
278;[2];[0]
279;[2];[0]
280;[2];[0]
281;[2];[0, 1]
282;[2];[0]
283;[2, 3];[0]
284;[2];[0, 1]
285;[2];[0]
286;[2];[0, 1]
287;[2];[0, 1]
288;[2];[0]
289;[2];[0, 1]
290;[2];[0, 1]
291;[2];[0]
292;[2];[0, 1]
293;[2];[0, 1]
294;[2];[0, 1]
295;[2];[0]
296;[2];[0]
297;[2];[0, 1]
298;[2];[0, 1]
299;[2];[0]
300;[2];[0]
301;[2];[0, 1]
302;[2];[0]
303;[2];[0, 1]
304;[2, 4];[0, 1]
305;[2, 4];[0]
306;[2];[0]
307;[2];[0]
308;[2];[0]
309;[2];[0]
310;[2];[0]
311;[2];[0, 1]
312;[2];[0, 1]
313;[2];[1]
314;[2];[0]
315;[2];[0, 1]
316;[2];[0]
317;[2];[0, 1]
318;[2];[0]
319;[2];[0, 5]
320;[2];[0]
321;[2];[0, 1]
322;[2];[5]
323;[2];[0]
324;[2];[0]
325;[2];[0]
326;[2];[0, 1]
327;[2];[0]
328;[2];[0]
329;[2];[0, 1]
