Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
CLR,1,0.2266406,0.33260497,0.0,0.0,0.4192029,0.28442028,0.486166,0.486166,0.3719807,0.36180243,0.42777777,0.33923793,0.32905984,0.38758257
CLR,2,0.24007581,0.3530684,0.0,0.010989011,0.44505486,0.30308303,0.47976112,0.47652352,0.38072672,0.35833615,0.4479554,0.34440657,0.33104396,0.37344
CLR,3,0.24317573,0.35763896,0.0,0.007352941,0.44497547,0.3099323,0.4838495,0.48796794,0.3844321,0.34183675,0.45360824,0.31770623,0.33356306,0.3699341
CLR,4,0.2463609,0.36217424,0.0,0.005524862,0.44189695,0.3191046,0.48938727,0.49773982,0.3873138,0.3549583,0.45485327,0.32244402,0.3372385,0.3947652
CLR,5,0.25529057,0.37435126,0.0,0.0044247787,0.46135694,0.32810614,0.49411765,0.50362027,0.39300612,0.3602663,0.4613936,0.33229956,0.34227437,0.39337304
CLR,6,0.25299755,0.37076136,0.0,0.003690037,0.45239854,0.3274498,0.49689323,0.5038578,0.39540496,0.3633817,0.46201342,0.3295864,0.34558234,0.4048996
CLR,7,0.2597374,0.37982145,0.0,0.003164557,0.46165606,0.33613878,0.49903136,0.50546604,0.39893252,0.37140653,0.46423563,0.3394048,0.34973586,0.41007128
CLR,8,0.26014176,0.38009512,0.0,0.002770083,0.46020317,0.336874,0.50005585,0.5036515,0.4012573,0.3674138,0.4654049,0.3363106,0.35265076,0.4048563
CLR,9,0.2623184,0.38256878,0.0,0.0024630541,0.4646963,0.33807665,0.5009386,0.5044783,0.4034619,0.3673345,0.46697995,0.33650902,0.35515425,0.40437695
CLR,10,0.2620739,0.3819445,0.0,0.0022172949,0.46300814,0.3387463,0.50181085,0.5057448,0.40517166,0.36972308,0.46768177,0.33604327,0.35740155,0.41090602
CLR,11,0.26633725,0.3875397,0.0,0.002016129,0.4702622,0.34352592,0.50266844,0.5069648,0.40732664,0.3725077,0.46918955,0.33971286,0.3598767,0.41231087
