Classifier,Timestamp,Acc,F1,SA,HL,Pr,Re,Accm,AccM,F1m,F1M,Prm,PrM,Rem,ReM
EaBR,1,0.4747412,0.6204511,0.0,0.32608682,0.6721532,0.66099894,0.67391306,0.67391306,0.6389497,0.4900862,0.6547085,0.50423455,0.62393165,0.4767101
EaBR,2,0.5579845,0.6921653,0.054945055,0.2787213,0.74331516,0.71427256,0.7053749,0.7212787,0.6868829,0.5432338,0.7057971,0.56336695,0.66895604,0.52448994
EaBR,3,0.54483545,0.680044,0.036764707,0.28409106,0.7247987,0.70421904,0.7106227,0.71590906,0.69282436,0.51622385,0.7111756,0.53118485,0.67539626,0.50208247
EaBR,4,0.55546576,0.68656874,0.055248618,0.27322972,0.7286043,0.71347004,0.71706045,0.72677046,0.69697624,0.5057841,0.7149142,0.5197199,0.6799163,0.4925761
EaBR,5,0.5569007,0.6894757,0.048672568,0.27473873,0.73091555,0.7149125,0.7197861,0.72526145,0.6999714,0.53231704,0.71764016,0.5481606,0.6831517,0.51736355
EaBR,6,0.5608373,0.69131976,0.062730625,0.2676957,0.7322396,0.7178967,0.7233534,0.7323046,0.70232457,0.5390544,0.71994936,0.55647135,0.68554217,0.5226947
EaBR,7,0.5574983,0.6889602,0.060126584,0.27301538,0.72800654,0.7164143,0.72425914,0.72698504,0.7028991,0.5413109,0.7204437,0.5573704,0.6861887,0.52615094
EaBR,8,0.56392294,0.6940027,0.06925208,0.26895034,0.7321003,0.71837497,0.72576505,0.73105013,0.7043169,0.5401681,0.7219205,0.5562119,0.68755144,0.5250238
EaBR,9,0.5608061,0.69143975,0.06650246,0.2729516,0.72899365,0.71517426,0.7260213,0.72704875,0.70474905,0.5396928,0.72221124,0.555451,0.68811136,0.5248042
EaBR,10,0.5538371,0.6855958,0.06430155,0.27736387,0.72302276,0.70943147,0.725407,0.7226365,0.7038352,0.5326554,0.7211935,0.54763323,0.6872929,0.5184752
EaBR,11,0.55719894,0.6888644,0.06451613,0.27547678,0.72616875,0.71178,0.72525996,0.7245235,0.703778,0.54111,0.72111046,0.5565971,0.6872592,0.5264613
EaBR,12,0.5663703,0.6953729,0.083179295,0.2695347,0.73197985,0.71797824,0.72605956,0.7304655,0.70452964,0.5426269,0.7217912,0.55797744,0.6880744,0.52809834
EaBR,13,0.5557011,0.68522614,0.08020478,0.2717965,0.7246036,0.70701504,0.7263654,0.72820354,0.7039812,0.5529962,0.721301,0.5696582,0.6874737,0.5372813
EaBR,14,0.55418134,0.68332464,0.082408875,0.26912552,0.7242903,0.7056243,0.7269658,0.7308745,0.70317614,0.55894417,0.7204701,0.57470286,0.686693,0.5440266
EaBR,15,0.5537883,0.68183684,0.084319524,0.26559985,0.72397286,0.7035169,0.7278939,0.7344002,0.7024635,0.56551,0.7197457,0.5813956,0.6859919,0.5504694
EaBR,16,0.54920435,0.67671174,0.08460472,0.26415333,0.71918756,0.6989285,0.7288284,0.7358467,0.7014631,0.5684643,0.71865916,0.5839639,0.68507075,0.5537662
EaBR,17,0.5476379,0.6741565,0.09007833,0.26109654,0.7179298,0.6971823,0.72994655,0.7389034,0.7004719,0.5740604,0.71759105,0.5894297,0.68415046,0.55947226
EaBR,18,0.5414275,0.66764677,0.09001233,0.26174194,0.71267503,0.6917313,0.7308205,0.738258,0.6991437,0.5755754,0.716202,0.5910366,0.68287915,0.5609025
EaBR,19,0.5422898,0.6685677,0.091121495,0.25830147,0.71563566,0.69167084,0.7319406,0.7585907,0.69810104,0.60973054,0.7151666,0.62640846,0.6818309,0.5939176
EaBR,20,0.5479037,0.67295474,0.10099889,0.25344732,0.71977526,0.6958287,0.7334056,0.7636487,0.697512,0.61215836,0.71457547,0.62820745,0.68124443,0.5969088
EaBR,21,0.5514691,0.6760982,0.10465116,0.24975975,0.7229748,0.69743675,0.73503494,0.7668354,0.6972046,0.6121166,0.71428573,0.6281872,0.6809214,0.5968476
EaBR,22,0.55935377,0.68176264,0.11907165,0.24422069,0.7277001,0.7023174,0.7369729,0.7717665,0.6973424,0.6136051,0.7144355,0.629672,0.68104815,0.5983377
EaBR,23,0.56419796,0.6859338,0.12548262,0.2400477,0.7319829,0.7059824,0.7390422,0.7753277,0.6977437,0.6147046,0.7148848,0.631157,0.6814054,0.59908813
EaBR,24,0.5693689,0.69031596,0.13320999,0.23606795,0.73606324,0.7102508,0.7412032,0.7787197,0.69839615,0.61584353,0.71558946,0.63236046,0.68200964,0.6001675
EaBR,25,0.5742999,0.6942453,0.14209591,0.2320362,0.7400543,0.71380806,0.74344444,0.7821962,0.6991971,0.61605906,0.71645457,0.6328378,0.6827514,0.60014707
EaBR,26,0.5822188,0.7003757,0.15456875,0.22660634,0.7460442,0.7189685,0.7458646,0.7871048,0.70029217,0.6175269,0.71763605,0.6346726,0.6837667,0.60128313
EaBR,27,0.58493286,0.7025192,0.15871711,0.22390847,0.7480957,0.72126824,0.7482259,0.7893143,0.7014145,0.61692494,0.7188198,0.6339057,0.68483216,0.60083026
EaBR,28,0.59011716,0.70666677,0.16494845,0.22061014,0.7516794,0.72442526,0.7505805,0.7921557,0.7026568,0.61644775,0.7201291,0.63362134,0.6860124,0.60018057
EaBR,29,0.59465253,0.7104426,0.16921899,0.2172838,0.7555539,0.7273994,0.7529304,0.7950537,0.7039884,0.61585927,0.72153306,0.6332641,0.6872766,0.59938556
EaBR,30,0.59511435,0.710778,0.16950408,0.21633807,0.75570196,0.7278985,0.75511074,0.795598,0.705222,0.6134869,0.7228345,0.6307767,0.68844736,0.5971196
EaBR,31,0.6001957,0.7149759,0.17406876,0.21288636,0.75982815,0.7316468,0.7573108,0.7986725,0.70657736,0.6140558,0.72426206,0.63150513,0.68973565,0.59754485
EaBR,32,0.60214084,0.7168548,0.17279667,0.21092252,0.76184964,0.73328245,0.75943106,0.8002817,0.707921,0.61288404,0.7256723,0.6303544,0.6910175,0.5963561
EaBR,33,0.60742104,0.7209088,0.18102288,0.2075635,0.76586825,0.73658466,0.76156855,0.8033068,0.7093459,0.612894,0.7271653,0.6304746,0.69237876,0.59626716
EaBR,34,0.6074206,0.72094256,0.18223384,0.20652474,0.7665232,0.7366181,0.76357925,0.8040305,0.7106583,0.6112296,0.7285469,0.6289206,0.69362724,0.59450656
EaBR,35,0.6103813,0.72334963,0.18654822,0.20422336,0.76923776,0.73883134,0.76555234,0.8060344,0.71197927,0.61030656,0.7299363,0.6280306,0.69488454,0.5935555
EaBR,36,0.6113725,0.7244348,0.18630475,0.20261528,0.7708013,0.73992294,0.7674517,0.80736107,0.71324813,0.60944873,0.7312643,0.6271594,0.6960984,0.5927108
EaBR,37,0.6070881,0.72052824,0.18307322,0.20399523,0.76773834,0.73604333,0.76911783,0.8053792,0.714253,0.60633475,0.73233104,0.62402755,0.697046,0.5896175
EaBR,38,0.6040984,0.71811765,0.18001169,0.20462069,0.7654405,0.7340335,0.7706163,0.80457044,0.7150839,0.6072101,0.73321205,0.6244845,0.69783056,0.5908657
EaBR,39,0.60210985,0.71638125,0.17881548,0.20492934,0.7641695,0.73220825,0.7719812,0.8040821,0.7157688,0.60664684,0.73394704,0.62377244,0.6984692,0.5904365
