Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.29268008,0.0,0.0,0.43939397,0.22375542,0.3276836,0.34268767,0.43939394,0.32948923,0.26126125,0.35698763
MINAS-BR,2,0.34928092,0.0,0.0,0.5189395,0.26831713,0.35714284,0.37057644,0.49242425,0.3855625,0.2801724,0.35671175
MINAS-BR,3,0.3243369,0.0,0.0,0.47979802,0.25000906,0.3515982,0.33812696,0.4861111,0.35146427,0.27539343,0.32576483
MINAS-BR,4,0.31129462,0.0,0.0,0.45454547,0.24138936,0.3440683,0.33399993,0.47348484,0.33885196,0.27021185,0.32928497
MINAS-BR,5,0.31279263,0.0,0.0,0.4621212,0.2413257,0.3411592,0.33086634,0.46969697,0.34549183,0.26785713,0.3174288
MINAS-BR,6,0.30650055,0.0,0.0,0.449495,0.23740979,0.33766577,0.32808,0.46392497,0.34083775,0.26542827,0.31624284
MINAS-BR,7,0.30803028,0.0,0.0,0.45021647,0.23924704,0.3358327,0.33246577,0.46049783,0.3440468,0.2642857,0.32163903
MINAS-BR,8,0.3198445,0.0,0.0,0.4659092,0.2488839,0.33694234,0.3362559,0.46170035,0.34889254,0.26526418,0.32450268
MINAS-BR,9,0.32156894,0.0,0.0025252525,0.46969724,0.2496122,0.33779302,0.33341217,0.46329966,0.3501816,0.265791,0.31817544
MINAS-BR,10,0.3167822,0.0,0.0022727272,0.46287912,0.24593079,0.3378202,0.33071685,0.46322313,0.34569386,0.2658498,0.31698367
MINAS-BR,11,0.31713375,0.0,0.0020661156,0.4634989,0.24618758,0.33793855,0.33191743,0.46326905,0.34532943,0.2659813,0.31950828
MINAS-BR,12,0.3196315,0.0,0.0018939395,0.4659094,0.24862474,0.3383776,0.33202356,0.4636752,0.3440879,0.2663914,0.32077655
MINAS-BR,13,0.32578728,0.0,0.0017482517,0.47028005,0.25571936,0.33941495,0.33374253,0.4646187,0.34916532,0.2673661,0.31962454
MINAS-BR,14,0.3339987,0.0016233766,0.0016233766,0.47023842,0.26920617,0.34090006,0.33075196,0.46536797,0.3490794,0.26896292,0.31425303
MINAS-BR,15,0.34190777,0.0045454544,0.0015151515,0.47373763,0.27918115,0.3428147,0.33024883,0.46641415,0.35155737,0.27099994,0.3113758
MINAS-BR,16,0.34824082,0.0085227275,0.0014204546,0.47585258,0.28751355,0.34496507,0.3322938,0.4675245,0.35585973,0.2733164,0.31165525
MINAS-BR,17,0.354024,0.00802139,0.0013368984,0.4763818,0.29674056,0.34722298,0.33134928,0.4685086,0.35605872,0.27581984,0.3098468
MINAS-BR,18,0.35704118,0.007575758,0.0012626263,0.47474793,0.30228776,0.3493493,0.3299744,0.46916533,0.35593277,0.27828142,0.307545
MINAS-BR,19,0.35921013,0.0071770335,0.0011961722,0.47448212,0.30595523,0.35135862,0.30555943,0.46969697,0.32807735,0.28064993,0.28593406
MINAS-BR,20,0.35346198,0.006818182,0.0011363636,0.46590966,0.30108497,0.35256976,0.30239907,0.4693362,0.32350692,0.28232893,0.28387702
MINAS-BR,21,0.35122916,0.0064935065,0.0010822511,0.4621217,0.29916644,0.35344893,0.29995623,0.46868032,0.31977278,0.28369793,0.2824525
MINAS-BR,22,0.3472888,0.006198347,0.0010330578,0.45626768,0.2957215,0.35389966,0.2974985,0.4676009,0.31571043,0.28467777,0.28127304
MINAS-BR,23,0.3460657,0.0059288535,9.881423E-4,0.4538871,0.29451007,0.35421878,0.29590034,0.46645805,0.3124347,0.28551748,0.28102803
MINAS-BR,24,0.34231198,0.0056818184,9.469697E-4,0.448864,0.2912542,0.35421854,0.29429787,0.46505052,0.31052718,0.28604713,0.2796807
MINAS-BR,25,0.34291902,0.0054545454,9.090909E-4,0.44878814,0.29177073,0.35424715,0.29489088,0.46379954,0.31019446,0.2865599,0.28102633
MINAS-BR,26,0.33961448,0.005244755,8.7412586E-4,0.44347343,0.28921723,0.35406235,0.29285645,0.4622939,0.3061783,0.28689492,0.28064552
MINAS-BR,27,0.34004202,0.005050505,8.417508E-4,0.4433224,0.2895625,0.3539179,0.29190445,0.46093875,0.30480978,0.287229,0.28004754
MINAS-BR,28,0.34100914,0.0048701297,8.116883E-4,0.44318217,0.29073346,0.35383248,0.29167545,0.45971414,0.3034752,0.2875937,0.28075892
MINAS-BR,29,0.3394533,0.004702194,7.8369904E-4,0.44070056,0.28927848,0.35364133,0.2908685,0.45844653,0.302048,0.2878387,0.28048697
MINAS-BR,30,0.3359144,0.0045454544,7.5757573E-4,0.4361116,0.2861474,0.3532427,0.28875038,0.45700553,0.29949313,0.28787974,0.27875164
MINAS-BR,31,0.33632773,0.004398827,7.3313783E-4,0.43597323,0.28657854,0.35289317,0.28772834,0.45569098,0.29869023,0.28793815,0.27754256
MINAS-BR,32,0.33527768,0.0042613638,7.102273E-4,0.4344231,0.28554538,0.35252145,0.28737184,0.45440197,0.29741558,0.28795883,0.2779843
MINAS-BR,33,0.33428138,0.004132231,6.8870524E-4,0.4329669,0.2845256,0.35212207,0.28569797,0.45314103,0.29577303,0.287933,0.2762867
MINAS-BR,34,0.3317257,0.004010695,6.684492E-4,0.42914525,0.28239447,0.3516098,0.28412044,0.4517698,0.29355568,0.28780234,0.27527288
MINAS-BR,35,0.33049515,0.003896104,6.4935064E-4,0.42705712,0.281438,0.35108027,0.28322557,0.45039684,0.2922927,0.2876507,0.274704
MINAS-BR,36,0.32945108,0.003787879,6.3131313E-4,0.42550585,0.28047,0.35054055,0.2827914,0.44905132,0.29067537,0.28747553,0.27532378
MINAS-BR,37,0.3263745,0.0036855037,6.142506E-4,0.42096722,0.278029,0.34988713,0.28103694,0.44757318,0.28808317,0.28720298,0.27432713
MINAS-BR,38,0.32841918,0.004784689,5.980861E-4,0.42224953,0.2803217,0.3493799,0.28240284,0.4462745,0.28968444,0.28705487,0.27547833
MINAS-BR,39,0.33256972,0.0046620048,5.827506E-4,0.42618558,0.28458503,0.34908646,0.28356355,0.44527,0.29234484,0.2870749,0.27529448
