Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.42765853,0.0,0.0,0.37702924,0.5129599,0.45422536,0.42086154,0.37283236,0.29667592,0.5810811,0.72386366
MINAS-BR,2,0.47440088,0.0,0.0,0.4214692,0.5616614,0.48152423,0.45063007,0.40250966,0.32813206,0.5991379,0.7190744
MINAS-BR,3,0.46389264,0.0,0.0,0.4093615,0.5554594,0.48299718,0.4439048,0.40444016,0.32070684,0.59942776,0.72079426
MINAS-BR,4,0.45361263,0.0,0.0,0.39478493,0.5539998,0.47884884,0.43206638,0.39971057,0.30905905,0.5970601,0.71772534
MINAS-BR,5,0.4445091,0.0,0.0,0.41216993,0.5253859,0.47602338,0.4316964,0.4007483,0.31818724,0.5861175,0.671104
MINAS-BR,6,0.43199295,0.0,0.003787879,0.40875277,0.49847725,0.47188908,0.42258838,0.401331,0.31579837,0.57254905,0.63850427
MINAS-BR,7,0.42736974,0.0,0.0032467532,0.4099916,0.48495018,0.46854326,0.42114294,0.40231678,0.31750643,0.5608696,0.6252192
MINAS-BR,8,0.43295977,0.0,0.0028409092,0.41991016,0.4839059,0.46709955,0.4224288,0.40467754,0.32137984,0.55229115,0.6161647
MINAS-BR,9,0.43380815,0.0,0.0025252525,0.42351204,0.47917372,0.46622315,0.42250088,0.40739402,0.3247191,0.5449102,0.6045462
MINAS-BR,10,0.42938778,0.0,0.0022727272,0.4159065,0.47827473,0.46481556,0.41980127,0.40805352,0.32022706,0.5399209,0.6092453
MINAS-BR,11,0.43405226,0.0,0.0020661156,0.4161724,0.4878626,0.4645062,0.42293683,0.40870175,0.32120526,0.5379597,0.6189787
MINAS-BR,12,0.4360223,0.0,0.0018939395,0.41446623,0.49394268,0.4645432,0.4244337,0.40900984,0.3207398,0.53752583,0.62720734
MINAS-BR,13,0.44575033,0.0,0.0017482517,0.4182048,0.51573104,0.46588206,0.42927006,0.40992975,0.3239311,0.5395228,0.6361341
MINAS-BR,14,0.44564062,0.0,0.0016233766,0.4172021,0.5277414,0.4671029,0.42726165,0.41052863,0.32374817,0.54176223,0.6280808
MINAS-BR,15,0.44590843,0.0,0.0015151515,0.41860226,0.52619493,0.4681194,0.426163,0.41120458,0.32662913,0.54332036,0.61294645
MINAS-BR,16,0.44935906,0.0,0.0014204546,0.41917798,0.5346666,0.4692559,0.42556173,0.4119196,0.32793513,0.54513484,0.6059552
MINAS-BR,17,0.45238793,0.0,0.0013368984,0.41884416,0.5459391,0.4705337,0.42580292,0.41258925,0.3286203,0.54741293,0.60460114
MINAS-BR,18,0.45653865,0.0,0.0012626263,0.41867355,0.55948544,0.47199902,0.42667586,0.41322967,0.3289847,0.5502562,0.60689026
MINAS-BR,19,0.45616624,0.0,0.0011961722,0.41580102,0.56591254,0.47316605,0.3896766,0.41344303,0.29932472,0.55305666,0.55815786
MINAS-BR,20,0.45493555,0.0,0.0011363636,0.41201577,0.5680309,0.4739789,0.38800246,0.4132266,0.2961125,0.5556737,0.5625841
MINAS-BR,21,0.45381045,0.0,0.0010822511,0.40875214,0.56967944,0.47453654,0.3863418,0.41270238,0.29316983,0.55816495,0.5663249
