timestamp;actual;predicted
1;[4, 5, 6, 7];[11, 0, 1, 2, 7, 8, 9, 10]
2;[11, 4, 5, 10];[11, 0, 1, 2, 7, 8, 9, 10]
3;[4, 5, 6, 7];[11, 0, 1, 2, 6, 7, 8, 10]
4;[11, 4, 5, 6, 7, 9, 10];[11, 0, 1, 2, 6, 7, 8, 9]
5;[11, 1, 2, 4, 5, 10];[11, 0, 1, 2, 6, 7, 8, 10]
6;[0, 11, 1, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 10]
7;[11, 4, 5, 6, 7, 10];[11, 0, 1, 6, 7, 8, 9, 10]
8;[0, 1, 4, 5];[0, 11, 1, 2, 7, 8, 9, 10]
9;[0, 5, 6];[11, 0, 2, 6, 7, 8, 9, 10]
10;[11, 1, 2, 4, 5, 8, 9, 10];[0, 11, 1, 2, 6, 7, 8, 10]
11;[5, 6, 9, 10];[0, 11, 1, 2, 7, 8, 9, 10]
12;[0, 11, 1, 4, 5, 10];[0, 11, 1, 2, 7, 8, 9, 10]
13;[0, 11, 1, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 10]
14;[4, 5, 7];[11, 0, 1, 2, 7, 8, 9, 10]
15;[4, 5];[11, 0, 1, 6, 7, 8, 9, 10]
16;[11, 4, 5, 6, 7, 10];[11, 0, 1, 2, 7, 8, 9, 10]
17;[11, 4, 5, 6, 7, 10];[11, 0, 1, 6, 7, 8, 9, 10]
18;[11, 5, 6, 7, 8, 9, 10];[0, 11, 1, 2, 7, 8, 9, 10]
19;[0, 11, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 10]
20;[11, 4, 5, 6, 10];[11, 0, 1, 2, 6, 7, 8, 10]
21;[0, 11, 1, 4, 5, 10];[0, 11, 1, 2, 6, 7, 9, 10]
22;[11, 5, 6, 7, 9, 10];[11, 0, 1, 6, 7, 8, 9, 10]
23;[0, 11, 1, 4, 5, 10];[11, 0, 1, 2, 7, 8, 9, 10]
24;[11, 4, 5, 10];[11, 0, 1, 2, 7, 8, 9, 10]
25;[11, 4, 5, 10];[0, 11, 1, 6, 7, 8, 9, 10]
26;[5, 6, 9, 10];[0, 11, 1, 6, 7, 8, 9, 10]
27;[11, 1, 2, 4, 5, 10];[11, 0, 1, 6, 7, 8, 9, 10]
28;[4, 5];[11, 0, 1, 2, 6, 7, 8, 10]
29;[11, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
30;[11, 1, 2, 4, 5, 7, 10];[11, 1, 2, 6, 7, 8, 9, 10]
31;[11, 5, 6, 7, 8, 9, 10];[11, 0, 1, 6, 7, 8, 9, 10]
32;[0, 11, 1, 5, 6, 7, 10];[11, 1, 2, 6, 7, 8, 9, 10]
33;[4, 5];[0, 11, 2, 6, 7, 8, 9, 10]
34;[0, 11, 1, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 10]
35;[11, 4, 5, 8, 9, 10];[11, 1, 2, 6, 7, 8, 9, 10]
36;[11, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
37;[11, 1, 2, 4, 5, 7, 10];[0, 11, 1, 2, 6, 7, 10]
38;[4, 5];[0, 11, 1, 2, 6, 7, 8, 9]
39;[11, 4, 5, 6, 7, 10];[11, 0, 1, 2, 7, 8, 9, 10]
40;[4, 5];[0, 11, 1, 6, 7, 8, 9, 10]
41;[0, 11, 1, 4, 5, 10];[0, 1, 2, 6, 7, 8, 9]
42;[4, 5];[0, 11, 1, 6, 7, 8, 9, 10]
43;[11, 4, 5, 6, 7, 10];[11, 1, 2, 6, 7, 8, 9, 10]
44;[0, 1, 4, 5];[11, 1, 2, 6, 7, 8, 9, 10]
45;[11, 1, 2, 4, 5, 8, 9, 10];[11, 1, 2, 6, 7, 8, 9, 10]
46;[11, 5, 6, 10];[11, 0, 1, 2, 6, 7, 8, 9]
47;[0, 11, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 9, 10]
48;[11, 4, 5, 8, 9, 10];[0, 11, 1, 2, 7, 8, 9, 10]
49;[0, 11, 1, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 10]
50;[0, 11, 1, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
51;[0, 11, 1, 5, 6, 7, 10];[11, 0, 1, 2, 6, 7, 10]
52;[11, 4, 5, 6, 7, 10];[0, 11, 1, 2, 6, 7, 9, 10]
53;[11, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
54;[0, 11, 1, 5, 6, 7, 9, 10];[11, 0, 1, 2, 6, 7, 10]
55;[0, 11, 1, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 9, 10]
56;[11, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
57;[0, 11, 4, 5, 10];[0, 11, 1, 2, 6, 7, 8, 10]
58;[11, 4, 5, 10];[11, 0, 1, 2, 7, 8, 9, 10]
59;[11, 4, 5, 10];[0, 11, 1, 6, 7, 8, 9, 10]
60;[11, 1, 2, 4, 5, 10];[0, 11, 1, 2, 7, 8, 9, 10]
61;[0, 11, 1, 5, 6, 7, 9, 10];[0, 11, 1, 2, 6, 7, 10]
62;[0, 11, 1, 2, 4, 5, 10];[11, 0, 1, 2, 6, 7, 8, 10]
63;[0, 1, 5, 6];[11, 0, 1, 2, 7, 8, 10]
64;[0, 11, 1, 4, 5, 10];[11, 0, 1, 2, 6, 7, 10]
65;[0, 1, 4, 5];[11, 1, 2, 6, 7, 8, 9, 10]
66;[11, 4, 5, 6, 7, 10];[11, 0, 1, 2, 7, 8, 9, 10]
67;[0, 11, 1, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 9, 10]
68;[0, 11, 1, 4, 5, 10];[11, 0, 1, 6, 7, 8, 9, 10]
69;[11, 4, 5, 10];[0, 11, 1, 2, 6, 7, 9, 10]
70;[11, 4, 5, 6, 7, 10];[11, 0, 1, 6, 7, 8, 9, 10]
71;[11, 4, 5, 6, 7, 10];[11, 1, 2, 6, 7, 8, 9, 10]
72;[11, 4, 5, 10];[0, 11, 1, 2, 6, 7, 10]
73;[11, 1, 2, 4, 5, 10];[11, 0, 1, 2, 6, 7, 8, 10]
74;[11, 4, 5, 10];[11, 0, 1, 2, 6, 7, 9, 10]
75;[11, 4, 5, 10];[11, 0, 1, 6, 7, 8, 9, 10]
76;[11, 5, 6, 10];[11, 0, 1, 2, 6, 7, 8, 10]
77;[0, 11, 1, 5, 6, 8, 9, 10];[11, 0, 1, 2, 6, 7, 8, 10]
78;[11, 4, 5, 6, 7, 10];[11, 0, 1, 2, 6, 7, 8, 10]
79;[11, 4, 5, 6, 7, 10];[11, 1, 2, 6, 7, 8, 9, 10]
80;[11, 1, 2, 4, 5, 6, 7, 10];[11, 0, 1, 6, 7, 8, 9, 10]
81;[11, 4, 5, 6, 7, 10];[11, 0, 1, 2, 6, 7, 8, 10]
82;[11, 4, 5, 6, 7, 10];[11, 1, 2, 6, 7, 8, 9, 10]
83;[0, 11, 1, 4, 5, 10];[0, 11, 1, 2, 6, 7, 10]
84;[11, 4, 5, 6, 7, 10];[0, 1, 2, 6, 7, 8, 9, 10]
85;[11, 4, 5, 6, 7, 10];[11, 0, 1, 2, 6, 7, 8, 10]
86;[11, 4, 5, 6, 7, 10];[0, 11, 1, 2, 6, 7, 8, 9]
87;[11, 4, 5, 10];[0, 1, 2, 6, 7, 8, 9, 10]
88;[0, 11, 1, 4, 5, 10];[0, 11, 1, 6, 7, 8, 9, 10]
89;[0, 5, 6, 9, 10];[0, 11, 1, 2, 7, 8, 9, 10]
90;[11, 4, 5, 6, 7, 10];[0, 11, 1, 2, 7, 8, 9, 10]
91;[0, 11, 1, 2, 4, 5, 6, 7, 10];[11, 0, 1, 2, 6, 7, 9, 10]
92;[0, 11, 1, 4, 5, 10];[0, 11, 1, 6, 7, 8, 9, 10]
93;[4, 5, 6, 7];[11, 0, 1, 2, 6, 7, 8, 10]
94;[0, 1, 4, 5];[11, 0, 1, 2, 6, 7, 9, 10]
95;[11, 4, 5, 8, 9, 10];[11, 1, 2, 6, 7, 8, 9, 10]
96;[4, 5, 7];[11, 1, 2, 6, 7, 8, 9, 10]
97;[11, 1, 2, 4, 5, 10];[0, 11, 1, 2, 6, 7, 8, 9]
98;[11, 4, 5, 8, 9, 10];[11, 1, 2, 6, 7, 8, 9, 10]
99;[11, 4, 5, 10];[11, 0, 1, 6, 7, 8, 9, 10]
100;[0, 11, 5, 6, 7, 10];[11, 0, 1, 6, 7, 8, 9, 10]
101;[11, 4, 5, 6, 7, 10];[0, 1, 2, 6, 7, 8, 9]
102;[11, 4, 5, 6, 7, 10];[11, 0, 1, 6, 7, 8, 9, 10]
103;[11, 4, 5, 6, 7, 9, 10];[11, 0, 1, 6, 7, 8, 9, 10]
104;[4, 5];[11, 1, 2, 6, 7, 8, 9, 10]
105;[11, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
106;[0, 1, 4, 5];[11, 0, 1, 2, 6, 7, 8, 10]
107;[11, 4, 5, 6, 7, 10];[0, 11, 1, 2, 6, 8, 9, 10]
108;[11, 4, 5, 7, 10];[0, 11, 1, 2, 6, 8, 9, 10]
109;[11, 1, 2, 4, 5, 10];[11, 0, 1, 6, 7, 8, 9, 10]
110;[4, 5];[0, 11, 1, 6, 7, 8, 9, 10]
111;[11, 4, 5, 6, 7, 10];[11, 2, 6, 7, 8, 9, 10]
112;[5, 6, 7];[11, 1, 2, 6, 7, 8, 9, 10]
113;[11, 5, 6, 7, 10];[0, 1, 2, 6, 7, 8, 9, 10]
114;[11, 4, 5, 10];[11, 0, 1, 2, 6, 7, 10]
115;[4, 5];[0, 11, 1, 2, 7, 8, 9, 10]
116;[11, 4, 5, 10];[0, 11, 1, 2, 7, 8, 9, 10]
117;[11, 5, 6, 7, 9, 10];[0, 11, 1, 6, 7, 8, 9, 10]
118;[11, 4, 5, 6, 10];[11, 0, 1, 6, 7, 8, 9, 10]
119;[1, 2, 4, 5];[0, 11, 1, 2, 7, 8, 10]
120;[0, 11, 1, 4, 5, 10];[0, 11, 1, 6, 7, 8, 9, 10]
121;[11, 4, 5, 6, 7, 9, 10];[0, 11, 1, 2, 6, 7, 8, 10]
122;[5, 6];[0, 11, 1, 6, 7, 8, 9, 10]
123;[11, 1, 2, 4, 5, 10];[11, 1, 2, 6, 7, 8, 9, 10]
