Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkR,unk
RandomSubspaceML,1,0.6284784,0.15555556,0,0.6035979,0.70767194,0.64000005,0.44321626,0.59130436,0.40067932,0.6974359,0.4958575,,
RandomSubspaceML,2,0.62448204,0.16853933,0,0.61412513,0.6888845,0.6365105,0.4324222,0.5978756,0.40119636,0.6804836,0.468919,,
RandomSubspaceML,3,0.6306033,0.15037593,0,0.62594885,0.6890648,0.6412776,0.44198808,0.6079193,0.41404003,0.67850953,0.47398236,,
RandomSubspaceML,4,0.6167165,0.12429378,0,0.6107548,0.6748071,0.63712454,0.45047185,0.60523856,0.46601447,0.6725572,0.43593246,,
RandomSubspaceML,5,0.6108493,0.12669684,0,0.60354465,0.6687153,0.63341564,0.42292064,0.6008744,0.40694934,0.6696833,0.44019678,,
RandomSubspaceML,6,0.615561,0.12830189,0,0.60585827,0.6725441,0.63295615,0.43677804,0.5994642,0.42602912,0.670412,0.44808343,,
RandomSubspaceML,7,0.62258446,0.1262136,0,0.61223257,0.6809999,0.63444376,0.44099066,0.6000334,0.42951193,0.67304087,0.45309973,,
RandomSubspaceML,8,0.62434554,0.12181303,0,0.6135947,0.68414724,0.6355076,0.4419507,0.6006236,0.43236095,0.6746935,0.45197558,,
RandomSubspaceML,9,0.6204889,0.11335012,0,0.6128977,0.67641634,0.6354832,0.44620645,0.60064495,0.44630048,0.6746115,0.44611245,,
RandomSubspaceML,10,0.6128609,0.11337868,0,0.60684896,0.6681243,0.63412654,0.44281372,0.59943765,0.44489768,0.6730769,0.4407492,,
RandomSubspaceML,11,0.6147417,0.10927835,0,0.60881937,0.6695039,0.6334461,0.4417328,0.5988773,0.44242606,0.67225015,0.44104174,,
RandomSubspaceML,12,0.6077436,0.10964083,0,0.5996107,0.6653927,0.6320214,0.43575266,0.597076,0.4338071,0.6713116,0.43771577,,
RandomSubspaceML,13,0.6111991,0.111692846,0,0.6021421,0.6692669,0.63125974,0.43570083,0.5959763,0.43330532,0.67098385,0.43812302,,
RandomSubspaceML,14,0.6128336,0.115072936,0,0.60168844,0.6733629,0.6308203,0.43696222,0.59504426,0.43346214,0.67117345,0.44051924,,
RandomSubspaceML,15,0.6151665,0.11649016,0,0.6052068,0.6761949,0.630628,0.43348676,0.5946189,0.42892823,0.6712795,0.43814325,,
RandomSubspaceML,16,0.6147552,0.114893615,0,0.60391766,0.6771386,0.6304862,0.42925805,0.5941443,0.42060873,0.6715636,0.4382706,,
RandomSubspaceML,17,0.61594886,0.11081442,0,0.6044726,0.68001384,0.63042027,0.4320716,0.59373367,0.42321244,0.6719391,0.44130963,,
RandomSubspaceML,18,0.6169457,0.110971,0,0.6048774,0.68284625,0.63042814,0.4322702,0.5933181,0.42285115,0.67249006,0.4421184,,
RandomSubspaceML,19,0.6143757,0.10752688,0,0.6025757,0.6798864,0.63023424,0.42833716,0.59274644,0.41813245,0.6727839,0.43905243,,
RandomSubspaceML,20,0.61505497,0.10669693,0,0.60248077,0.68099105,0.6301024,0.42687526,0.59224385,0.41610065,0.67313164,0.43822265,,
RandomSubspaceML,21,0.61276096,0.105945945,0,0.60075796,0.6791771,0.62984884,0.4289569,0.59162515,0.4184752,0.6733528,0.43997717,,
RandomSubspaceML,22,0.61449546,0.108359136,0,0.60294604,0.6802775,0.62973654,0.42772174,0.5912077,0.41648105,0.6736373,0.439586,,
RandomSubspaceML,23,0.61137503,0.106614016,0,0.59960395,0.67724663,0.6293793,0.4237136,0.5905381,0.41127273,0.67368954,0.43693063,,
RandomSubspaceML,24,0.6109326,0.10501419,0,0.5996608,0.6758117,0.62903214,0.42276573,0.58999985,0.41078874,0.6735948,0.43546206,,
RandomSubspaceML,25,0.6102289,0.105358765,0,0.5992873,0.6747845,0.6286479,0.4209357,0.58945274,0.40817624,0.673427,0.43451858,,
RandomSubspaceML,26,0.6112708,0.10655022,0,0.6004438,0.67531675,0.62840897,0.42507923,0.5890872,0.4143024,0.67335564,0.43643168,,
RandomSubspaceML,27,0.61037093,0.1059714,0,0.59994775,0.6738612,0.6281204,0.42220163,0.5887285,0.40948004,0.67316175,0.43573907,,
RandomSubspaceML,28,0.61130977,0.1054339,0,0.59995735,0.67711604,0.62790346,0.4210293,0.58839625,0.407152,0.6730977,0.435886,,
RandomSubspaceML,29,0.6108109,0.10493344,0,0.5996418,0.67638427,0.62766105,0.42072564,0.5880693,0.40634254,0.6729686,0.43616435,,
RandomSubspaceML,30,0.6101564,0.10370931,0,0.59851,0.6771213,0.6273677,0.41926745,0.58765066,0.40321165,0.67284256,0.43665496,,
RandomSubspaceML,31,0.610809,0.104029305,0,0.59860337,0.67881465,0.62716,0.41776612,0.5872835,0.39954546,0.6728462,0.43772802,,
RandomSubspaceML,32,0.6132807,0.10361959,0,0.6025758,0.6796392,0.62710714,0.41911864,0.5871778,0.40212992,0.6728633,0.4376061,,
RandomSubspaceML,33,0.61266243,0.10461115,0,0.60243547,0.6792267,0.6270049,0.41803548,0.58704424,0.40137085,0.67280334,0.43614385,,
RandomSubspaceML,34,0.6125556,0.10354041,0,0.6023813,0.67862713,0.6269108,0.41740897,0.58692783,0.40044826,0.6727394,0.4358699,,
RandomSubspaceML,35,0.6115096,0.10317975,0,0.6016992,0.6768224,0.62677044,0.4169329,0.5867758,0.40019318,0.6726158,0.4351341,,
RandomSubspaceML,36,0.6112968,0.102208205,0,0.6011556,0.67699564,0.6266325,0.41818488,0.5866331,0.40216047,0.67248577,0.43553928,,
RandomSubspaceML,37,0.61117464,0.10067526,0,0.60072684,0.6775012,0.6264938,0.418247,0.58646554,0.401943,0.67238647,0.43592963,,
RandomSubspaceML,38,0.6106501,0.101613864,0,0.59962475,0.67688465,0.626347,0.4182957,0.58627445,0.4013036,0.67229944,0.43679047,,
RandomSubspaceML,39,0.6097192,0.10133955,0,0.59783304,0.6766519,0.62616193,0.41720745,0.5860008,0.39901018,0.672233,0.4371439,,
RandomSubspaceML,40,0.60846066,0.09994321,0,0.59702724,0.67511123,0.62594545,0.41626826,0.585719,0.39733657,0.6721047,0.43709424,,
RandomSubspaceML,41,0.60743946,0.09916898,0,0.59581757,0.6748882,0.62570196,0.41447738,0.5854011,0.39469358,0.67196196,0.43634915,,
RandomSubspaceML,42,0.60508215,0.09734992,0,0.5930571,0.67336357,0.62538123,0.41368553,0.58498555,0.39363483,0.6717697,0.4358885,,
RandomSubspaceML,43,0.6053819,0.097728476,0,0.59359586,0.67389476,0.62509257,0.41369653,0.58462435,0.39414126,0.67157984,0.43529353,,
RandomSubspaceML,44,0.6062899,0.09963862,0,0.59446853,0.67478144,0.62486184,0.41414195,0.5843188,0.39436117,0.6714506,0.43601188,,
RandomSubspaceML,45,0.6070365,0.100454316,0,0.595047,0.6756994,0.6246768,0.41514635,0.5840634,0.39508587,0.67136043,0.43735296,,
RandomSubspaceML,46,0.6066036,0.100246914,0,0.59490174,0.6749083,0.6244825,0.41395554,0.5838121,0.3938505,0.6712437,0.43622366,,
RandomSubspaceML,47,0.606524,0.10053166,0,0.59516037,0.6744487,0.62429917,0.41315776,0.58358043,0.39253762,0.67112637,0.4360644,,
RandomSubspaceML,48,0.6062554,0.09938476,0,0.59487635,0.6742112,0.6241183,0.41573176,0.5833604,0.3967161,0.67099935,0.4366621,,
RandomSubspaceML,49,0.606838,0.09967548,0,0.59575075,0.6747992,0.62396747,0.41558403,0.5831746,0.3964716,0.6708964,0.43663245,,
RandomSubspaceML,50,0.6066668,0.099310346,0,0.5957225,0.6746629,0.6238278,0.41530192,0.5830099,0.39619446,0.6707916,0.4363458,,
