Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.5218412,0.0,0.0,0.49302322,0.5879015,0.5313283,0.39223137,0.49302325,0.37030047,0.57608694,0.41692355,0.0,0
2,0.5375937,0.0,0.0,0.5069767,0.6115402,0.54045033,0.41356137,0.5023256,0.38457856,0.58483756,0.4472687,0.0,0
3,0.53444207,0.0,0.0,0.50852704,0.59909254,0.5417532,0.4017034,0.50542635,0.37966067,0.5837064,0.4264634,0.0,0
4,0.5371291,0.0,0.0,0.5104652,0.6044413,0.54346204,0.3914169,0.5074419,0.36841875,0.58498657,0.41747752,0.0,0
5,0.5278996,0.0,0.0,0.5004652,0.5935973,0.5414659,0.38151476,0.5051163,0.3559556,0.5834527,0.41102833,0.0,0
6,0.52388996,0.0,0.0,0.4945737,0.590853,0.539056,0.3798019,0.5021041,0.3531625,0.58187884,0.41078803,0.0,0
7,0.5315149,0.003322259,0.0,0.5023256,0.60250217,0.5395324,0.38810715,0.5021595,0.3606415,0.58291554,0.42010114,0.0,0
8,0.53520584,0.0029069767,0.0,0.50465125,0.60788226,0.54049176,0.39127412,0.5027132,0.36302328,0.5844097,0.42429304,0.0,0
9,0.53394884,0.0025839794,0.0,0.50542647,0.60286903,0.54115033,0.39215073,0.5032558,0.36351594,0.58521634,0.42568246,0.0,0
10,0.53601795,0.0023255814,0.0,0.50883734,0.603553,0.5421895,0.39600936,0.5042706,0.3674074,0.5862747,0.42944047,0.0,0
11,0.53685844,0.0021141649,0.0,0.50993675,0.6041814,0.5432501,0.39654836,0.5052149,0.36705378,0.5874785,0.43119723,0.0,0
12,0.5315121,0.0019379845,0.0,0.5031009,0.60069996,0.5434357,0.39479157,0.50488967,0.3631967,0.5883538,0.43240714,0.0,0
13,0.5378204,0.0035778175,0.0,0.509481,0.6060128,0.5444637,0.39631486,0.5055456,0.36489254,0.58987355,0.4336589,0.0,0
14,0.5412902,0.003322259,0.0,0.5122921,0.61076516,0.54578,0.4023928,0.50644517,0.36948967,0.59173954,0.44172892,0.0,0
15,0.53753716,0.0031007752,0.0,0.50790673,0.6072419,0.5464122,0.39855433,0.5066279,0.3648777,0.59297734,0.4390795,0.0,0
16,0.5390206,0.0029069767,0.0,0.51046485,0.6096669,0.5471622,0.40178084,0.50707936,0.36840817,0.5941257,0.441802,0.0,0
17,0.5385874,0.0027359782,0.0,0.5097125,0.60915685,0.5477339,0.40327922,0.50737196,0.36930063,0.59507257,0.44414404,0.0,0
18,0.53748494,0.0025839794,0.0,0.5080101,0.6094294,0.54810137,0.40196165,0.50743914,0.3676661,0.59584796,0.4433136,0.0,0
19,0.540026,0.0024479805,0.0,0.5113827,0.61021394,0.54868615,0.40626192,0.50783354,0.3716552,0.59668654,0.4479752,0.0,0
20,0.5411147,0.0023255814,0.0,0.5106973,0.61446786,0.54928106,0.40716094,0.5081063,0.371141,0.59771764,0.45092398,0.0,0
21,0.53957444,0.0022148394,0.0,0.5096342,0.6125054,0.5497131,0.40747026,0.5082452,0.37143803,0.5985488,0.4512443,0.0,0
22,0.5407751,0.0021141649,0.0,0.51120454,0.6132584,0.55017954,0.41287795,0.5085026,0.376335,0.599298,0.45728093,0.0,0
23,0.53870225,0.0020222447,0.0,0.50879633,0.6108065,0.55044097,0.41040167,0.50852716,0.37361684,0.5998847,0.4552209,0.0,0
24,0.53916186,0.0019379845,0.0,0.50988317,0.60966414,0.55071175,0.40931678,0.50863564,0.3731915,0.60037696,0.45318553,0.0,0
25,0.53925043,0.0018604652,0.0,0.5103251,0.6100894,0.55097055,0.41041777,0.50876564,0.37443495,0.60081124,0.45405167,0.0,0
26,0.54111683,0.0017889087,0.0,0.5121641,0.6121802,0.55132085,0.41302666,0.5090174,0.37672755,0.60129297,0.45706674,0.0,0
27,0.5395313,0.0025839794,0.0,0.51145524,0.6094896,0.5515137,0.41197953,0.5091916,0.3767349,0.6015088,0.45449924,0.0,0
28,0.5401315,0.0024916944,0.0,0.5119597,0.6107545,0.55174804,0.41218838,0.50938255,0.37668473,0.6018001,0.45508108,0.0,0
29,0.5415168,0.0024057738,0.0,0.51355195,0.6118456,0.55204123,0.4119907,0.50966054,0.37695417,0.6021095,0.45420766,0.0,0
30,0.54249185,0.0031007752,0.0,0.51472825,0.61253595,0.55236745,0.4129985,0.5099875,0.3781791,0.6024293,0.45487985,0.0,0
31,0.54256845,0.0030007502,0.0,0.5141781,0.6133256,0.5526435,0.41164565,0.51024944,0.37692642,0.60272044,0.45340982,0.0,0
32,0.5418114,0.0029069767,0.0,0.5138077,0.6121045,0.55285454,0.41130945,0.51046515,0.37695408,0.6029216,0.452555,0.0,0
33,0.54117686,0.0028188864,0.0,0.51331866,0.6110884,0.5530041,0.40999377,0.510633,0.37586612,0.60304314,0.4509377,0.0,0
34,0.539394,0.0027359782,0.0,0.5121746,0.60864675,0.5530476,0.40865782,0.51072115,0.37500545,0.6030237,0.44894537,0.0,0
35,0.5401791,0.0026578072,0.0,0.5132221,0.60915196,0.5531166,0.40919656,0.5108601,0.37578985,0.6029942,0.44912225,0.0,0
36,0.5376234,0.0025839794,0.0,0.5107231,0.6061231,0.55303836,0.40663972,0.5108527,0.3735241,0.6028184,0.44619852,0.0,0
37,0.5377977,0.002514142,0.0,0.51099885,0.60627216,0.5529742,0.40810263,0.51086044,0.37486857,0.60265523,0.44780263,0.0,0
38,0.53850234,0.0030599756,0.0,0.51138246,0.6071066,0.55294424,0.40778798,0.51088727,0.37450317,0.60254663,0.44756645,0.0,0
39,0.5371385,0.0029815147,0.0,0.50983834,0.6055302,0.5528472,0.4080134,0.5108348,0.37440497,0.6023894,0.4482506,0.0,0
40,0.5354753,0.0029069767,0.0,0.5079063,0.6041646,0.5526909,0.40688768,0.510692,0.3730401,0.60221666,0.44749048,0.0,0
41,0.5364597,0.002836075,0.0,0.5094717,0.604453,0.55260265,0.40793574,0.51063395,0.3743967,0.6020879,0.448075,0.0,0
42,0.5358036,0.0027685494,0.0,0.50852644,0.60414,0.55249566,0.40794182,0.51053596,0.37407216,0.6019702,0.44855547,0.0,0
43,0.5356682,0.0027041645,0.0,0.5080577,0.6050931,0.5523984,0.40925404,0.5104233,0.3749239,0.60189587,0.45050478,0.0,0
44,0.5356605,0.002642706,0.0,0.5079274,0.6054417,0.55230415,0.40914923,0.51031244,0.3746929,0.6018262,0.45058447,0.0,0
45,0.5358545,0.0025839794,0.0,0.5080097,0.60595566,0.5522265,0.40863153,0.51021236,0.37415805,0.60178095,0.45010224,0.0,0
46,0.53608006,0.002527806,0.0,0.5081895,0.6063855,0.55216175,0.4085722,0.5101263,0.3740185,0.601747,0.45016032,0.0,0
47,0.535434,0.0024740228,0.0,0.5077679,0.6053943,0.5520807,0.40871662,0.51002806,0.3741722,0.6016909,0.4502882,0.0,0
48,0.5359917,0.0024224806,0.0,0.5082362,0.6059094,0.55202967,0.40845713,0.5099549,0.3739062,0.6016715,0.4500435,0.0,0
49,0.5359858,0.0023730423,0.0,0.50840056,0.6055945,0.5519737,0.40789512,0.50989276,0.3736775,0.6016253,0.449011,0.0,0
50,0.53540057,0.0023255814,0.0,0.50772107,0.6050795,0.5518977,0.40769514,0.5098076,0.37332913,0.6015634,0.44902968,0.0,0
51,0.5348627,0.0022799817,0.0,0.5072506,0.6045874,0.55180967,0.4073154,0.50970924,0.37273598,0.601491,0.44896692,0.0,0
