Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.5005095,0.0,0.0,0.34989423,0.96954596,0.512301,0.48164877,0.34911242,0.32932904,0.9619565,0.89611614
MINAS-BR,2,0.5064703,0.0,0.0,0.3545631,0.9782669,0.517092,0.49431536,0.35259357,0.33660057,0.9693141,0.93012893
MINAS-BR,3,0.5136172,0.0,0.0,0.36087623,0.9802695,0.5219899,0.50346315,0.35676742,0.34375796,0.97224706,0.9403253
MINAS-BR,4,0.5075662,0.0,0.0,0.35641298,0.9670819,0.5214883,0.46220732,0.35667786,0.3152445,0.969437,0.86585957
MINAS-BR,5,0.5035329,0.0,0.0,0.35257238,0.96261346,0.51963806,0.45748425,0.35531858,0.31124362,0.96669054,0.8629481
MINAS-BR,6,0.50245154,0.0,0.0,0.35051113,0.96658355,0.51806486,0.4550597,0.3539257,0.3087971,0.9661191,0.86456203
MINAS-BR,7,0.50380605,0.0,0.0,0.35221004,0.9698544,0.51766163,0.45791575,0.35350543,0.31067845,0.9664481,0.8704328
MINAS-BR,8,0.50382704,0.0,0.0,0.3516564,0.97124857,0.5172954,0.45741478,0.35309604,0.31018448,0.96695703,0.87069243
MINAS-BR,9,0.5054203,0.0,0.0,0.35318324,0.971167,0.51737106,0.4594226,0.35310376,0.31160876,0.9674279,0.87402046
MINAS-BR,10,0.505401,0.0,0.0,0.35357663,0.96939003,0.5174707,0.4593361,0.35317972,0.3119459,0.9675548,0.8707569
MINAS-BR,11,0.5039474,0.0,0.0,0.35242492,0.9679444,0.5173079,0.45812702,0.35303968,0.31105858,0.967467,0.8689812
MINAS-BR,12,0.49801594,0.0,0.0,0.3472222,0.9661261,0.5163037,0.45255956,0.35214937,0.3065484,0.9671322,0.8641696
MINAS-BR,13,0.49931267,0.0,0.0,0.34811872,0.9665105,0.5156406,0.453642,0.35157114,0.30742297,0.9668416,0.865115
MINAS-BR,14,0.49890172,0.0,0.0,0.34772953,0.96779513,0.5150767,0.45371157,0.35105622,0.30720925,0.9667719,0.8673199
MINAS-BR,15,0.49714488,0.0,0.0,0.346018,0.9681702,0.5143864,0.45202845,0.3504185,0.30558494,0.9667468,0.8679895
MINAS-BR,16,0.49832132,0.0,0.0,0.34753752,0.9694449,0.51403916,0.45335978,0.35008124,0.30669928,0.96686167,0.8688215
MINAS-BR,17,0.49843994,0.0,0.0,0.34745842,0.9703628,0.51374185,0.45372906,0.3497801,0.30674124,0.9670553,0.87120163
