timestamp;actual;predicted
1;[0, 1, 2, 3];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8]
2;[0, 11, 1, 12, 2, 4, 5];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 9, 10]
3;[0, 1];[11, 0, 1, 12, 2, 3, 4, 6, 7, 8, 9, 10]
4;[3, 4];[11, 0, 12, 1, 3, 4, 5, 6, 7, 8, 9, 10]
5;[0, 11, 1, 12, 2, 3];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8, 9]
6;[0, 11, 1, 12];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8, 9]
7;[0, 1];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 9, 10]
8;[1, 2, 8, 9];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8]
9;[11, 1, 12, 2, 8, 9, 10];[0, 11, 1, 12, 2, 3, 4, 5, 6, 7, 8, 9]
10;[0, 1, 5, 6];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8, 9]
11;[11, 12, 3, 4];[11, 0, 12, 1, 2, 3, 4, 5, 6, 7, 9, 10]
12;[0, 1];[0, 11, 1, 12, 2, 4, 5, 6, 7, 8, 9, 10]
13;[0, 11, 1, 12, 4, 5];[11, 0, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9]
14;[0, 11, 1, 12, 2, 3, 9, 10];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8]
15;[0, 11, 1, 12, 2, 3];[0, 11, 1, 12, 2, 3, 4, 5, 6, 8, 9, 10]
16;[11, 12, 3, 4];[11, 0, 12, 1, 2, 3, 4, 5, 6, 7, 9, 10]
17;[0, 1, 2];[11, 0, 12, 1, 2, 3, 4, 5, 6, 7, 9, 10]
18;[0, 1];[0, 11, 1, 12, 2, 3, 4, 5, 6, 7, 8]
19;[0, 1, 4, 5];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 9, 10]
20;[6, 7, 8, 9];[11, 0, 12, 1, 2, 3, 4, 5, 6, 7, 8, 10]
21;[11, 1, 12, 2];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8, 9]
22;[11, 12, 4, 5, 6, 7];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8, 10]
23;[0, 11, 1, 12, 5, 6, 7];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 8]
24;[2, 3];[11, 0, 1, 12, 2, 3, 4, 5, 6, 7, 9, 10]
